handlerId,projectionFamilyRef,projectionVersionRef,routeFamilyRef,manifestRef,eventName,schemaVersionRef,compatibilityMode,replaySemantics
PAH_082_PATIENT_V1_REQUEST_CREATED,PRCF_082_PATIENT_REQUESTS,PRCV_082_PATIENT_REQUESTS_V1,PCF_050_RF_PATIENT_REQUESTS_V1,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,request.created,CESV_REQUEST_CREATED_V1,additive_only,append_only
PAH_082_PATIENT_V1_REQUEST_SUBMITTED,PRCF_082_PATIENT_REQUESTS,PRCV_082_PATIENT_REQUESTS_V1,PCF_050_RF_PATIENT_REQUESTS_V1,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,request.submitted,CESV_REQUEST_SUBMITTED_V1,additive_only,append_only
PAH_082_PATIENT_V1_REQUEST_CLOSED,PRCF_082_PATIENT_REQUESTS,PRCV_082_PATIENT_REQUESTS_V1,PCF_050_RF_PATIENT_REQUESTS_V1,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,request.closed,CESV_REQUEST_CLOSED_V1,additive_only,append_only
PAH_082_PATIENT_V1_FREEZE_COMMITTED,PRCF_082_PATIENT_REQUESTS,PRCV_082_PATIENT_REQUESTS_V1,PCF_050_RF_PATIENT_REQUESTS_V1,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,identity.repair_case.freeze_committed,CESV_IDENTITY_REPAIR_CASE_FREEZE_COMMITTED_V1,additive_only,append_only
PAH_082_PATIENT_V1_RELEASE_SETTLED,PRCF_082_PATIENT_REQUESTS,PRCV_082_PATIENT_REQUESTS_V1,PCF_050_RF_PATIENT_REQUESTS_V1,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,identity.repair_release.settled,CESV_IDENTITY_REPAIR_RELEASE_SETTLED_V1,new_version_required,append_only
PAH_082_PATIENT_V2_REQUEST_CREATED,PRCF_082_PATIENT_REQUESTS,PRCV_082_PATIENT_REQUESTS_V2,PCF_050_RF_PATIENT_REQUESTS_V1,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,request.created,CESV_REQUEST_CREATED_V1,additive_only,append_only
PAH_082_PATIENT_V2_REQUEST_SUBMITTED,PRCF_082_PATIENT_REQUESTS,PRCV_082_PATIENT_REQUESTS_V2,PCF_050_RF_PATIENT_REQUESTS_V1,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,request.submitted,CESV_REQUEST_SUBMITTED_V1,additive_only,append_only
PAH_082_PATIENT_V2_REQUEST_CLOSED,PRCF_082_PATIENT_REQUESTS,PRCV_082_PATIENT_REQUESTS_V2,PCF_050_RF_PATIENT_REQUESTS_V1,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,request.closed,CESV_REQUEST_CLOSED_V1,additive_only,append_only
PAH_082_PATIENT_V2_FREEZE_COMMITTED,PRCF_082_PATIENT_REQUESTS,PRCV_082_PATIENT_REQUESTS_V2,PCF_050_RF_PATIENT_REQUESTS_V1,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,identity.repair_case.freeze_committed,CESV_IDENTITY_REPAIR_CASE_FREEZE_COMMITTED_V1,additive_only,append_only
PAH_082_PATIENT_V2_RELEASE_SETTLED,PRCF_082_PATIENT_REQUESTS,PRCV_082_PATIENT_REQUESTS_V2,PCF_050_RF_PATIENT_REQUESTS_V1,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,identity.repair_release.settled,CESV_IDENTITY_REPAIR_RELEASE_SETTLED_V1,new_version_required,append_only
PAH_082_STAFF_V1_TASK_CREATED,PRCF_082_STAFF_WORKSPACE,PRCV_082_STAFF_WORKSPACE_V1,PCF_050_RF_STAFF_WORKSPACE_V1,FCM_050_CLINICAL_WORKSPACE_V1,triage.task.created,CESV_TRIAGE_TASK_CREATED_V1,additive_only,append_only
PAH_082_STAFF_V1_TASK_SETTLED,PRCF_082_STAFF_WORKSPACE,PRCV_082_STAFF_WORKSPACE_V1,PCF_050_RF_STAFF_WORKSPACE_V1,FCM_050_CLINICAL_WORKSPACE_V1,triage.task.settled,CESV_TRIAGE_TASK_SETTLED_V1,new_version_required,append_only
PAH_082_OPS_V1_ASSESSMENT_SETTLED,PRCF_082_OPERATIONS_BOARD,PRCV_082_OPERATIONS_BOARD_V1,PCF_050_RF_OPERATIONS_BOARD_V1,FCM_050_OPERATIONS_CONSOLE_V1,reachability.assessment.settled,CESV_REACHABILITY_ASSESSMENT_SETTLED_V1,new_version_required,append_only
PAH_082_OPS_V1_REPAIR_STARTED,PRCF_082_OPERATIONS_BOARD,PRCV_082_OPERATIONS_BOARD_V1,PCF_050_RF_OPERATIONS_BOARD_V1,FCM_050_OPERATIONS_CONSOLE_V1,reachability.repair.started,CESV_REACHABILITY_REPAIR_STARTED_V1,additive_only,append_only
PAH_082_SUPPORT_V1_CASE_OPENED,PRCF_082_SUPPORT_REPLAY,PRCV_082_SUPPORT_REPLAY_V1,PCF_050_RF_SUPPORT_REPLAY_OBSERVE_V1,FCM_050_SUPPORT_WORKSPACE_V1,exception.review_case.opened,CESV_EXCEPTION_REVIEW_CASE_OPENED_V1,additive_only,append_only
