provider_family,dimension_id,dimension_title,dimension_class,minimum_bar_actual_later,evidence_required_actual_later,kill_switch_if_failed_actual_later,source_refs,notes
identity_auth,contract_shape,Capability And Tuple Coverage,capability,4,"[""Provider API or callback contract pack showing how the NHS login identity rail maps into one Vecells adapter boundary."", ""Evidence that unsupported states are explicit rather than inferred from supplier-local success labels.""]",Reject the provider if Vecells would need supplier-specific business logic outside the published adapter contract.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",Capability evaluation must stay in the Vecells core and may not escape into provider-specific semantics. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail.
identity_auth,authoritative_truth,Authoritative Truth Separation,proof_truth,5,"[""Provider evidence pack proving transport acceptance and authoritative truth remain distinct for the NHS login identity rail."", ""Operational proof showing authoritative confirmation or durable observation is available to contract tests and audits.""]",Reject the provider if it cannot represent authoritative truth separately from accepted transport or local acknowledgement.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",No provider family may pass without explicit proof-truth semantics. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail.
identity_auth,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,5,"[""Provider docs or sandbox evidence showing duplicate, replay, delayed, contradictory, or missing events can be detected and reconciled."", ""Evidence that operators can inspect and recover ambiguous the NHS login identity rail states without vendor-side guesswork.""]",Reject the provider if failure semantics are opaque or if ambiguity cannot be surfaced for review.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Opaque ambiguity handling is a hard architectural failure, not a scoring nicety. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,security_replay,"Security, Authentication, And Replay Control",security,5,"[""Security docs showing webhook authentication, key rotation, replay protection, and environment isolation for the NHS login identity rail."", ""Evidence that the provider does not require browser egress or client-side secrets for the protected path.""]","Reject the provider if replay protection, callback authenticity, or environment isolation are inadequate.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",Security control evidence must remain compatible with future secret ownership and vault-ingest law. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail.
identity_auth,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,4,"[""UK residency, subprocessor, retention, and deletion evidence for the NHS login identity rail."", ""Data-flow explanation showing what patient or event data leaves Vecells and on what legal or contractual basis.""]","Reject the provider if residency, subprocessor scope, or deletion posture are unclear or incompatible.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Mock-now uses synthetic data, but actual-later must still preserve the same disclosure boundaries. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,healthcare_compliance,UK Healthcare Compliance And Assurance Readiness,compliance,5,"[""Current assurance, clinical-safety, or onboarding evidence required for the NHS login identity rail."", ""Evidence that the provider can support the controls Vecells must later attest under NHS, DSPT, DCB, or partner law.""]",Reject the provider if compliance posture is incompatible or cannot be evidenced for audit.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Actual-provider acceptance is blocked until the compliance evidence pack exists and matches the architecture. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,onboarding_and_sponsorship,Onboarding Friction And Sponsor Burden,onboarding_friction,4,"[""Named sponsor, approval, legal, and procurement prerequisites for the NHS login identity rail."", ""Environment, account, and credential intake checklist with manual approvals and blockers called out.""]","Reject the provider if critical approvals, sponsor paths, or account prerequisites are undefined.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Actual-provider strategy weights this heavily because onboarding latency can distort programme order if left implicit. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,sandbox_depth,Sandbox Depth And Environment Isolation,sandbox_quality,4,"[""Sandbox or pre-prod evidence showing the provider can exercise the needed control-plane semantics for the NHS login identity rail."", ""Environment-isolation rules proving redirect URIs, sender IDs, mailboxes, or endpoints do not cross environments.""]",Reject the provider if its sandbox is too shallow to verify the required semantics before go-live.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Mock-now cares about full state coverage, not a thin happy-path stub. Mock-now is heavier because the simulator must prove this behavior before live onboarding exists. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,test_data_fidelity,Test Data And Synthetic Fixture Quality,test_data_quality,4,"[""Sandbox test-data docs showing whether the provider can reproduce the edge cases Vecells needs for the NHS login identity rail."", ""Evidence that test identities, records, or dispatch references can be reset or rotated safely.""]",Reject the provider if test data cannot reproduce the required control-plane and failure semantics.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",Weak test data quality usually hides real integration risk until too late in the programme. Mock-now is heavier because the simulator must prove this behavior before live onboarding exists. The mapped seq_021 seams are NHS login core identity rail.
identity_auth,observability_and_audit,"Observability, Audit, And Replay Support",observability,4,"[""Provider observability or audit artifacts showing correlation IDs, delivery or callback logs, and replay-friendly evidence."", ""Evidence that support and incident teams can inspect the NHS login identity rail without relying on hidden provider dashboards alone.""]","Reject the provider if audit, replay, or diagnostic support is too weak to prove control-plane behavior.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",Observability must support both runtime diagnosis and later assurance evidence generation. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail.
