frontend_contract_manifest_id,audience_surface,route_family_id,gateway_surface_refs,projection_query_contract_refs,mutation_command_contract_refs,live_update_channel_contract_refs,client_cache_policy_ref,projection_contract_version_set_ref,command_settlement_schema_ref,transition_envelope_schema_ref,release_recovery_disposition_ref,route_freeze_disposition_ref,browser_posture_state,accessibility_profile_ref,automation_anchor_profile_ref,surface_state_semantics_profile_ref,drift_state
FCM_050_PATIENT_PUBLIC_ENTRY_V1,audsurf_patient_public_entry,rf_intake_self_service,gws_patient_intake_web,PQC_050_RF_INTAKE_SELF_SERVICE_V1,MCC_050_RF_INTAKE_SELF_SERVICE_V1,,CP_PUBLIC_NO_PERSISTED_PHI,PCVS_050_PATIENT_PUBLIC_ENTRY_V1,CommandSettlementSchema::intake_self_service::v1,TransitionEnvelopeSchema::intake_self_service::v1,RRD_PATIENT_INTAKE_RECOVERY,RFD_050_PATIENT_PUBLIC_ENTRY_V1,recovery_only,ASCP_050_RF_INTAKE_SELF_SERVICE_V1,AAP_050_RF_INTAKE_SELF_SERVICE_V1,SSSP_050_RF_INTAKE_SELF_SERVICE_V1,planned_publication_gap
FCM_050_PATIENT_PUBLIC_ENTRY_V1,audsurf_patient_public_entry,rf_intake_telephony_capture,gws_patient_intake_phone,PQC_050_RF_INTAKE_TELEPHONY_CAPTURE_V1,MCC_050_RF_INTAKE_TELEPHONY_CAPTURE_V1,,CP_CONSTRAINED_CAPTURE_NO_BROWSER_CACHE,PCVS_050_PATIENT_PUBLIC_ENTRY_V1,CommandSettlementSchema::intake_telephony_capture::v1,TransitionEnvelopeSchema::intake_telephony_capture::v1,RRD_PATIENT_INTAKE_RECOVERY,RFD_050_PATIENT_PUBLIC_ENTRY_V1,recovery_only,ASCP_050_RF_INTAKE_TELEPHONY_CAPTURE_V1,AAP_050_RF_INTAKE_TELEPHONY_CAPTURE_V1,SSSP_050_RF_INTAKE_TELEPHONY_CAPTURE_V1,planned_publication_gap
FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,audsurf_patient_authenticated_portal,rf_patient_home,gws_patient_home,PQC_050_RF_PATIENT_HOME_V1,MCC_050_RF_PATIENT_HOME_V1,LCC_050_RF_PATIENT_HOME_V1,CP_PATIENT_SUMMARY_PRIVATE_SHORT,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,CommandSettlementSchema::patient_home::v1,TransitionEnvelopeSchema::patient_home::v1,RRD_ARTIFACT_HANDOFF_REQUIRED,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1,read_only,ASCP_050_RF_PATIENT_HOME_V1,AAP_050_RF_PATIENT_HOME_V1,SSSP_050_RF_PATIENT_HOME_V1,design_publication_pending
FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,audsurf_patient_authenticated_portal,rf_patient_requests,gws_patient_requests,PQC_050_RF_PATIENT_REQUESTS_V1,MCC_050_RF_PATIENT_REQUESTS_V1,LCC_050_RF_PATIENT_REQUESTS_V1,CP_PATIENT_ROUTE_INTENT_PRIVATE,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,CommandSettlementSchema::patient_requests::v1,TransitionEnvelopeSchema::patient_requests::v1,RRD_ARTIFACT_HANDOFF_REQUIRED,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1,read_only,ASCP_050_RF_PATIENT_REQUESTS_V1,AAP_050_RF_PATIENT_REQUESTS_V1,SSSP_050_RF_PATIENT_REQUESTS_V1,design_publication_pending
FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,audsurf_patient_authenticated_portal,rf_patient_appointments,gws_patient_appointments,PQC_050_RF_PATIENT_APPOINTMENTS_V1,MCC_050_RF_PATIENT_APPOINTMENTS_V1,LCC_050_RF_PATIENT_APPOINTMENTS_V1,CP_PATIENT_BOOKING_PRIVATE_EPHEMERAL,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,CommandSettlementSchema::patient_appointments::v1,TransitionEnvelopeSchema::patient_appointments::v1,RRD_ARTIFACT_HANDOFF_REQUIRED,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1,read_only,ASCP_050_RF_PATIENT_APPOINTMENTS_V1,AAP_050_RF_PATIENT_APPOINTMENTS_V1,SSSP_050_RF_PATIENT_APPOINTMENTS_V1,design_publication_pending
FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,audsurf_patient_authenticated_portal,rf_patient_health_record,gws_patient_health_record,PQC_050_RF_PATIENT_HEALTH_RECORD_V1,MCC_050_RF_PATIENT_HEALTH_RECORD_V1,,CP_PATIENT_ARTIFACT_SUMMARY_NO_STORE,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,CommandSettlementSchema::patient_health_record::v1,TransitionEnvelopeSchema::patient_health_record::v1,RRD_ARTIFACT_HANDOFF_REQUIRED,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1,read_only,ASCP_050_RF_PATIENT_HEALTH_RECORD_V1,AAP_050_RF_PATIENT_HEALTH_RECORD_V1,SSSP_050_RF_PATIENT_HEALTH_RECORD_V1,design_publication_pending
FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,audsurf_patient_authenticated_portal,rf_patient_messages,gws_patient_messages,PQC_050_RF_PATIENT_MESSAGES_V1,MCC_050_RF_PATIENT_MESSAGES_V1,LCC_050_RF_PATIENT_MESSAGES_V1,CP_PATIENT_THREAD_PRIVATE_EPHEMERAL,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,CommandSettlementSchema::patient_messages::v1,TransitionEnvelopeSchema::patient_messages::v1,RRD_ARTIFACT_HANDOFF_REQUIRED,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1,read_only,ASCP_050_RF_PATIENT_MESSAGES_V1,AAP_050_RF_PATIENT_MESSAGES_V1,SSSP_050_RF_PATIENT_MESSAGES_V1,design_publication_pending
FCM_050_PATIENT_TRANSACTION_RECOVERY_V1,audsurf_patient_transaction_recovery,rf_patient_secure_link_recovery,gws_patient_secure_link_recovery,PQC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,MCC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,,CP_GRANT_SCOPED_EPHEMERAL,PCVS_050_PATIENT_TRANSACTION_RECOVERY_V1,CommandSettlementSchema::patient_secure_link_recovery::v1,TransitionEnvelopeSchema::patient_secure_link_recovery::v1,RRD_EMBEDDED_HANDOFF_ONLY,RFD_050_PATIENT_TRANSACTION_RECOVERY_V1,recovery_only,ASCP_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,AAP_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,SSSP_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,deferred_channel_mixed
FCM_050_PATIENT_TRANSACTION_RECOVERY_V1,audsurf_patient_transaction_recovery,rf_patient_embedded_channel,gws_patient_embedded_shell,PQC_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,MCC_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,LCC_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,CP_EMBEDDED_HOST_SCOPED_EPHEMERAL,PCVS_050_PATIENT_TRANSACTION_RECOVERY_V1,CommandSettlementSchema::patient_embedded_channel::v1,TransitionEnvelopeSchema::patient_embedded_channel::v1,RRD_EMBEDDED_HANDOFF_ONLY,RFD_050_PATIENT_TRANSACTION_RECOVERY_V1,recovery_only,ASCP_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,AAP_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,SSSP_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,deferred_channel_mixed
FCM_050_CLINICAL_WORKSPACE_V1,audsurf_clinical_workspace,rf_staff_workspace,gws_clinician_workspace;gws_practice_ops_workspace,PQC_050_RF_STAFF_WORKSPACE_V1,MCC_050_RF_STAFF_WORKSPACE_V1,LCC_050_RF_STAFF_WORKSPACE_V1,CP_WORKSPACE_SINGLE_ORG_PRIVATE,PCVS_050_CLINICAL_WORKSPACE_V1,CommandSettlementSchema::staff_workspace::v1,TransitionEnvelopeSchema::staff_workspace::v1,RRD_ASSISTIVE_READ_ONLY,RFD_050_CLINICAL_WORKSPACE_V1,read_only,ASCP_050_RF_STAFF_WORKSPACE_V1,AAP_050_RF_STAFF_WORKSPACE_V1,SSSP_050_RF_STAFF_WORKSPACE_V1,planned_exactness_gap
FCM_050_CLINICAL_WORKSPACE_V1,audsurf_clinical_workspace,rf_staff_workspace_child,gws_clinician_workspace_child;gws_assistive_sidecar,PQC_050_RF_STAFF_WORKSPACE_CHILD_V1,MCC_050_RF_STAFF_WORKSPACE_CHILD_V1,LCC_050_RF_STAFF_WORKSPACE_CHILD_V1,CP_WORKSPACE_CHILD_PRIVATE_EPHEMERAL,PCVS_050_CLINICAL_WORKSPACE_V1,CommandSettlementSchema::staff_workspace_child::v1,TransitionEnvelopeSchema::staff_workspace_child::v1,RRD_ASSISTIVE_READ_ONLY,RFD_050_CLINICAL_WORKSPACE_V1,read_only,ASCP_050_RF_STAFF_WORKSPACE_CHILD_V1,AAP_050_RF_STAFF_WORKSPACE_CHILD_V1,SSSP_050_RF_STAFF_WORKSPACE_CHILD_V1,planned_exactness_gap
FCM_050_SUPPORT_WORKSPACE_V1,audsurf_support_workspace,rf_support_ticket_workspace,gws_support_ticket_workspace;gws_support_assisted_capture,PQC_050_RF_SUPPORT_TICKET_WORKSPACE_V1,MCC_050_RF_SUPPORT_TICKET_WORKSPACE_V1,LCC_050_RF_SUPPORT_TICKET_WORKSPACE_V1,CP_SUPPORT_MASKED_PRIVATE,PCVS_050_SUPPORT_WORKSPACE_V1,CommandSettlementSchema::support_ticket_workspace::v1,TransitionEnvelopeSchema::support_ticket_workspace::v1,RRD_SUPPORT_CAPTURE_READ_ONLY,RFD_050_SUPPORT_WORKSPACE_V1,recovery_only,ASCP_050_RF_SUPPORT_TICKET_WORKSPACE_V1,AAP_050_RF_SUPPORT_TICKET_WORKSPACE_V1,SSSP_050_RF_SUPPORT_TICKET_WORKSPACE_V1,replay_restore_guarded
FCM_050_SUPPORT_WORKSPACE_V1,audsurf_support_workspace,rf_support_replay_observe,gws_support_replay_observe,PQC_050_RF_SUPPORT_REPLAY_OBSERVE_V1,MCC_050_RF_SUPPORT_REPLAY_OBSERVE_V1,LCC_050_RF_SUPPORT_REPLAY_OBSERVE_V1,CP_SUPPORT_REPLAY_FROZEN_NO_STORE,PCVS_050_SUPPORT_WORKSPACE_V1,CommandSettlementSchema::support_replay_observe::v1,TransitionEnvelopeSchema::support_replay_observe::v1,RRD_SUPPORT_CAPTURE_READ_ONLY,RFD_050_SUPPORT_WORKSPACE_V1,recovery_only,ASCP_050_RF_SUPPORT_REPLAY_OBSERVE_V1,AAP_050_RF_SUPPORT_REPLAY_OBSERVE_V1,SSSP_050_RF_SUPPORT_REPLAY_OBSERVE_V1,replay_restore_guarded
FCM_050_HUB_DESK_V1,audsurf_hub_desk,rf_hub_queue,gws_hub_queue,PQC_050_RF_HUB_QUEUE_V1,MCC_050_RF_HUB_QUEUE_V1,LCC_050_RF_HUB_QUEUE_V1,CP_HUB_QUEUE_PRIVATE_SUMMARY,PCVS_050_HUB_DESK_V1,CommandSettlementSchema::hub_queue::v1,TransitionEnvelopeSchema::hub_queue::v1,RRD_HUB_CASE_READ_ONLY,RFD_050_HUB_DESK_V1,read_only,ASCP_050_RF_HUB_QUEUE_V1,AAP_050_RF_HUB_QUEUE_V1,SSSP_050_RF_HUB_QUEUE_V1,planned_exactness_gap
FCM_050_HUB_DESK_V1,audsurf_hub_desk,rf_hub_case_management,gws_hub_case_management,PQC_050_RF_HUB_CASE_MANAGEMENT_V1,MCC_050_RF_HUB_CASE_MANAGEMENT_V1,LCC_050_RF_HUB_CASE_MANAGEMENT_V1,CP_HUB_CASE_PRIVATE_EPHEMERAL,PCVS_050_HUB_DESK_V1,CommandSettlementSchema::hub_case_management::v1,TransitionEnvelopeSchema::hub_case_management::v1,RRD_HUB_CASE_READ_ONLY,RFD_050_HUB_DESK_V1,read_only,ASCP_050_RF_HUB_CASE_MANAGEMENT_V1,AAP_050_RF_HUB_CASE_MANAGEMENT_V1,SSSP_050_RF_HUB_CASE_MANAGEMENT_V1,planned_exactness_gap
FCM_050_PHARMACY_CONSOLE_V1,audsurf_pharmacy_console,rf_pharmacy_console,gws_pharmacy_console,PQC_050_RF_PHARMACY_CONSOLE_V1,MCC_050_RF_PHARMACY_CONSOLE_V1,LCC_050_RF_PHARMACY_CONSOLE_V1,CP_PHARMACY_CASE_PRIVATE,PCVS_050_PHARMACY_CONSOLE_V1,CommandSettlementSchema::pharmacy_console::v1,TransitionEnvelopeSchema::pharmacy_console::v1,RRD_PHARMACY_DISPATCH_RECOVERY,RFD_050_PHARMACY_CONSOLE_V1,read_only,ASCP_050_RF_PHARMACY_CONSOLE_V1,AAP_050_RF_PHARMACY_CONSOLE_V1,SSSP_050_RF_PHARMACY_CONSOLE_V1,planned_exactness_gap
FCM_050_OPERATIONS_CONSOLE_V1,audsurf_operations_console,rf_operations_board,gws_operations_board,PQC_050_RF_OPERATIONS_BOARD_V1,MCC_050_RF_OPERATIONS_BOARD_V1,LCC_050_RF_OPERATIONS_BOARD_V1,CP_OPERATIONS_WATCH_NO_SHARED_CACHE,PCVS_050_OPERATIONS_CONSOLE_V1,CommandSettlementSchema::operations_board::v1,TransitionEnvelopeSchema::operations_board::v1,RRD_OPERATIONS_BOARD_FROZEN,RFD_050_OPERATIONS_CONSOLE_V1,recovery_only,ASCP_050_RF_OPERATIONS_BOARD_V1,AAP_050_RF_OPERATIONS_BOARD_V1,SSSP_050_RF_OPERATIONS_BOARD_V1,watch_tuple_guarded
