provider_family,dimension_id,dimension_title,dimension_class,minimum_bar_mock_now,evidence_required_mock_now,kill_switch_if_failed_mock_now,source_refs,notes
identity_auth,contract_shape,Capability And Tuple Coverage,capability,4,"[""State and action-scope matrix for Identity / Authentication covering OIDC authorize/token/userinfo/logout, vector-of-trust, step-up, consent-declined recovery, redirect-URI isolation, and callback replay fences."", ""Contract-test pack proving Vecells reads only the adapter-bound tuple for the NHS login identity rail.""]","Reject the mock if it collapses capability, route tuple, or actor scope into a generic success flow.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",Capability evaluation must stay in the Vecells core and may not escape into provider-specific semantics. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail.
identity_auth,authoritative_truth,Authoritative Truth Separation,proof_truth,5,"[""Simulator evidence showing accepted transport, pending proof, disputed proof, and authoritative confirmation as separate states for the NHS login identity rail."", ""Replay-safe ledger trace proving patient-visible or staff-visible calmness waits for the correct proof class.""]",Reject the mock if provider acceptance or webhook arrival is treated as authoritative truth.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",No provider family may pass without explicit proof-truth semantics. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail.
identity_auth,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,5,"[""Fault-injection cases for stale, contradictory, duplicated, replayed, and out-of-order events within the NHS login identity rail."", ""Projection evidence proving ambiguous or degraded states stay open and block calm copy where required.""]",Reject the mock if contradictory or weak evidence collapses into silent retry or silent success.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Opaque ambiguity handling is a hard architectural failure, not a scoring nicety. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,security_replay,"Security, Authentication, And Replay Control",security,5,"[""Threat-model and contract tests for signed callbacks, nonce or state handling, replay protection, and environment isolation around the NHS login identity rail."", ""Evidence that browser-to-provider direct calls are impossible for this family.""]","Reject the mock if it permits direct browser calls, token reuse, or unverified callbacks.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",Security control evidence must remain compatible with future secret ownership and vault-ingest law. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail.
identity_auth,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,3,"[""Synthetic-data-only fixture pack for the NHS login identity rail with explicit PHI exclusion and redaction traces."", ""Mock data-retention statement describing what is persisted and why.""]","Reject the mock if it encourages real credentials, real patient data, or uncontrolled retention.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Mock-now uses synthetic data, but actual-later must still preserve the same disclosure boundaries. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,healthcare_compliance,UK Healthcare Compliance And Assurance Readiness,compliance,3,"[""Mock contract note describing which assurance or standards obligations the family must later satisfy."", ""Evidence map linking the NHS login identity rail to the relevant NHS or clinical-safety posture without claiming live approval.""]",Reject the mock if it implies live approval or hides later assurance obligations.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Actual-provider acceptance is blocked until the compliance evidence pack exists and matches the architecture. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,onboarding_and_sponsorship,Onboarding Friction And Sponsor Burden,onboarding_friction,2,"[""Explicit statement of which onboarding steps are intentionally deferred for the NHS login identity rail."", ""Task linkage showing how the mock keeps engineering moving while live approval waits.""]",Reject the mock if it pretends onboarding does not matter or hides later human approvals.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Actual-provider strategy weights this heavily because onboarding latency can distort programme order if left implicit. Actual-provider later is heavier because later onboarding adds approval, support, or compliance burden without lowering the proof bar. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,sandbox_depth,Sandbox Depth And Environment Isolation,sandbox_quality,5,"[""Simulator runbook proving every critical state, callback, and error path for the NHS login identity rail exists in a deterministic local environment."", ""Evidence that dev, test, and later-live behavior are separated without changing contract shape.""]","Reject the mock if the sandbox misses states that drive patient-visible truth, safety, or control-plane decisions.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","Mock-now cares about full state coverage, not a thin happy-path stub. Mock-now is heavier because the simulator must prove this behavior before live onboarding exists. The mapped seq_021 seams are NHS login core identity rail."
identity_auth,test_data_fidelity,Test Data And Synthetic Fixture Quality,test_data_quality,4,"[""Synthetic fixture set for the NHS login identity rail covering nominal, degraded, replay, stale, and blocked paths."", ""Contract-test evidence that fixture data preserves identifiers, timestamps, and hashes needed for Vecells logic.""]","Reject the mock if fixture data cannot reproduce the states that later drive calmness, closure, or recovery.","[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",Weak test data quality usually hides real integration risk until too late in the programme. Mock-now is heavier because the simulator must prove this behavior before live onboarding exists. The mapped seq_021 seams are NHS login core identity rail.
identity_auth,observability_and_audit,"Observability, Audit, And Replay Support",observability,3,"[""Event trace or audit view for the NHS login identity rail showing correlation IDs, proof upgrades, and replay handling."", ""Evidence that the simulator preserves the same diagnostic fields later live adapters will need.""]",Reject the mock if it removes the audit or replay evidence later diagnostics will rely on.,"[""blueprint/phase-2-the-identity-and-echoes.md#2A. Trust contract and capability gates"", ""blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]",Observability must support both runtime diagnosis and later assurance evidence generation. Weights stay equal because the architectural law is invariant across mock-now and actual-provider later. The mapped seq_021 seams are NHS login core identity rail.
