vendor_id,vendor_name,provider_family,vendor_lane,supports_test_mode,supports_webhooks,supports_replay_protection,supports_delivery_callbacks,supports_recording_or_attachment_references,uk_or_required_region_support_summary,trust_and_compliance_evidence_refs,cost_governance_notes,lock_in_risk,mock_now_fit_score,actual_later_fit_score,kill_switch_reason_if_any,source_refs,notes
vecells_signal_fabric,Vecells Internal Signal Fabric,combined,mock_only,yes,yes,yes,yes,yes,"Shared webhook-signing, dedupe, and continuity semantics across voice, SMS, and email without any live account dependency.",,No vendor spend. This is the only selected combined lane for MVP development.,low,98,97,,docs/external/21_integration_priority_and_execution_matrix.md#Commercial Vendor Onboarding;data/analysis/external_account_inventory.csv#ACC_TEL_LOCAL_SIM_PRINCIPAL;data/analysis/external_account_inventory.csv#ACC_SMS_LOCAL_SIM_PRINCIPAL;data/analysis/external_account_inventory.csv#ACC_EMAIL_LOCAL_SIM_PRINCIPAL,Mock-now execution stays on the internal combined signal fabric even though real providers are researched now. No external vendor is allowed to become lifecycle authority during MVP buildout.
twilio_sendgrid_suite,Twilio Communications + Twilio SendGrid,combined,candidate,yes,yes,yes,yes,yes,"Strong cross-family coverage, but voice/SMS and email still operate as distinct products with different residency and callback semantics.",ev_twilio_regions;ev_sendgrid_eu,"Could reduce vendor count, but creates one larger commercial envelope with high failure-domain coupling and different sandbox semantics across channels.",very_high,76,73,,https://www.twilio.com/docs/iam/test-credentials;https://www.twilio.com/docs/sendgrid/data-residency/migrate-subusers;https://www.twilio.com/docs/sendgrid/for-developers/tracking-events/getting-started-event-webhook-security-features,A credible combined-suite candidate only. It is not shortlisted because split-vendor posture reduces coupling and avoids one vendor becoming hidden lifecycle authority.
sinch_mailgun_suite,Sinch Communications + Mailgun,combined,candidate,yes,yes,yes,yes,yes,"Voice, SMS, and email can be covered under the wider Sinch group, with explicit EU region support on the Mailgun email side.",ev_sinch_voice_signing;ev_mailgun_api_overview,Potential procurement simplicity is offset by weaker public sandbox and operational evidence on the telephony/SMS side.,high,74,73,,https://developers.sinch.com/docs/voice/api-reference/authentication/callback-signed-request/;https://developers.sinch.com/docs/sms/api-reference/sms/webhooks/deliveryreport;https://documentation.mailgun.com/docs/mailgun/api-reference/api-overview,"Interesting medium-term portfolio option, but the reviewed public evidence still favors split vendors for lower coupling and clearer sandbox-to-live behavior."
vonage_single_suite,Vonage-only Single Suite,combined,rejected,yes,yes,yes,yes,yes,"Vonage covers voice and SMS strongly, but the reviewed official material does not provide a matching first-party email rail for all three families.",ev_vonage_voice_webhooks;ev_vonage_signing,Rejected before commercial scoring because family coverage is incomplete for the required all-three combined posture.,medium,64,66,Rejected because there is no reviewed first-party Vonage email rail to satisfy the all-three combined strategy.,https://developer.vonage.com/en/voice/voice-api/webhook-reference;https://developer.vonage.com/en/getting-started/concepts/signing-messages,"Useful for voice-plus-SMS comparison, but not admissible as a single all-communications suite for this task."
vecells_signal_twin_email,Vecells Internal Email Rail Twin,email,mock_only,yes,yes,yes,yes,yes,"Local-only secure-link and reassurance rail with synthetic domains, template versions, and event logs.",,No external spend; synthetic senders and deterministic event bundles only.,low,98,97,,data/analysis/external_account_inventory.csv#ACC_EMAIL_LOCAL_SIM_PRINCIPAL;data/analysis/integration_priority_matrix.json#int_email_notification_delivery,Selected mock-now email rail. Must preserve accepted vs delivered vs delayed vs bounced vs complained vs disputed outcomes and controlled resend under the same authoritative chain.
mailgun_email,Mailgun,email,shortlisted,yes,yes,yes,yes,yes,"Mailgun supports US and EU regions and states message data stays in-region, with sandbox domains for safe testing.",ev_mailgun_api_overview;ev_mailgun_secure_webhooks,"Subaccounts roll billing into the parent account, so finance controls must live at the parent plus subaccount-limit layer.",medium,84,84,,https://documentation.mailgun.com/docs/mailgun/user-manual/webhooks/webhooks;https://documentation.mailgun.com/docs/mailgun/user-manual/webhooks/securing-webhooks;https://documentation.mailgun.com/docs/mailgun/api-reference/api-overview;https://documentation.mailgun.com/docs/mailgun/user-manual/domains/domains-sandbox;https://documentation.mailgun.com/docs/mailgun/user-manual/subaccounts/subaccounts,"Best fit for authoritative delivery ambiguity, explicit replay defense, EU region control, and project-style subaccount segmentation."
sendgrid_email,Twilio SendGrid,email,shortlisted,yes,yes,yes,yes,no,"SendGrid now supports EU data-resident subusers and EU-pinned sender authentication, but requires paid-account subusers for that posture.",ev_sendgrid_webhook_signing;ev_sendgrid_eu,Subusers require a paid account; sandbox mode validates requests but cannot stand in for webhook-event testing.,high,80,80,,https://www.twilio.com/docs/sendgrid/for-developers/sending-email/sandbox-mode/;https://www.twilio.com/docs/sendgrid/for-developers/tracking-events/event;https://www.twilio.com/docs/sendgrid/for-developers/tracking-events/getting-started-event-webhook-security-features;https://www.twilio.com/docs/sendgrid/ui/account-and-settings/subusers/;https://www.twilio.com/docs/sendgrid/glossary/domain-authentication;https://www.twilio.com/docs/sendgrid/data-residency/migrate-subusers,Strong webhook security and EU subuser posture offset the sandbox limitation that no event webhooks fire during sandbox-mode validation.
postmark_email,Postmark,email,rejected,yes,yes,no,yes,no,"Postmark publishes pricing and developer tiers, but the reviewed official material does not show the same explicit region-residency controls as Mailgun or SendGrid.",ev_postmark_webhooks,"Pricing and free developer usage are attractive, but security shortcomings are disqualifying for this dossier.",medium,80,79,"Rejected because the reviewed official webhook guidance exposes custom headers and basic auth but no signed or replay-safe callback proof, which fails the seq_031 delivery-evidence bar.",https://postmarkapp.com/developer/user-guide/send-email-with-api;https://postmarkapp.com/manual;https://postmarkapp.com/support/article/1115-how-do-modular-webhooks-work;https://postmarkapp.com/pricing/,"Excellent testing ergonomics and message-stream separation, but current official docs do not meet the replay-safe callback requirement for authoritative delivery evidence."
vecells_signal_twin_sms,Vecells Internal SMS Rail Twin,sms,mock_only,yes,yes,yes,yes,no,Local-only seeded and challenge continuation rail; never sends to real recipients.,,No external spend; synthetic sender IDs and deterministic webhook fixtures only.,low,98,97,,data/analysis/external_account_inventory.csv#ACC_SMS_LOCAL_SIM_PRINCIPAL;data/analysis/integration_priority_matrix.json#int_sms_continuation_delivery,"Selected mock-now SMS rail. Must preserve accepted vs delayed vs bounced vs expired delivery, wrong-recipient risk, replay-safe callbacks, and non-authoritative transport acceptance."
twilio_sms,Twilio,sms,shortlisted,yes,yes,no,yes,no,"Twilio publishes UK SMS pricing and global messaging support, but explicit EU SMS residency is still private beta and numbers remain global account assets.",ev_twilio_webhook_security;ev_twilio_regions,"Public per-message pricing is strong, but number inventory, carrier fees, and trial-to-paid transitions need procurement governance.",high,81,79,,https://www.twilio.com/docs/iam/test-credentials;https://www.twilio.com/docs/messaging/guides/track-outbound-message-status;https://www.twilio.com/docs/usage/webhooks/webhooks-security;https://www.twilio.com/en-us/sms/pricing/gb,"High-quality API and callback coverage, but no first-class replay token in the reviewed webhook docs means the adapter must own replay defense."
