tierId,tierLabel,fieldRef,visibility,placeholderContractRef,minimumNecessaryContractRef,policyRef,driftResponse
origin_practice_visibility,Origin practice visibility,requestLineageRef,visible,,MinimumNecessaryContract.origin_practice,HubPracticeVisibilityPolicy,"Demote to read-only or recovery posture when organisation, purpose-of-use, or envelope drift invalidates the current scope."
origin_practice_visibility,Origin practice visibility,macro_booking_status,visible,,MinimumNecessaryContract.origin_practice,HubPracticeVisibilityPolicy,"Demote to read-only or recovery posture when organisation, purpose-of-use, or envelope drift invalidates the current scope."
origin_practice_visibility,Origin practice visibility,fallback_reason_code,visible,,MinimumNecessaryContract.origin_practice,HubPracticeVisibilityPolicy,"Demote to read-only or recovery posture when organisation, purpose-of-use, or envelope drift invalidates the current scope."
origin_practice_visibility,Origin practice visibility,patient_communication_state,visible,,MinimumNecessaryContract.origin_practice,HubPracticeVisibilityPolicy,"Demote to read-only or recovery posture when organisation, purpose-of-use, or envelope drift invalidates the current scope."
origin_practice_visibility,Origin practice visibility,latest_continuity_delta,visible,,MinimumNecessaryContract.origin_practice,HubPracticeVisibilityPolicy,"Demote to read-only or recovery posture when organisation, purpose-of-use, or envelope drift invalidates the current scope."
origin_practice_visibility,Origin practice visibility,ack_generation_state,visible,,MinimumNecessaryContract.origin_practice,HubPracticeVisibilityPolicy,"Demote to read-only or recovery posture when organisation, purpose-of-use, or envelope drift invalidates the current scope."
origin_practice_visibility,Origin practice visibility,hub_internal_free_text,withheld,HubOutOfScopePlaceholder.origin_practice,MinimumNecessaryContract.origin_practice,HubPracticeVisibilityPolicy,"Demote to read-only or recovery posture when organisation, purpose-of-use, or envelope drift invalidates the current scope."
origin_practice_visibility,Origin practice visibility,cross_site_capacity_detail,withheld,HubOutOfScopePlaceholder.origin_practice,MinimumNecessaryContract.origin_practice,HubPracticeVisibilityPolicy,"Demote to read-only or recovery posture when organisation, purpose-of-use, or envelope drift invalidates the current scope."
origin_practice_visibility,Origin practice visibility,raw_native_booking_proof,withheld,HubOutOfScopePlaceholder.origin_practice,MinimumNecessaryContract.origin_practice,HubPracticeVisibilityPolicy,"Demote to read-only or recovery posture when organisation, purpose-of-use, or envelope drift invalidates the current scope."
hub_desk_visibility,Hub desk visibility,clinical_routing_summary,visible,,MinimumNecessaryContract.hub_desk,HubDeskVisibilityProjectionPolicy,Freeze writable controls in place and require a same-shell re-read under the new acting context.
hub_desk_visibility,Hub desk visibility,operational_timing_needs,visible,,MinimumNecessaryContract.hub_desk,HubDeskVisibilityProjectionPolicy,Freeze writable controls in place and require a same-shell re-read under the new acting context.
hub_desk_visibility,Hub desk visibility,travel_access_constraints,visible,,MinimumNecessaryContract.hub_desk,HubDeskVisibilityProjectionPolicy,Freeze writable controls in place and require a same-shell re-read under the new acting context.
hub_desk_visibility,Hub desk visibility,governed_coordination_evidence,visible,,MinimumNecessaryContract.hub_desk,HubDeskVisibilityProjectionPolicy,Freeze writable controls in place and require a same-shell re-read under the new acting context.
hub_desk_visibility,Hub desk visibility,requestLineageRef,visible,,MinimumNecessaryContract.hub_desk,HubDeskVisibilityProjectionPolicy,Freeze writable controls in place and require a same-shell re-read under the new acting context.
hub_desk_visibility,Hub desk visibility,selected_candidate_ref,visible,,MinimumNecessaryContract.hub_desk,HubDeskVisibilityProjectionPolicy,Freeze writable controls in place and require a same-shell re-read under the new acting context.
hub_desk_visibility,Hub desk visibility,broad_narrative_without_promotion,withheld,HubOutOfScopePlaceholder.hub_desk,MinimumNecessaryContract.hub_desk,HubDeskVisibilityProjectionPolicy,Freeze writable controls in place and require a same-shell re-read under the new acting context.
hub_desk_visibility,Hub desk visibility,attachment_payload_without_break_glass,withheld,HubOutOfScopePlaceholder.hub_desk,MinimumNecessaryContract.hub_desk,HubDeskVisibilityProjectionPolicy,Freeze writable controls in place and require a same-shell re-read under the new acting context.
servicing_site_visibility,Servicing site visibility,encounter_delivery_brief,visible,,MinimumNecessaryContract.servicing_site,HubServicingSiteVisibilityPolicy,Keep the case anchor visible but downgrade to read-only delivery posture until the servicing-site envelope is regenerated.
servicing_site_visibility,Servicing site visibility,site_local_capacity,visible,,MinimumNecessaryContract.servicing_site,HubServicingSiteVisibilityPolicy,Keep the case anchor visible but downgrade to read-only delivery posture until the servicing-site envelope is regenerated.
servicing_site_visibility,Servicing site visibility,confirmed_slot_summary,visible,,MinimumNecessaryContract.servicing_site,HubServicingSiteVisibilityPolicy,Keep the case anchor visible but downgrade to read-only delivery posture until the servicing-site envelope is regenerated.
servicing_site_visibility,Servicing site visibility,manage_capability_state,visible,,MinimumNecessaryContract.servicing_site,HubServicingSiteVisibilityPolicy,Keep the case anchor visible but downgrade to read-only delivery posture until the servicing-site envelope is regenerated.
servicing_site_visibility,Servicing site visibility,origin_practice_triage_notes,withheld,HubOutOfScopePlaceholder.servicing_site,MinimumNecessaryContract.servicing_site,HubServicingSiteVisibilityPolicy,Keep the case anchor visible but downgrade to read-only delivery posture until the servicing-site envelope is regenerated.
servicing_site_visibility,Servicing site visibility,callback_rationale,withheld,HubOutOfScopePlaceholder.servicing_site,MinimumNecessaryContract.servicing_site,HubServicingSiteVisibilityPolicy,Keep the case anchor visible but downgrade to read-only delivery posture until the servicing-site envelope is regenerated.
servicing_site_visibility,Servicing site visibility,alternative_options_other_sites,withheld,HubOutOfScopePlaceholder.servicing_site,MinimumNecessaryContract.servicing_site,HubServicingSiteVisibilityPolicy,Keep the case anchor visible but downgrade to read-only delivery posture until the servicing-site envelope is regenerated.
