task_id,screen_family,eligibility,may_show_safe_captured_context,shows_patient_detail_before_challenge,upload_visible,dominant_action_visible,manual_only_redeemable
par_198,SeededContinuationLanding,eligible_seeded,true,false,false,true,false
par_198,ChallengeContinuationLanding,eligible_challenge,false,false,false,true,false
par_198,ChallengeQuestionStep,eligible_challenge,false,false,false,true,false
par_198,CapturedSoFarReview,eligible_seeded,true,false,false,true,false
par_198,AddMoreDetailStep,eligible_seeded,true,false,false,true,false
par_198,UploadEvidenceStep,eligible_seeded,true,false,true,true,false
par_198,ReviewBeforeSubmitStep,eligible_seeded,true,false,true,true,false
par_198,ReplayMappedOutcome,replayed_mapping,true,false,false,true,false
par_198,StaleLinkRecoveryBridge,stale_superseded,true,false,false,true,false
par_198,ManualOnlyOutcome,manual_only,false,false,false,true,false
