record_class,class_kind,secret_presence,dual_control_default,mock_allowed,production_allowed,browser_trace_policy,log_redaction_policy,notes,source_refs
account,governed_partner_identity,no,policy_conditioned,yes,yes,placeholder_or_hash_only,identifier_hash_only,Partner console identities are governed metadata and may never be the only proof of runtime authority.,"prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
test_user,synthetic_or_partner_test_principal,yes,nonprod_only,yes,no,masked_test_identity_only,redact_username_and_password,Test-user credentials remain synthetic or partner-issued test-only material and may never widen into production privilege.,"prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
service_principal,runtime_secret,yes,yes,yes,yes,never_capture_value,full_secret_mask,Service principals are always runtime-only and injected through workload-bound secret retrieval.,"prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
client_registration,partner_metadata,no,policy_conditioned,yes,yes,placeholder_or_hash_only,identifier_hash_only,"Client IDs and redirect metadata remain governed configuration, not loose developer state.","prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
client_secret,runtime_secret,yes,yes,yes,yes,never_capture_value,full_secret_mask,"Client secrets are dual-controlled outside mock-only environments and never rendered into traces, screenshots, or markdown.","prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
private_key,key_material,yes,yes,yes,yes,never_capture_value,full_secret_mask,Private keys stay in HSM or KMS-backed custody when the environment is not mock-only.,"prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
public_key,partner_metadata,no,policy_conditioned,yes,yes,placeholder_or_hash_only,identifier_hash_only,"Public keys, JWKS references, and certificate chains may be published only through the governed metadata registry.","prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
webhook_secret,runtime_secret,yes,yes,yes,yes,never_capture_value,full_secret_mask,"Webhook shared secrets must bind replay control, callback authenticity, and revocation proof.","prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
mailbox_credential,runtime_secret,yes,yes,yes,yes,never_capture_value,full_secret_mask,"Mailbox credentials imply transport authority and must bind certificate, mailbox, and escalation ownership together.","prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
phone_number,service_endpoint_metadata,no,policy_conditioned,yes,yes,placeholder_or_hash_only,identifier_hash_only,"Phone numbers are operational identifiers and must never silently cross mock, test, and live cohorts.","prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
sender_identity,service_endpoint_metadata,no,policy_conditioned,yes,yes,placeholder_or_hash_only,identifier_hash_only,Sender identities carry wrong-recipient and dispute-handling obligations even when no secret value is present.,"prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
signing_key,key_material,yes,yes,yes,yes,never_capture_value,full_secret_mask,Signing keys require the same custody and incident handling as private keys.,"prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
sandbox_dataset,synthetic_fixture_pack,no,no,yes,no,synthetic_only,synthetic_identifier_only,Sandbox datasets remain synthetic and deterministic and may never absorb live partner credentials.,"prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
other,governed_metadata_or_placeholder,no,policy_conditioned,yes,yes,placeholder_only,identifier_hash_only,Miscellaneous metadata classes remain placeholders until later onboarding tasks publish a stricter profile.,"prompt/023.md; blueprint/platform-runtime-and-release-blueprint.md#Secrets must come from a managed secret store or KMS-backed mechanism, never from source control or long-lived CI variables.; docs/architecture/15_security_control_and_secret_management_baseline.md"
