truth_key,audience,surface,canonical_phrase,forbidden_collapse,governing_object,artifact_stage
patient_reassurance,patient,patient_confirmation,Appointment confirmed,Practice confirmed,current patient-facing confirmation truth,summary_first
practice_dispatch,patient,patient_confirmation,Practice informed,Appointment confirmed,current continuity dispatch and visibility envelope,summary_first
practice_ack,patient,patient_confirmation,Practice acknowledged,Appointment confirmed,current acknowledgement receipt,summary_first
patient_reassurance,hub,hub_commit,Appointment confirmed,Practice acknowledged,current settlement receipt and patient wording,summary_first
practice_dispatch,hub,hub_commit,Practice informed,Booked,current continuity preview and practice rows,summary_first
practice_ack,hub,practice_visibility,Practice acknowledged,Confirmed,current acknowledgement label,summary_first
manage_live,patient,patient_manage,Manage live,Appointment confirmed,current manage capability tuple,summary_first
provider_pending,patient,patient_manage,Provider pending,Confirmed,current settlement pending posture,summary_only
callback_fallback,patient,patient_manage,Callback fallback,Reminder delivered,current callback fallback path,summary_only
preview_gate,all,artifact_stage,Preview allowed,Open file,current parity plus active grant state,preview
placeholder_rule,all,artifact_stage,Why richer artifact detail is held back,Unavailable,current host or parity ceiling,summary_only
return_anchor,all,artifact_stage,Return to current summary or receipt,Back,current route anchor and same-shell receipt,safe
