case_id,input_condition,decision,subject_comparison_state,session_epoch_action,cookie_rotation_action,csrf_rotation_action,writable_authority_state,max_grant_ceiling,materialized_posture,termination_type,reason_codes
SESSION176_CREATE_FRESH,settled_binding_patient_link_and_capability_with_no_existing_session,create_fresh,no_existing_session,create,set_secure_http_only,issue,writable,request_attachment_write,active,,AUTH_171_CREATE_FRESH_APPROVED
SESSION176_REUSE_EXISTING,same_subject_same_binding_same_capability,reuse_existing,same_subject,reuse,none,none,writable,request_attachment_write,active,,AUTH_171_REUSE_EXISTING_SESSION
SESSION176_ROTATE_BINDING_CHANGE,same_subject_binding_version_changed,rotate_existing,same_subject,rotate,rotate_secure_http_only,rotate,writable,request_attachment_write,active,,AUTH_171_ROTATE_ON_BINDING_OR_PRIVILEGE_CHANGE
SESSION176_ROTATE_PRIVILEGE_CHANGE,same_subject_capability_or_writable_authority_changed,rotate_existing,same_subject,rotate,rotate_secure_http_only,rotate,writable,request_attachment_write,active,,AUTH_171_ROTATE_ON_BINDING_OR_PRIVILEGE_CHANGE
SESSION176_AUTH_BRIDGE_PENDING,auth_success_has_binding_intent_not_settled_binding,bounded_recovery,no_existing_session,no_session,none,none,blocked,continuation_recovery_only,recovery_only,,AUTH_171_AUTH_SUCCESS_NOT_SESSION|AUTH_171_BINDING_OR_CAPABILITY_PENDING
SESSION176_SUBJECT_SWITCH,existing_cookie_subject_differs_from_new_subject,bounded_recovery,subject_switch,no_session,none,none,blocked,continuation_recovery_only,recovery_only,subject_conflict,AUTH_171_SUBJECT_SWITCH_TEARDOWN
SESSION176_IDLE_TIMEOUT,last_seen_exceeds_30_minutes,bounded_recovery,same_subject,terminate,clear,clear,blocked,none,expired_idle,idle_timeout,AUTH_171_IDLE_TIMEOUT
SESSION176_ABSOLUTE_TIMEOUT,continuous_usage_exceeds_12_hours,bounded_recovery,same_subject,terminate,clear,clear,blocked,none,expired_absolute,absolute_timeout,AUTH_171_ABSOLUTE_TIMEOUT
SESSION176_LOGOUT,user_or_service_requests_logout,bounded_recovery,same_subject,terminate,clear,clear,blocked,none,terminated,logout,AUTH_171_LOGOUT_SETTLED
SESSION176_CSRF_DOWNGRADE,mutating_request_has_missing_or_mismatched_csrf,bounded_recovery,same_subject,terminate,preserve_read_only,preserve_read_only,read_only,request_status_read,restricted,downgrade,AUTH_171_SESSION_DOWNGRADED
SESSION176_MISSING_COOKIE,no_cookie_present_for_guard,bounded_recovery,unknown_existing_session,no_session,none,none,blocked,none,recovery_only,,AUTH_171_COOKIE_MISSING_NOT_AUTHORITY
SESSION176_REVOCATION,server_revokes_session,bounded_recovery,same_subject,terminate,clear,clear,blocked,none,revoked,revocation,AUTH_171_SESSION_REVOKED
