adapterId,adapterLabel,liveProviderMigrationRef,pendingOnboardingEvidence,simulatorAssumptionsToRevisit,proofObjectsBecomeLive,operationalMonitoringEvidence,blockedLiveGateCount,reviewLiveGateCount,currentExecutionPosture,actualProviderSummary
adp_nhs_login_auth_bridge,NHS login auth bridge,LCC_057_DEP_NHS_LOGIN_RAIL_V1,Environment-specific callback and session-parity rehearsal; Partner approval and current redirect inventory; Technical conformance evidence,Client identifiers and signing material; Environment-scoped redirect URIs; Official branding or consent-page chrome outside Vecells control,Callback replay and nonce fence parity; Consent decline and subject-mismatch recovery parity; Writable-versus-read-only session establishment parity,"Approve partner access, redirect and scope inventory, environment target, and mutation-gated callback parity evidence without weakening route-intent binding.; LIVE_GATE_ENVIRONMENT_TARGET_MISSING; LIVE_GATE_EXTERNAL_FOUNDATION_WITHHELD; LIVE_GATE_MUTATION_FLAG_DISABLED; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_TECHNICAL_CONFORMANCE_PENDING",4,2,simulator_backed,Partner approval and current redirect inventory; Technical conformance evidence
adp_optional_pds_enrichment,Optional PDS enrichment seam,LCC_057_DEP_PDS_FHIR_ENRICHMENT_V1,Legal basis and selected access mode; Named approver and environment; Wrong-patient and rollback readiness evidence,Access mode and network path; Certificate or credential profile; Demographic field mapping breadth,Feature-flag-off parity; No-match/multi-match regression; Wrong-patient hold preservation,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_PDS_LEGAL_BASIS_APPROVED; No mandatory graduation. The simulator remains permanent because the seam stays optional and tenants may deliberately keep the live route disabled.; PDS_LIVE_GATE_ACCESS_MODE_SELECTED; PDS_LIVE_GATE_ALLOW_REAL_PROVIDER_MUTATION; PDS_LIVE_GATE_ENVIRONMENT_TARGET_PRESENT; PDS_LIVE_GATE_NAMED_APPROVER_PRESENT,5,1,permanent_simulator,Legal basis and selected access mode; Named approver and environment
adp_telephony_ivr_recording,Telephony and IVR provider,LCC_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_V1,Recording policy approval plus named environment; Vendor approval and spend authority; Webhook security and replay posture,Number inventory and vendor account identifiers; Webhook signatures and callback payload shape; Recording retrieval mechanics,Recording-missing recovery parity; Urgent-live preemption parity; Webhook replay and signature-failure parity,"Approve vendor, recording posture, spend authority, webhook security pack, and named environment for the selected number profile.; TEL_LIVE_GATE_MUTATION_AND_SPEND_FLAGS; TEL_LIVE_GATE_NAMED_APPROVER; TEL_LIVE_GATE_PHASE0_EXTERNAL_READY; TEL_LIVE_GATE_PROCUREMENT_AND_SPEND_AUTHORITY; TEL_LIVE_GATE_RECORDING_REVIEW_APPROVED; TEL_LIVE_GATE_VENDOR_APPROVED; TEL_LIVE_GATE_WEBHOOK_SECURITY_PACK",4,3,simulator_backed,Vendor approval and spend authority; Webhook security and replay posture
adp_transcription_processing,Transcription processing provider,LCC_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_V1,Named approver and final operator acknowledgement; Region and retention posture; Webhook security evidence,Latency profile and callback shape; Vocabulary or confidence metadata; Storage scope for raw transcript artifacts,Manual-review requirement parity; Queued/partial/ready parity; Supersession regression,"Freeze region policy, retention policy, webhook security, and named environment for the selected transcript provider.; LIVE_GATE_EVIDENCE_FINAL_OPERATOR_ACK; LIVE_GATE_EVIDENCE_MUTATION_FLAG; LIVE_GATE_EVIDENCE_NAMED_APPROVER_AND_ENV; LIVE_GATE_EVIDENCE_REGION_POLICY_EXPLICIT; LIVE_GATE_EVIDENCE_RETENTION_POLICY_EXPLICIT; LIVE_GATE_EVIDENCE_WEBHOOK_SECURITY_READY",3,3,simulator_backed,Region and retention posture; Webhook security evidence
adp_sms_notification_delivery,SMS notification provider,LCC_057_DEP_SMS_NOTIFICATION_PROVIDER_V1,Audit log export and replay guard evidence; Human-only checkpoint policy from seq_039; Repair policy approval,Sender ID format; Provider delivery callback schema; Link delivery TTL values,Controlled resend authorization parity; Replay fence regression; Support repair visibility parity,"Freeze sender ownership, spend authority, and wrong-recipient repair policy for the selected SMS vendor.; LIVE_GATE_NOTIFY_APPROVER_AND_ENV; LIVE_GATE_NOTIFY_FINAL_POSTURE; LIVE_GATE_NOTIFY_LOG_EXPORT; LIVE_GATE_NOTIFY_REPAIR_POLICY",1,3,simulator_backed,Repair policy approval; Audit log export and replay guard evidence
adp_email_notification_delivery,Email notification provider,LCC_057_DEP_EMAIL_NOTIFICATION_PROVIDER_V1,Audit log export and replay guard evidence; Human-only checkpoint policy from seq_039; Repair policy approval,Sender and domain configuration; Webhook payload signatures; Provider event vocabularies for bounce and suppression,Controlled resend authorization parity; Replay fence regression; Support repair visibility parity,"Freeze sender ownership, domain verification, webhook security, and named environment for the chosen notification vendor.; LIVE_GATE_NOTIFY_APPROVER_AND_ENV; LIVE_GATE_NOTIFY_FINAL_POSTURE; LIVE_GATE_NOTIFY_LOG_EXPORT; LIVE_GATE_NOTIFY_REPAIR_POLICY",1,3,simulator_backed,Repair policy approval; Audit log export and replay guard evidence
adp_malware_artifact_scanning,Malware and artifact scanning twin,LCC_057_DEP_MALWARE_SCANNING_PROVIDER_V1,Storage scope and quarantine policy; Webhook security and mutation gate posture,Missing simulator catalog/runtime must stay explicit and blocked instead of implying current provider readiness.,Preserve ACP_057_DEP_MALWARE_SCANNING_PROVIDER_V1 proof semantics when the live provider replaces the gap row.,"Publish executable simulator or live-provider runtime evidence before promotion.; Bind webhook security, quarantine posture, and mutation-gate proof to the same adapter row.",3,2,simulator_backed,Storage scope and quarantine policy; Webhook security and mutation gate posture
adp_im1_pairing_programme_gate,IM1 pairing programme boundary,LCC_057_DEP_IM1_PAIRING_PROGRAMME_V1,"Bounded use-case approval; Current supplier roster and pairing approval; Named sponsor, approver, and environment",Exact field map and endpoint tuples; Supplier-specific manage coverage; Search or hold feature flags by supplier estate,Commit ambiguity regression; Manage-booking coverage parity; Search/hold/commit parity,"LIVE_GATE_CREDIBLE_MVP_AND_BOUNDED_USE_CASE; LIVE_GATE_ENVIRONMENT_TARGET_PRESENT; LIVE_GATE_MUTATION_FLAG_ENABLED; LIVE_GATE_NAMED_APPROVER_PRESENT; LIVE_GATE_NAMED_SPONSOR_AND_COMMERCIAL_OWNER; LIVE_GATE_PROVIDER_CAPABILITY_MODEL_FROZEN; LIVE_GATE_PROVIDER_ROSTER_REFRESH_REQUIRED; Pairing, provider roster refresh, bounded use-case approval, and named environment evidence are current for the EMIS lane.",6,1,simulator_backed,Current supplier roster and pairing approval; Bounded use-case approval
adp_gp_supplier_path_resolution,GP supplier path boundary,LCC_057_DEP_GP_SYSTEM_SUPPLIER_PATHS_V1,"Bounded use-case approval; Current supplier roster and pairing approval; Named sponsor, approver, and environment",Exact field map and endpoint tuples; Supplier-specific manage coverage; Search or hold feature flags by supplier estate,Commit ambiguity regression; Manage-booking coverage parity; Search/hold/commit parity,"LIVE_GATE_CREDIBLE_MVP_AND_BOUNDED_USE_CASE; LIVE_GATE_ENVIRONMENT_TARGET_PRESENT; LIVE_GATE_MUTATION_FLAG_ENABLED; LIVE_GATE_NAMED_APPROVER_PRESENT; LIVE_GATE_NAMED_SPONSOR_AND_COMMERCIAL_OWNER; LIVE_GATE_PROVIDER_CAPABILITY_MODEL_FROZEN; LIVE_GATE_PROVIDER_ROSTER_REFRESH_REQUIRED; Pairing, provider roster refresh, bounded use-case approval, and named environment evidence are current for the TPP lane.",6,1,simulator_backed,Current supplier roster and pairing approval; Bounded use-case approval
adp_local_booking_supplier,Local booking supplier adapters,LCC_057_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS_V1,Bounded booking MVP and architecture refresh; Named sponsor plus commissioning posture; Practice acknowledgement route evidence,Supplier capability tuple and surface naming; Commit timing windows; Practice-facing receipt or acknowledgement details,Ambiguous confirmation parity; Commit-to-projection replay parity; Practice acknowledgement overdue regression,"Freeze provider capability evidence, bounded MVP, sponsor posture, and practice acknowledgement law for the named environment.; LIVE_GATE_ARCHITECTURE_AND_DATA_FLOW_CURRENT; LIVE_GATE_CREDIBLE_BOOKING_MVP; LIVE_GATE_MUTATION_FLAG_ENABLED; LIVE_GATE_NAMED_APPROVER_AND_ENVIRONMENT; LIVE_GATE_PHASE0_EXTERNAL_FOUNDATION; LIVE_GATE_SPONSOR_AND_COMMISSIONING_POSTURE; LIVE_GATE_WATCH_REGISTER_CLEAR",6,1,simulator_backed,Bounded booking MVP and architecture refresh; Named sponsor plus commissioning posture
