hazard_id,hazard,control_family,evidence_ref,coverage_status,remaining_action,owner
HZ372_001,ineligible_patient_referred_down_pharmacy_first_pathway,versioned_eligibility_policy_and_explanation,data/test/369_suite_results.json,covered,none,seq_369
HZ372_002,wrong_pathway_or_wrong_pharmacy_chosen,provider_choice_proof_visible_choice_hash_and_disclosure,data/test/369_eligibility_and_provider_choice_cases.csv,covered,none,seq_369
HZ372_003,patient_denied_full_provider_choice,full_choice_exposure_warning_acknowledgement_and_consent_checkpoint,data/test/369_eligibility_and_provider_choice_cases.csv,covered,none,seq_369
HZ372_004,stale_or_superseded_consent_treated_as_valid,consent_checkpoint_scope_provider_package_binding,data/test/369_dispatch_idempotency_and_proof_cases.csv,covered,none,seq_369
HZ372_005,referral_lost_in_transport,dispatch_proof_deadline_external_confirmation_gate_and_exception_queue,data/test/369_dispatch_idempotency_and_proof_cases.csv,covered,live_transport_certification_before_production,seq_373
HZ372_006,patient_believes_referral_is_booked_appointment,patient_status_copy_and_no_appointment_truth_assertions,data/test/371_patient_status_and_return_state_cases.csv,covered,none,seq_371
HZ372_007,urgent_bounce_back_not_seen_in_time,urgent_return_direct_channel_exception_visibility_and_alerting,data/test/370_urgent_return_and_direct_channel_cases.csv,covered,live_incident_rehearsal_before_nhs_app_release,seq_373
HZ372_008,outcome_received_but_linked_to_wrong_case,outcome_normalization_thresholds_replay_and_manual_review_gates,data/test/369_outcome_reconciliation_cases.csv,covered,none,seq_369
HZ372_009,lack_of_update_record_mistaken_for_lack_of_outcome,update_record_observation_boundary_and_outcome_truth_projection,data/contracts/367_sandbox_readiness_contract.json,covered,live_update_record_certification_before_production,seq_373
HZ372_010,repeated_bounce_backs_causing_unsafe_delay,loop_risk_score_supervisor_escalation_and_reopen_priority,data/test/370_bounce_back_and_reopen_cases.csv,covered,none,seq_370
