case_id,callback_outcome,input_trigger,required_transaction_state,cas_result,lifecycle_after,settlement_state,evidence_vault_write,binding_intent_write,capability_intent_write,session_governor_call,return_intent_disposition,reason_codes,replay_safe
AUTH175_SUCCESS,success,valid_code_exact_redirect_valid_token,unconsumed,version_match_consumed,settled_success,terminal_success,true,true,true,true,route_intent_binding_only,AUTH_CALLBACK_TOKEN_VALIDATED|SESSION_GOVERNOR_PORT_EMITTED,true
AUTH175_CONSENT_DECLINED,consent_declined,provider_error_access_denied,unconsumed,version_match_consumed,settled_denied,terminal_denied,false,false,false,false,route_intent_binding_only,AUTH_PROVIDER_ERROR_ACCESS_DENIED,true
AUTH175_INSUFFICIENT_ASSURANCE,insufficient_assurance,provider_error_or_low_identity_proofing,unconsumed,version_match_consumed,settled_denied,terminal_denied,false,false,false,false,route_intent_binding_only,AUTH_PROVIDER_ERROR_INSUFFICIENT_ASSURANCE|AUTH_BRIDGE_ASSURANCE_TOO_LOW,true
AUTH175_EXPIRED_TRANSACTION,expired_transaction,callback_observed_after_expires_at,unconsumed,version_match_expired,expired,terminal_recovery,false,false,false,false,route_intent_binding_only,AUTH_TRANSACTION_EXPIRED,true
AUTH175_REPLAYED_CALLBACK,replayed_callback,duplicate_or_stale_callback,consumed_or_settled,no_new_cas,replayed,derived_replay,false,false,false,false,route_intent_binding_only,AUTH_CALLBACK_REPLAYED|EXISTING_SETTLEMENT_RETURNED,true
AUTH175_TOKEN_VALIDATION_FAILURE,token_validation_failure,missing_code_redirect_mismatch_invalid_signature_issuer_audience_nonce_or_expiry,unconsumed,version_match_invalid,failed_validation,terminal_recovery,false,false,false,false,route_intent_binding_only,AUTH_CALLBACK_REDIRECT_URI_MISMATCH|AUTH_BRIDGE_JWKS_SIGNATURE_VALIDATION_FAILED|AUTH_BRIDGE_NONCE_MISMATCH,true
AUTH175_LINKAGE_UNAVAILABLE,linkage_unavailable,provider_or_future_binding_authority_cannot_continue,unconsumed,version_match_consumed,settled_recovery,terminal_recovery,false,false,false,false,route_intent_binding_only,AUTH_PROVIDER_ERROR_LINKAGE_UNAVAILABLE,true
AUTH175_INTERNAL_FALLBACK,internal_fallback,unknown_state_or_unsupported_provider_error,missing_or_unconsumed,no_side_effects_or_consumed_fallback,settled_recovery,terminal_recovery,false,false,false,false,route_intent_binding_only,AUTH_TRANSACTION_NOT_FOUND|AUTH_PROVIDER_ERROR_UNKNOWN,true
AUTH175_REDIRECT_ATTACK,token_validation_failure,callback_redirect_uri_not_equal_transaction_redirect_uri,unconsumed,version_match_invalid,failed_validation,terminal_recovery,false,false,false,false,route_intent_binding_only,AUTH_CALLBACK_REDIRECT_URI_MISMATCH,true
AUTH175_CAS_RACE,replayed_callback,two_callbacks_race_on_same_state,one_unconsumed_one_loses_version_cas,one_consumed_one_replay,replayed,derived_replay,false,false,false,false,route_intent_binding_only,AUTH_CALLBACK_REPLAYED|TRANSACTION_ALREADY_CONSUMED,true
