context,staleHandling,visibilityHandling,defaultPosture
assurance_pack,blocked,strict,fail_closed
audit_timeline,blocked,strict,fail_closed
support_replay,blocked,strict,fail_closed
retention_disposition,blocked,standard,fail_closed
archive_or_delete,blocked,strict,fail_closed
operational_dashboard,stale,standard,diagnostic_when_stale
incident_follow_up,blocked,standard,fail_closed
recovery_proof,blocked,strict,fail_closed
tenant_governance,stale,standard,review_required
generic_read,stale,standard,diagnostic_only
