requirement_id,requirement_title,baseline_scope,phase_refs,domain_refs,gap_state,missing_mapping_types,notes
REQ-SRC-phase-7-inside-the-nhs-app-md,Phase 7 - Inside the NHS App must govern downstream implementation decisions,deferred,phase_7,identity|patient_portal,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-078,"no Sev-1 or Sev-2 defects in embedded auth, start-request, status, booking, or pharmacy flows",deferred,phase_7,booking|identity|pharmacy,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-079,limited release cohort gating is correct and reversible,deferred,phase_7,runtime,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-080,every supported patient journey works in standalone web and embedded mode,deferred,phase_7,patient_portal|support,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-081,NHS App-specific downloads and navigation actions are stable,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-082,"full audit trail exists for entry, auth, route resolution, and exit",deferred,phase_7,assurance|frontend|identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-083,"telemetry contains no raw JWTs, grant identifiers, or PHI-bearing query strings",deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-084,monthly data pack generation works automatically from validated event contracts,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-085,guardrail breaches freeze rollout and kill switches work without redeploy,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-086,degraded or quarantined assurance slices freeze cohort expansion even when coarse aggregate success metrics still look green,deferred,phase_7,assurance,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-087,active route freezes render the governed `RouteFreezeDisposition` rather than a generic error or silent route disappearance,deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-088,change-notice workflow exists for post-live journey changes,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-089,rollback rehearsal from live to disabled jump-off state is complete,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-001,every manifest route has an owning team and test plan,deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-002,"every manifest route declares minimum assurance, fallback route, supported bridge capabilities, and one route-scoped embedded eligibility contract",deferred,phase_7,assurance|frontend|support,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-003,unapproved routes cannot be launched from NHS App context,deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-004,promoted manifest fingerprints match runtime configuration in each environment,deferred,phase_7,runtime,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-005,"promoted manifest tuples match the frozen release candidate, behavior contract, surface schema, and compatibility evidence set",deferred,phase_7,runtime,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-006,promoted journeys require a matching `NHSAppContinuityEvidenceBundle` with current `ExperienceContinuityControlEvidence` under the same manifest and frozen release tuple,deferred,phase_7,runtime,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-007,environment-specific base URLs validate correctly,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-008,cohort rules and jump-off mappings are deterministic,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-009,"the demo environment is reachable, stable, and seeded with safe representative journeys",deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-010,channel detection is consistent across SSR and client hydration,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-011,"conflicting SSR, user-agent, and bridge signals fall back to a safe disposition rather than a split-brain shell",deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-012,spoofed query parameters cannot unlock privileged behaviour or `trusted_embedded` mode,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-013,no duplicate header or footer appears in embedded mode,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-014,every supported route renders correctly in both shells,deferred,phase_7,frontend|support,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-015,invalid or missing context falls back safely to standalone web or a supported recovery page,deferred,phase_7,support,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-016,"`assertedLoginIdentity` is never written to logs, analytics, referrers, or browser history after initial capture",deferred,phase_7,identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-017,`prompt=none` silent-auth path works,deferred,phase_7,identity,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-018,`ConsentNotGiven` route is handled and returns the user safely,deferred,phase_7,frontend,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-019,"state, nonce, PKCE, and transaction-expiry checks fail closed",deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
REQ-TEST-phase-7-inside-the-nhs-app-md-020,replayed or late `SSOEntryGrant` values are denied safely,deferred,phase_7,cross_phase,deferred_only,,"Deferred requirement remains represented through deferred placeholder coverage only, by design."
