contractName,requiredFieldCount,optionalFieldCount,identityKeys,idempotencyKeys,hashInputCount,piiPhiClassification,retentionClassRef
AssuranceLedgerEntry,25,8,assuranceLedgerEntryId,assuranceLedgerEntryId|tenantId|schemaVersionRef|versionRef|evaluationModelRef,32,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",inherits_retention_from_linked_evidence_or_audit_record
EvidenceArtifact,19,1,evidenceArtifactId,evidenceArtifactId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,20,"PHI/PII pointer-sensitive: no inline PHI; source, identity, and artifact refs require redaction and retention controls.",retentionClassRef is required and must map to the Records Management Code aligned retention catalog.
ControlObjective,9,0,controlObjectiveId,controlObjectiveId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,9,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",inherits_retention_from_linked_evidence_or_audit_record
ControlEvidenceLink,15,2,linkId,linkId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,17,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",inherits_retention_from_linked_evidence_or_audit_record
ProjectionHealthSnapshot,17,0,projectionHealthSnapshotId,projectionHealthSnapshotId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,17,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",inherits_retention_from_linked_evidence_or_audit_record
AttestationRecord,6,1,attestationId,attestationId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,7,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",inherits_retention_from_linked_evidence_or_audit_record
AssurancePack,11,0,assurancePackId,assurancePackId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,10,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",governance_assurance_worm_record
AssuranceIngestCheckpoint,9,1,assuranceIngestCheckpointId,assuranceIngestCheckpointId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,10,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",inherits_retention_from_linked_evidence_or_audit_record
ControlStatusSnapshot,19,0,controlStatusSnapshotId,controlStatusSnapshotId|tenantId|schemaVersionRef|versionRef|evaluationModelRef,17,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",inherits_retention_from_linked_evidence_or_audit_record
AssuranceSliceTrustRecord,19,0,assuranceSliceTrustRecordId,assuranceSliceTrustRecordId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,19,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",inherits_retention_from_linked_evidence_or_audit_record
ExperienceContinuityControlEvidence,27,0,continuityControlEvidenceId,continuityControlEvidenceId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,27,Operational continuity metadata with possible patient-route refs; no inline clinical content permitted.,inherits_retention_from_linked_evidence_or_audit_record
AssuranceSurfaceRuntimeBinding,14,0,assuranceSurfaceRuntimeBindingId,assuranceSurfaceRuntimeBindingId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,14,Operational continuity metadata with possible patient-route refs; no inline clinical content permitted.,inherits_retention_from_linked_evidence_or_audit_record
IdentityRepairEvidenceBundle,10,0,identityRepairEvidenceBundleId,identityRepairEvidenceBundleId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,10,"PHI/PII pointer-sensitive: no inline PHI; source, identity, and artifact refs require redaction and retention controls.",inherits_retention_from_linked_evidence_or_audit_record
AssuranceEvidenceGraphSnapshot,29,0,assuranceEvidenceGraphSnapshotId,assuranceEvidenceGraphSnapshotId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,28,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",governance_assurance_worm_record
AssuranceEvidenceGraphEdge,9,0,assuranceEvidenceGraphEdgeId,assuranceEvidenceGraphEdgeId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,8,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",inherits_retention_from_linked_evidence_or_audit_record
AssuranceGraphCompletenessVerdict,15,0,assuranceGraphCompletenessVerdictId,assuranceGraphCompletenessVerdictId|scopeRef|tenantScopeRef|tenantScope|schemaVersionRef|versionRef|evaluationModelRef,14,"Operational assurance metadata; may contain tenant, audit, producer, and artifact refs but no inline PHI.",governance_assurance_worm_record
