provider_event_family,ingress_source,canonical_event_type,provider_payload_boundary,allowed_domain_consumers,idempotency_key_basis,resulting_call_state,reason_codes
provider_call_started,webhook,call_started,payload_ref_only,telephony_webhook_worker|call_session_projector,provider_event_id_plus_call_session,initiated,normalized_call_start
provider_menu_input,webhook,menu_selection_captured,payload_ref_only,telephony_webhook_worker|call_session_projector,provider_event_id_plus_call_session,menu_selected,normalized_menu_selection
provider_identity_input,webhook,identity_capture_started,payload_ref_only,telephony_webhook_worker|identity_evidence_vault,provider_event_id_plus_call_session,identity_in_progress,normalized_identity_capture
provider_identity_input,webhook,identity_resolved,payload_ref_only,telephony_webhook_worker|identity_evidence_vault,provider_event_id_plus_call_session,identity_resolved,identity_evidence_ref_only
provider_identity_input,webhook,identity_partial,payload_ref_only,telephony_webhook_worker|identity_evidence_vault,provider_event_id_plus_call_session,identity_partial,partial_identity_evidence_ref_only
provider_recording_expected,webhook,recording_expected,payload_ref_only,telephony_webhook_worker|recording_fetch_worker,provider_call_id_plus_event_type_plus_occurred_at,recording_expected,recording_promised
provider_recording_available,webhook,recording_available,payload_ref_only,telephony_webhook_worker|recording_fetch_worker,provider_event_id_plus_call_session,recording_available,recording_ref_available
provider_recording_available,polling,audio_quarantined,normalized_event_only,recording_fetch_worker|evidence_assimilation,provider_call_id_plus_event_type_plus_occurred_at,evidence_preparing,audio_quarantine_ref_only
provider_recording_timeout,polling,recording_missing,normalized_event_only,recording_fetch_worker|manual_review_queue,polling_resource_version_plus_call_session,recording_missing,recording_timeout_manual_review
provider_transcript_ready,polling,transcript_ready,normalized_event_only,transcript_worker|evidence_readiness_worker,polling_resource_version_plus_call_session,evidence_pending,transcript_readiness_record_appended
provider_transcript_failed,polling,transcript_degraded,normalized_event_only,transcript_worker|manual_review_queue,polling_resource_version_plus_call_session,transcript_degraded,transcript_degraded_manual_review
provider_call_abandoned,webhook,call_abandoned,payload_ref_only,telephony_webhook_worker|call_session_projector,provider_event_id_plus_call_session,abandoned,caller_abandoned
provider_error,webhook,provider_error_recorded,payload_ref_only,telephony_webhook_worker|manual_review_queue,payload_digest_plus_call_session,provider_error,provider_error_normalized
provider_continuation_delivery,webhook,continuation_sent,payload_ref_only,continuation_dispatcher|access_grant_service,provider_event_id_plus_call_session,continuation_sent,continuation_delivery_settled
