contract,file,phaseStage,authority,primaryConsumers,whySeparate
SlotSearchSession,data/contracts/280_slot_search_session.schema.json,4C,"Snapshot-producing search session, fenced to case version, policy bundle, capability tuple, and adapter binding","patient booking shell, staff booking shell, commit preflight",keeps live supplier lists from leaking directly into selection or commit
ProviderSearchSlice,data/contracts/280_provider_search_slice.schema.json,4C,"per-provider coverage, degradation, and raw payload lineage","coverage truth, partial-coverage copy, support fallback routing","distinguishes complete, partial, timeout, and degraded coverage"
TemporalNormalizationEnvelope,data/contracts/280_temporal_normalization_envelope.schema.json,4C,"timezone, DST, and clock-skew correctness","normalization, dedupe, rank plan, appointment rendering",prevents supplier-local timestamps from forking booking truth
CanonicalSlotIdentity,data/contracts/280_canonical_slot_identity.schema.json,4C,dedupe-safe slot identity and stable tie-break key,"snapshot index, rank proof, offer session, commit",prevents distinct inventory from collapsing under aliasing
SlotSetSnapshot,data/contracts/280_slot_set_snapshot.schema.json,4C,frozen searchable and selectable slot set with checksum and recovery posture,"rank proof, offer session, commit preflight",selection and commit must consume persisted snapshot truth
SlotSnapshotRecoveryState,data/contracts/280_slot_snapshot_recovery_state.schema.json,4C,renderable vs partial vs stale vs no-supply vs support-fallback view state,"patient copy, support path, same-shell recovery",empty results are not enough to imply no supply
RankPlan and CapacityRankProof,data/contracts/280_rank_plan_and_capacity_rank_proof_contract.json,4D,"frontier-safe rank plan, proof, explanations, and patient cue law","offer list, compare mode, support replay, operations diagnostics","keeps ordering stable across pagination, grouping, and replay"
OfferSession,data/contracts/280_offer_session.schema.json,4D,"selected candidate, proof hash, and interaction TTL over pre-ranked offers","selection shell, compare mode, commit start",OfferSession.expiresAt is not proof of exclusivity
ReservationTruthProjection,data/contracts/280_reservation_truth_projection_contract.json,4D/4E,"sole authority for exclusivity, truthful-nonexclusive, pending-confirmation, release, and expiry language","offer cards, waitlist cards, selected slot cards",selected means held is explicitly forbidden
BookingTransaction,data/contracts/280_booking_transaction.schema.json,4E,"append-only commit chain with local, processing, external, and authoritative states","booking commit, reconciliation, request detail, support",appointment rows or accepted processing alone may not imply booked truth
BookingConfirmationTruthProjection,data/contracts/280_booking_confirmation_truth_projection.schema.json,4E/4F,"sole audience-safe authority for booked summary, manage, artifact, and reminder exposure","patient shells, request detail, manage shell, reminder and artifact surfaces",async or disputed confirmation must stay first-class and same-shell
AppointmentManage and Reminder bundle,data/contracts/280_appointment_manage_and_reminder_contract_bundle.json,4F,"manage command, settlement, continuity evidence, reminder plan, and artifact rules","cancel, reschedule, reminder change, detail update, artifact handoff",manage cannot infer capability or safety from page shape
Waitlist and fallback stubs,data/contracts/280_waitlist_and_fallback_interface_stubs.json,4C/4E/4F,"typed continuation truth for no-supply, expired offer, revalidation failure, and fallback transfer","search recovery, commit failure routing, callback or hub transfer",waitlist or fallback is already part of truthful booking semantics
