binding_ref,store_family,focus_area,binding_state,access_posture,domain_truth_rule,fhir_truth_rule,identifier_namespace_rule,browser_reachability_rule,allowed_writer_policy_refs,blocked_writer_refs,source_refs
sep_domain_request_lifecycle_authority,domain,request_lifecycle,writable_authority,command_write,"Request, Episode, RequestLineage, blocker, lease, and closure truth persist only in the transactional domain store.",FHIR companions may reflect lifecycle milestones but may never drive lifecycle ownership back into domain truth.,aggregate_id and tenant tuple remain distinct from FHIR logicalId/versionId.,never_browser_addressable,ap_domain_command_writer,sid_published_gateway; sid_projection_worker; sid_integration_dispatch,docs/architecture/13_storage_and_persistence_baseline.md#Storage Law; docs/architecture/13_fhir_representation_and_projection_boundary.md#Rules
sep_domain_identity_and_grant_authority,domain,identity_access,writable_authority,command_write,"IdentityBinding, PatientLink, and AccessGrant state live in transactional schemas under exact-once redemption and supersession law.",FHIR identifiers may reference patient-facing identity evidence only through published mapping or export companions.,access_grant_token_material and patient identity evidence do not become FHIR identifiers.,never_browser_addressable,ap_domain_command_writer,sid_published_gateway; sid_integration_dispatch,prompt/078.md; prompt/068.md; docs/architecture/13_fhir_representation_and_projection_boundary.md#One-Way Boundary
sep_domain_settlement_and_reservation_authority,domain,settlement_and_reservation,writable_authority,command_write,"CommandSettlementRecord, ReservationFenceRecord, and ExternalConfirmationGate stay in the canonical transactional store.",FHIR bundles may expose booking-facing outputs but never become the source of reservation finality or external confirmation truth.,"reservation keys remain Vecells internal consistency keys, never public resource identifiers.",never_browser_addressable,ap_domain_command_writer,sid_published_gateway; sid_projection_worker; sid_integration_dispatch,prompt/072.md; prompt/074.md; prompt/081.md
sep_domain_assurance_read_only,domain,restore_and_diagnostics,warm_standby,assurance_read,"Assurance read paths may inspect transactional truth for restore proof, replay review, and governance evidence only.",Assurance may compare FHIR parity without widening FHIR into an operational write owner.,diagnostic snapshots preserve original identifiers and tuple hashes without rewriting them.,never_browser_addressable,ap_domain_assurance_reader,browser; sid_public_edge_proxy; sid_published_gateway,docs/architecture/11_region_resilience_and_failover_posture.md#Failover Authority; prompt/063.md
sep_domain_projection_not_source,domain,projection_boundary,warm_standby,internal_only,"Projection worker rebuilds from immutable events and published projection contracts, not direct transactional joins.",Raw FHIR rows are equally non-authoritative for browser projections and staff query read models.,"projection keys and cache tuples remain derived, not authoritative.",never_browser_addressable,,sid_projection_worker; browser,docs/architecture/13_fhir_representation_and_projection_boundary.md#Rules; prompt/082.md
sep_fhir_mapping_contract_gate,fhir,mapping_contracts,derived_materialization,mapping_only,Settled aggregate truth is the only admissible input to FHIR materialization.,"FhirRepresentationSet, FhirResourceRecord, and FhirExchangeBundle rows are written only through published mapping contracts and compiler-owned seams.","FHIR logicalId and versionId remain representation identifiers, never aggregate primary keys.",never_browser_addressable,ap_fhir_command_materializer,sid_projection_worker; browser,data/analysis/fhir_representation_contract_manifest.json; prompt/064.md
sep_fhir_resource_version_supersession,fhir,resource_versioning,derived_materialization,mapping_only,Aggregate version advancement determines when representation supersession is allowed.,FHIR rows remain append-safe and superseded by new representation-set versions rather than in-place mutation.,contract version refs and resource version ids stay separate from aggregate version ids.,never_browser_addressable,ap_fhir_command_materializer,sid_integration_dispatch,prompt/064.md; data/analysis/fhir_representation_contract_manifest.json
sep_fhir_exchange_bundle_read_only_to_integrations,fhir,bundle_exports,derived_materialization,mapping_only,Domain truth does not wait on partner bundle acceptance to become authoritative.,Integration workers may read staged bundles and receipts but may not persist raw FHIR rows or bypass compiler-owned staging.,"bundle ids are export artefacts, not request or appointment identifiers.",never_browser_addressable,ap_fhir_integration_bundle_reader,sid_integration_dispatch(write); browser,data/analysis/fhir_representation_contract_manifest.json; prompt/085.md#Non-negotiable rules
sep_fhir_assurance_parity_review,fhir,assurance_review,warm_standby,assurance_read,"Restore, replay, and parity decisions still anchor on canonical transactional truth plus immutable evidence.",Assurance may read representation rows for parity proof and export admissibility without gaining write authority.,parity witness ids join domain and FHIR tuples without collapsing their namespaces.,never_browser_addressable,ap_fhir_assurance_reader,browser; sid_published_gateway,prompt/053.md; prompt/064.md; prompt/075.md
sep_fhir_not_projection_query_source,fhir,projection_boundary,warm_standby,internal_only,Published browser and staff projections rebuild from event and projection contracts only.,"FHIR tables remain interoperability and governed back-office material, never a shortcut query source for shells.",projection cache keys remain distinct from FHIR identifiers and bundle refs.,never_browser_addressable,,sid_projection_worker; browser,docs/architecture/13_fhir_representation_and_projection_boundary.md#Rules; blueprint/platform-runtime-and-release-blueprint.md#Runtime rules
