task_id,task_title,total_requirement_count,direct_requirement_count,test_requirement_count,gate_requirement_count,assurance_requirement_count,orphan_state,notes
seq_001,ingest blueprint corpus and establish traceable requirement registry,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_002,reconcile blueprint summary layer with phase cards and canonical docs,153,153,0,0,0,none,
seq_003,define product scope boundary and non goals,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_004,define personas channels and audience surface inventory,410,410,0,0,0,none,
seq_005,map end to end request lineage and endpoint matrix,338,336,0,0,0,none,
seq_006,map canonical domain glossary and object catalog,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_007,map state machines and cross phase invariants,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_008,identify external dependency inventory and assurance obligations,255,255,0,0,201,none,
seq_009,define regulatory and clinical safety workstreams,492,492,0,0,84,none,
seq_010,define data classification phi masking and audit posture,1,1,0,0,1,none,
seq_011,choose cloud region tenant model and trust zone strategy,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_012,choose monorepo build system and language standards,5,5,0,0,0,none,
seq_013,choose backend runtime eventing and storage baselines,50,50,0,0,0,none,
seq_014,choose frontend stack and bff pattern,431,430,0,0,0,none,
seq_015,choose observability security and release tooling baselines,329,329,0,0,0,none,
seq_016,freeze target architecture adr set,658,658,0,0,0,none,
seq_017,define programme milestones parallel tracks and merge gates,173,124,0,152,29,none,
seq_018,create master risk register and dependency watchlist,2,2,0,2,0,none,
seq_019,create requirement to task traceability map,1,0,0,1,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_020,approve phase 0 entry criteria and foundation gate,37,37,0,36,7,none,
seq_021,external inventory rank required vs optional integrations,18,18,0,0,0,none,
seq_022,external define provider selection scorecards for identity telephony notifications gp and pharmacy,15,15,0,0,0,none,
seq_023,external create sandbox account strategy and secret ownership model,1,1,0,0,0,none,
seq_024,external use Playwright or other appropriate tooling browser automation to submit nhs login partner access requests,6,6,5,0,0,none,
seq_025,external use Playwright or other appropriate tooling browser automation to capture nhs login credentials and redirect uris,1,1,0,0,0,none,
seq_026,external use Playwright or other appropriate tooling browser automation to submit im1 pairing prerequisite forms and track scal artifacts,2,2,2,0,0,none,
seq_027,external use Playwright or other appropriate tooling browser automation to request optional pds fhir sandbox access and feature flag plan,1,1,1,0,0,none,
seq_028,external use Playwright or other appropriate tooling browser automation to request mesh test mailbox and message workflow access,5,5,5,0,0,none,
seq_029,external use Playwright or other appropriate tooling browser automation to request nhs app sandpit and aos access,1,1,1,0,0,none,
seq_030,external use Playwright or other appropriate tooling browser automation to register nhs app site link metadata placeholders,1,0,1,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_031,external select telephony ivr sms and email vendors,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_032,external use Playwright or other appropriate tooling browser automation to create telephony vendor accounts and test numbers,11,11,5,0,0,none,
seq_033,external use Playwright or other appropriate tooling browser automation to create sms and email notification projects,6,6,6,0,0,none,
seq_034,external select transcription and artifact scanning providers,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_035,external use Playwright or other appropriate tooling browser automation to provision transcription and malware scanning projects,6,6,6,0,0,none,
seq_036,external identify gp system provider sandbox paths and booking capability evidence,13,13,0,0,2,none,
seq_037,external identify pharmacy directory and update record access paths,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_038,external create local adapter simulator backlog for unavailable or manual integrations,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_039,external document manual approval checkpoints and browser automation retries,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_040,external freeze integration contract assumptions and degraded mode defaults,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_041,phase0 freeze repository topology and package boundary rules,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_042,phase0 scaffold monorepo apps services and packages,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_043,phase0 scaffold api gateway command api projection worker and notification worker services,1,1,0,0,0,none,
seq_044,phase0 scaffold domain context modules and shared contract packages,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_045,phase0 publish coding standards branching and commit conventions,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_046,phase0 define runtime topology manifest and workload families,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_047,phase0 define trust zone boundaries and gateway surface map,18,18,0,0,0,none,
seq_048,phase0 define canonical event namespace and schema registry process,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_049,phase0 define fhir representation contract strategy,1,0,0,0,0,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
