backlog_id,dependency_id,dependency_name,task_ref,task_title,candidate_portal_or_console,manual_checkpoints,credential_or_secret_classes,blocked_by_contract_or_approval,notes
dep_nhs_login_rail_seq_024,dep_nhs_login_rail,NHS login authentication rail,seq_024,external use Playwright or other appropriate tooling browser automation to submit nhs login partner access requests,NHS login partner onboarding and OIDC application configuration portals,Partner approval before non-mock credentials are issued; Redirect-URI and scope review against live environment inventory,oidc_client_id; oidc_client_secret; private_key_or_jwks; redirect_uri_allowlist,yes,"NHS login remains an authentication rail only; it does not replace patient linkage, PDS, or claim ownership."
dep_nhs_login_rail_seq_025,dep_nhs_login_rail,NHS login authentication rail,seq_025,external use Playwright or other appropriate tooling browser automation to capture nhs login credentials and redirect uris,NHS login partner onboarding and OIDC application configuration portals,Partner approval before non-mock credentials are issued; Redirect-URI and scope review against live environment inventory,oidc_client_id; oidc_client_secret; private_key_or_jwks; redirect_uri_allowlist,yes,"NHS login remains an authentication rail only; it does not replace patient linkage, PDS, or claim ownership."
dep_pds_fhir_enrichment_seq_027,dep_pds_fhir_enrichment,Optional PDS enrichment seam,seq_027,external use Playwright or other appropriate tooling browser automation to request optional pds fhir sandbox access and feature flag plan,PDS FHIR sandbox access request and onboarding portals,Legal basis and governance approval before sandbox or live access; Tenant feature-flag review before any patient-visible enrichment,api_client_credentials; client_certificate; organisation_identity,yes,"Optional by corpus law: PDS is an enrichment seam, not a baseline blocker and not a substitute for NHS login or local binding governance."
dep_telephony_ivr_recording_provider_seq_032,dep_telephony_ivr_recording_provider,"Telephony, IVR, and call-recording provider",seq_032,external use Playwright or other appropriate tooling browser automation to create telephony vendor accounts and test numbers,"Telephony vendor admin console for account creation, phone numbers, IVR flows, and webhook endpoints",Contract and regulated-recording review before live call handling; Number ownership and urgent escalation path sign-off,account_api_token; webhook_secret; phone_number_inventory; sip_or_voice_credentials,yes,"Telephony parity is baseline, but carrier acceptance or callback initiation never equals completed clinical contact."
dep_transcription_processing_provider_seq_035,dep_transcription_processing_provider,Transcript and derived-facts processing provider,seq_035,external use Playwright or other appropriate tooling browser automation to provision transcription and malware scanning projects,Transcription vendor admin console or project workspace,Clinical-safety review of derived-facts use before any automated promotion depends on the provider; Retention and masking checks for recorded audio and transcript artifacts,api_key; webhook_secret; project_or_workspace_identifier,yes,Transcript completion is never enough by itself; the readiness assessment is the governing proof.
dep_sms_notification_provider_seq_033,dep_sms_notification_provider,SMS delivery provider,seq_033,external use Playwright or other appropriate tooling browser automation to create sms and email notification projects,"SMS notification vendor console for sender, webhook, and template setup",Sender registration and regulated messaging review before live traffic; Wrong-recipient hazard sign-off for seeded continuation cohorts,api_key; sender_identifier; webhook_secret,yes,SMS is external only for delivery. Secure-link issuance and AccessGrant semantics remain internal control-plane behavior.
dep_email_notification_provider_seq_033,dep_email_notification_provider,Email and notification delivery provider,seq_033,external use Playwright or other appropriate tooling browser automation to create sms and email notification projects,"Email or notification vendor console for sender-domain, templates, and webhook setup",Sender-domain verification and security review; Support ownership for bounced or disputed delivery chains,api_key; smtp_or_api_credentials; sender_domain_records; webhook_secret,yes,Transport accepted is never equal to delivered; patient or staff calmness must wait for current delivery evidence or explicit fallback.
dep_malware_scanning_provider_seq_035,dep_malware_scanning_provider,Malware and artifact scanning provider,seq_035,external use Playwright or other appropriate tooling browser automation to provision transcription and malware scanning projects,Artifact scanning vendor console or cloud project setup,Security review of scanner placement and quarantine policy; Known-bad test evidence before live acceptance is enabled,api_key; project_identifier; storage_access_binding,yes,"Private object storage is an internal platform surface; the external dependency here is the scanning service, not the storage bucket."
dep_im1_pairing_programme_seq_026,dep_im1_pairing_programme,IM1 Pairing programme and prerequisite path,seq_026,external use Playwright or other appropriate tooling browser automation to submit im1 pairing prerequisite forms and track scal artifacts,"IM1 Pairing prerequisite forms, supplier prerequisite portals, and SCAL evidence trackers",Commercial and assurance approval before live supplier access; SCAL and supported-test evidence review before route capability goes live,supplier_programme_credentials; organisation_identifiers; certificate_material,yes,"IM1 remains baseline for local booking reach, but the corpus is explicit that it stays out of the Phase 2 identity critical path."
dep_cross_org_secure_messaging_mesh_seq_028,dep_cross_org_secure_messaging_mesh,Cross-organisation secure messaging rail including MESH,seq_028,external use Playwright or other appropriate tooling browser automation to request mesh test mailbox and message workflow access,MESH or equivalent secure-message onboarding portal and mailbox administration surfaces,Cross-organisation access approval before live mailbox use; Transport assurance and minimum-necessary payload review,mailbox_identifier; transport_certificate; endpoint_credentials,yes,"The rail may carry practice visibility or pharmacy payloads, but transport acceptance alone never settles either business truth."
