evidence_id,capability_family_id,capability_label,evidence_kind,artifact_class,source_task_ref,machine_state,artifact_ref,summary
EVID_138_001,canonical_request_intake_backbone,Canonical request-intake backbone,implementation,implementation_evidence,seq_005,current,data/analysis/request_lineage_transitions.json,Canonical request-intake backbone implementation
EVID_138_002,canonical_request_intake_backbone,Canonical request-intake backbone,implementation,implementation_evidence,seq_019,current,data/analysis/coverage_summary.json,Canonical request-intake backbone implementation
EVID_138_003,canonical_request_intake_backbone,Canonical request-intake backbone,implementation,implementation_evidence,seq_019,current,data/analysis/requirement_task_traceability.csv,Canonical request-intake backbone implementation
EVID_138_004,canonical_request_intake_backbone,Canonical request-intake backbone,automated_proof,automated_proof,seq_133,machine_verified,data/test/transition_suite_results.json,Canonical request-intake backbone automated proof
EVID_138_005,canonical_request_intake_backbone,Canonical request-intake backbone,automated_proof,automated_proof,seq_132,machine_verified,data/analysis/foundation_demo_trace_index.json,Canonical request-intake backbone automated proof
EVID_138_006,canonical_request_intake_backbone,Canonical request-intake backbone,automated_proof,automated_proof,seq_132,machine_verified,data/analysis/phase0_exit_artifact_index.json,Canonical request-intake backbone automated proof
EVID_138_007,canonical_request_intake_backbone,Canonical request-intake backbone,suite_binding,verification_suite,seq_133,passed,data/test/transition_suite_results.json,Domain transition and event schema compatibility
EVID_138_008,replay_and_duplicate_handling,Replay and duplicate handling,implementation,implementation_evidence,seq_135,current,data/analysis/replay_classification_matrix.csv,Replay and duplicate handling implementation
EVID_138_009,replay_and_duplicate_handling,Replay and duplicate handling,implementation,implementation_evidence,seq_135,current,data/analysis/duplicate_cluster_manifest.json,Replay and duplicate handling implementation
EVID_138_010,replay_and_duplicate_handling,Replay and duplicate handling,implementation,implementation_evidence,seq_135,current,data/analysis/replay_collision_casebook.json,Replay and duplicate handling implementation
EVID_138_011,replay_and_duplicate_handling,Replay and duplicate handling,automated_proof,automated_proof,seq_135,machine_verified,data/test/exception_path_suite_results.json,Replay and duplicate handling automated proof
EVID_138_012,replay_and_duplicate_handling,Replay and duplicate handling,automated_proof,automated_proof,seq_129,machine_verified,data/integration/adapter_validation_results.json,Replay and duplicate handling automated proof
EVID_138_013,replay_and_duplicate_handling,Replay and duplicate handling,automated_proof,automated_proof,seq_132,machine_verified,data/analysis/foundation_demo_trace_index.json,Replay and duplicate handling automated proof
EVID_138_014,replay_and_duplicate_handling,Replay and duplicate handling,suite_binding,verification_suite,seq_135,passed,data/test/exception_path_suite_results.json,"Adapter replay, duplicate, quarantine, and fallback review"
EVID_138_015,identity_access_substrate,Identity/access substrate,implementation,implementation_evidence,seq_133,current,data/analysis/access_grant_runtime_tuple_manifest.json,Identity/access substrate implementation
EVID_138_016,identity_access_substrate,Identity/access substrate,implementation,implementation_evidence,seq_133,current,data/analysis/identity_repair_casebook.json,Identity/access substrate implementation
EVID_138_017,identity_access_substrate,Identity/access substrate,implementation,implementation_evidence,seq_133,current,data/analysis/reachability_assessment_casebook.json,Identity/access substrate implementation
EVID_138_018,identity_access_substrate,Identity/access substrate,automated_proof,automated_proof,seq_133,machine_verified,data/test/transition_suite_results.json,Identity/access substrate automated proof
EVID_138_019,identity_access_substrate,Identity/access substrate,automated_proof,automated_proof,seq_132,machine_verified,data/analysis/foundation_demo_trace_index.json,Identity/access substrate automated proof
EVID_138_020,identity_access_substrate,Identity/access substrate,automated_proof,automated_proof,par_124,machine_verified,data/assurance/nhs_login_gap_register.json,Identity/access substrate automated proof
