artifact_class_id,canonical_object_id,artifact_class,sensitivity_class,contains_phi,allowed_audience_tiers,allowed_purposes_of_use,preview_ceiling,detail_ceiling,artifact_ceiling,transfer_modes,retention_class_ref,redaction_policy_ref,source_refs,notes
ART_UPLOAD_ATTACHMENT,OBJ_EVIDENCEARTIFACT,Uploads and attachments,clinical_sensitive,contextual,patient_public; patient_grant_scoped; patient_authenticated; origin_practice_clinical; support; governance_review,public_status; secure_link_recovery; authenticated_self_service; operational_execution; support_recovery; governance_review,awareness_only,summary_only,summary_only,structured_summary; governed_inline; support_recovery,RET_PRE_SUBMIT_TRANSIENT,POL_PUBLIC_SAFE_PLACEHOLDER,phase-0-the-foundation-protocol.md#1.1 SubmissionEnvelope; platform-frontend-blueprint.md#ArtifactPresentationContract,Attachments acknowledge presence without implying byte availability or safe preview.
ART_TELEPHONY_RECORDING,OBJ_CALLSESSION,Telephony recordings,identity_proof_sensitive,yes,governance_review,governance_review; investigation_break_glass,none,summary_only,summary_only,governed_inline_masked; governed_handoff,RET_SUPPORT_INVESTIGATION_EVIDENCE,POL_INVESTIGATION_SCOPE_ENVELOPE,phase-2-the-identity-and-echoes.md,Recordings are proof-sensitive evidence and never ordinary patient or support previews.
ART_TELEPHONY_TRANSCRIPT,OBJ_EVIDENCEARTIFACT,Telephony transcripts,clinical_sensitive,yes,origin_practice_clinical; support; governance_review,operational_execution; support_recovery; governance_review; investigation_break_glass,masked_summary,bounded_detail,governed_inline_masked,structured_summary; governed_inline_masked; governed_handoff,RET_SUPPORT_INVESTIGATION_EVIDENCE,POL_SUPPORT_MASKED_REPLAY,phase-2-the-identity-and-echoes.md,Transcripts remain summary-first or masked-inline and are never broad operator export by default.
ART_EVIDENCE_SNAPSHOT,OBJ_EVIDENCESNAPSHOT,Evidence snapshots,clinical_sensitive,contextual,origin_practice_clinical; support; governance_review,operational_execution; support_recovery; governance_review; investigation_break_glass,summary_only,bounded_detail,summary_only,structured_summary; governed_inline_masked; governed_handoff,RET_SUPPORT_INVESTIGATION_EVIDENCE,POL_SUPPORT_MASKED_REPLAY,phase-0-the-foundation-protocol.md#1.1 SubmissionEnvelope; phase-9-the-assurance-ledger.md,Snapshots are immutable evidence anchors and not generic downloadable content.
ART_DERIVATION_PACKAGE,OBJ_EVIDENCEARTIFACT,Derivation packages and normalization packages,audit_investigation_restricted,contextual,support; governance_review,support_recovery; governance_review; investigation_break_glass; audit_export,summary_only,bounded_detail,summary_only,structured_summary; governed_handoff,RET_SUPPORT_INVESTIGATION_EVIDENCE,POL_INVESTIGATION_SCOPE_ENVELOPE,phase-1-the-red-flag-gate.md; phase-9-the-assurance-ledger.md,Derivation packages stay replay and export governed because they can reveal transformation lineage and payload scope.
ART_SUMMARY_PARITY_WITNESS,OBJ_RECORDARTIFACTPARITYWITNESS,Summary and parity witnesses,audit_investigation_restricted,contextual,patient_authenticated; patient_embedded_authenticated; origin_practice_clinical; support; operations_control; governance_review,authenticated_self_service; embedded_authenticated; operational_execution; support_recovery; operational_control; governance_review,summary_only,bounded_detail,summary_only,structured_summary; governed_inline_masked,RET_WORM_AUDIT_GOVERNANCE,POL_PATIENT_ARTIFACT_GOVERNED,phase-9-the-assurance-ledger.md,Parity witnesses explain which summary or artifact posture was lawful without disclosing the full source body.
ART_RECORD_ARTIFACT,OBJ_PATIENTRECORDARTIFACTPROJECTION,"Record artifacts, letters, and results",clinical_sensitive,yes,patient_authenticated; patient_embedded_authenticated; origin_practice_clinical; support; governance_review,authenticated_self_service; embedded_authenticated; operational_execution; support_recovery; governance_review; investigation_break_glass,governed_preview,bounded_detail,governed_download,structured_summary; governed_inline; governed_download; governed_handoff,RET_CLINICAL_CASE_ARTIFACT,POL_PATIENT_ARTIFACT_GOVERNED,platform-frontend-blueprint.md#ArtifactPresentationContract; patient-account-and-communications-blueprint.md,Patient-visible records remain summary-first and mode-specific even when downloads are permitted.
ART_DELETION_CERTIFICATE,OBJ_DELETIONCERTIFICATE,Deletion certificates,retention_governance_restricted,contextual,governance_review,governance_review; audit_export,summary_only,bounded_detail,summary_only,structured_summary; governed_handoff,RET_RETENTION_GOVERNANCE_WITNESS,POL_RETENTION_GOVERNED_EXPORT,phase-9-the-assurance-ledger.md,These artifacts prove lifecycle control and remain distinct from the deleted PHI itself.
ART_ARCHIVE_MANIFEST,OBJ_ARCHIVEMANIFEST,Archive manifests,retention_governance_restricted,contextual,governance_review,governance_review; audit_export,summary_only,bounded_detail,summary_only,structured_summary; governed_handoff,RET_RETENTION_GOVERNANCE_WITNESS,POL_RETENTION_GOVERNED_EXPORT,phase-9-the-assurance-ledger.md,Archive manifests preserve the archive chain without becoming ordinary content downloads.
ART_AUDIT_REPLAY_BUNDLE,OBJ_INVESTIGATIONSCOPEENVELOPE,"Audit, replay, and investigation evidence bundles",audit_investigation_restricted,contextual,support; governance_review,support_recovery; governance_review; investigation_break_glass; audit_export,summary_only,bounded_detail,governed_handoff,structured_summary; governed_inline_masked; governed_handoff,RET_SUPPORT_INVESTIGATION_EVIDENCE,POL_INVESTIGATION_SCOPE_ENVELOPE,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay; staff-operations-and-support-blueprint.md#3. Complex investigation and replay","Replay and export bundles remain masked, selected-anchor-bound, and diagnostic-question-bound."
