adapterContractProfileId,adapterCode,dependencyCode,currentExecutionPosture,liveCutoverState,simulatorContractRef,mockExecutionWorkloadFamilyRef,actualProviderWorkloadFamilyRef,mockNowSummary,actualProviderSummary,blockedLiveGateCount,reviewLiveGateCount,degradationSeverity,sourceRefs
ACP_057_DEP_NHS_LOGIN_RAIL_V1,adp_nhs_login_auth_bridge,dep_nhs_login_rail,simulator_backed,pending,sim_nhs_login_auth_session_twin,wf_integration_simulation_lab,wf_integration_dispatch,Replay-safe browser callback plus same-fence session establishment.,Partner approval and current redirect inventory; Technical conformance evidence,4,2,critical,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine
ACP_057_DEP_PDS_FHIR_ENRICHMENT_V1,adp_optional_pds_enrichment,dep_pds_fhir_enrichment,permanent_simulator,permanent_simulator,sim_optional_pds_enrichment_twin,wf_integration_simulation_lab,wf_integration_dispatch,Replay-safe browser callback plus same-fence session establishment.,Legal basis and selected access mode; Named approver and environment,5,1,critical,"prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; blueprint/phase-2-the-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment"
ACP_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_V1,adp_telephony_ivr_recording,dep_telephony_ivr_recording_provider,simulator_backed,pending,sim_telephony_ivr_twin,wf_integration_simulation_lab,wf_integration_dispatch,Webhook or callback ingestion always replays onto the same provider correlation fence.,Vendor approval and spend authority; Webhook security and replay posture,4,3,critical,"prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"
ACP_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_V1,adp_transcription_processing,dep_transcription_processing_provider,simulator_backed,pending,sim_transcription_processing_twin,wf_integration_simulation_lab,wf_integration_dispatch,Polling or callback ingest joins the same artifact or evidence fence.,Region and retention posture; Webhook security evidence,3,3,high,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; docs/external/35_local_evidence_processing_lab_spec.md
ACP_057_DEP_SMS_NOTIFICATION_PROVIDER_V1,adp_sms_notification_delivery,dep_sms_notification_provider,simulator_backed,pending,sim_sms_delivery_twin,wf_integration_simulation_lab,wf_integration_dispatch,Webhook or callback ingestion always replays onto the same provider correlation fence.,Repair policy approval; Audit log export and replay guard evidence,1,3,critical,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; docs/external/33_local_notification_studio_spec.md
ACP_057_DEP_EMAIL_NOTIFICATION_PROVIDER_V1,adp_email_notification_delivery,dep_email_notification_provider,simulator_backed,pending,sim_email_notification_twin,wf_integration_simulation_lab,wf_integration_dispatch,Webhook or callback ingestion always replays onto the same provider correlation fence.,Repair policy approval; Audit log export and replay guard evidence,1,3,critical,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; docs/external/33_local_notification_studio_spec.md
ACP_057_DEP_MALWARE_SCANNING_PROVIDER_V1,adp_malware_artifact_scanning,dep_malware_scanning_provider,simulator_backed,pending,sim_malware_artifact_scan_twin,wf_integration_simulation_lab,wf_integration_dispatch,Polling or callback ingest joins the same artifact or evidence fence.,Storage scope and quarantine policy; Webhook security and mutation gate posture,3,2,high,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; docs/external/35_local_evidence_processing_lab_spec.md
ACP_057_DEP_IM1_PAIRING_PROGRAMME_V1,adp_im1_pairing_programme_gate,dep_im1_pairing_programme,simulator_backed,pending,sim_im1_principal_system_emis_twin,wf_integration_simulation_lab,wf_integration_dispatch,"Search, hold, commit, and manage callbacks replay onto one BookingProviderAdapterBinding hash.",Current supplier roster and pairing approval; Bounded use-case approval,6,1,high,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; docs/external/36_gp_system_pathways_actual_strategy.md
ACP_057_DEP_GP_SYSTEM_SUPPLIER_PATHS_V1,adp_gp_supplier_path_resolution,dep_gp_system_supplier_paths,simulator_backed,pending,sim_im1_principal_system_tpp_twin,wf_integration_simulation_lab,wf_integration_dispatch,"Search, hold, commit, and manage callbacks replay onto one BookingProviderAdapterBinding hash.",Current supplier roster and pairing approval; Bounded use-case approval,6,1,high,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; docs/external/36_gp_system_pathways_actual_strategy.md
ACP_057_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS_V1,adp_local_booking_supplier,dep_local_booking_supplier_adapters,simulator_backed,pending,sim_booking_provider_confirmation_twin,wf_integration_simulation_lab,wf_integration_dispatch,"Search, hold, commit, and manage callbacks replay onto one BookingProviderAdapterBinding hash.",Bounded booking MVP and architecture refresh; Named sponsor plus commissioning posture,6,1,high,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; blueprint/phase-4-the-booking-engine.md
ACP_057_DEP_NETWORK_CAPACITY_PARTNER_FEEDS_V1,adp_network_capacity_feed,dep_network_capacity_partner_feeds,simulator_backed,pending,sim_booking_capacity_feed_twin,wf_integration_simulation_lab,wf_integration_dispatch,"Search, hold, commit, and manage callbacks replay onto one BookingProviderAdapterBinding hash.",Named partner feed provenance; Freshness and expiry policy,3,1,high,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; blueprint/phase-5-the-network-horizon.md
ACP_057_DEP_CROSS_ORG_SECURE_MESSAGING_MESH_V1,adp_mesh_secure_message,dep_cross_org_secure_messaging_mesh,simulator_backed,pending,sim_mesh_message_path_twin,wf_integration_simulation_lab,wf_integration_dispatch,Receipts and polling both replay to one mailbox or acknowledgement fence.,Named ODS owner and manager mode; API onboarding completion or approved live path,5,2,critical,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; blueprint/phase-0-the-foundation-protocol.md#1.11 PharmacyDispatchEnvelope
ACP_057_DEP_ORIGIN_PRACTICE_ACK_RAIL_V1,adp_origin_practice_ack,dep_origin_practice_ack_rail,simulator_backed,pending,sim_booking_provider_confirmation_twin,wf_integration_simulation_lab,wf_integration_dispatch,Receipts and polling both replay to one mailbox or acknowledgement fence.,Bounded booking MVP and architecture refresh; Named sponsor plus commissioning posture,6,1,critical,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; blueprint/phase-4-the-booking-engine.md
