boundary_id,source_trust_zone_ref,target_trust_zone_ref,allowed_tenant_transfer_mode,assurance_trust_transfer_mode,boundary_failure_mode,notes,source_family_codes,target_family_codes,allowed_protocols,allowed_service_identity_refs,allowed_data_classification_refs,source_refs
tzb_public_edge_to_shell_delivery,tz_public_edge,tz_shell_delivery,tenant_hint_only,publication_digest_passthrough,static_placeholder_or_cached_shell_only,Static shell delivery crosses the edge without carrying PHI-bearing browser compute.,public_edge,shell_delivery,https,sid_public_edge_proxy; sid_shell_delivery_origin,public_safe; operational_internal_non_phi,platform-runtime-and-release-blueprint.md#Runtime rules
tzb_public_edge_to_published_gateway,tz_public_edge,tz_published_gateway,runtime_binding_and_session_policy_only,surface_authority_tuple_hash_required,same_shell_recovery_or_blocked,This is the only browser-origin compute hop in the topology baseline.,public_edge,command; projection; assurance_security,https; sse; websocket,sid_public_edge_proxy; sid_gateway_surface,public_safe; operational_internal_non_phi; patient_identifying; clinical_sensitive,platform-runtime-and-release-blueprint.md#GatewayBffSurface; platform-runtime-and-release-blueprint.md#Frontend and backend integration contract
tzb_published_gateway_to_application_core,tz_published_gateway,tz_application_core,tenant_tuple_and_route_intent_preserved,assurance_slice_live_required_for_writable_calls,command_halt_or_projection_recovery_only,"Gateways may read projections and dispatch commands, but the tenant tuple and runtime binding must survive this hop unchanged.",command; projection,command; projection,https; grpc; queue_dispatch,sid_gateway_surface; sid_command_plane; sid_projection_plane,operational_internal_non_phi; patient_identifying; contact_sensitive; clinical_sensitive; identity_proof_sensitive,phase-0-the-foundation-protocol.md#2.8 ScopedMutationGate; platform-runtime-and-release-blueprint.md#Runtime rules
tzb_published_gateway_to_assurance_security,tz_published_gateway,tz_assurance_security,explicit_scope_tuple_or_platform_scope_only,immutable_audit_and_watch_tuple_required,controls_frozen_same_shell_context_preserved,"Support replay, operations drilldown, and governance routes consume this boundary when they expose evidence or control posture.",assurance_security,assurance_security,https; grpc,sid_gateway_surface; sid_assurance_runtime,operational_internal_non_phi; audit_investigation_restricted; retention_governance_restricted; security_or_secret_sensitive,"phase-9-the-assurance-ledger.md#9F. Resilience architecture, restore orchestration, and chaos programme; phase-9-the-assurance-ledger.md#9H. Tenant governance, config immutability, and dependency hygiene"
tzb_application_core_to_stateful_data,tz_application_core,tz_stateful_data,tenant_tuple_on_every_key_or_record,restore_and_publication_parity_required_for_live_writes,read_only_or_blocked_until_restore_proof,"All primary stores, projections, queues, caches, and object prefixes stay in this zone and remain non-browser-addressable.",command; projection,data,sql_tls; object_api_tls; queue_tls; cache_tls,sid_command_plane; sid_projection_plane; sid_data_plane,operational_internal_non_phi; patient_identifying; contact_sensitive; clinical_sensitive; identity_proof_sensitive; audit_investigation_restricted,blueprint-init.md#12. Practical engineering shape; platform-runtime-and-release-blueprint.md#Runtime rules
tzb_application_core_to_integration_perimeter,tz_application_core,tz_integration_perimeter,effect_scope_and_tenant_tuple_preserved,dependency_profile_and_release_tuple_required,integration_queue_only,All external side effects begin from durable outbox or queue handoff rather than browser or gateway direct egress.,command,integration,queue_dispatch; outbox_checkpoint,sid_command_plane; sid_integration_runtime,operational_internal_non_phi; patient_identifying; contact_sensitive; clinical_sensitive; identity_proof_sensitive,platform-runtime-and-release-blueprint.md#AdapterContractProfile; platform-runtime-and-release-blueprint.md#DependencyDegradationProfile
tzb_application_core_to_assurance_security,tz_application_core,tz_assurance_security,tenant_tuple_plus_scope_hash_required,trust_slice_consume_and_publish,writable_freeze_same_shell_context_preserved,"Command, projection, and runtime publication consume assurance verdicts here rather than inferring trust posture from local health.",command; projection,assurance_security,grpc; https; audit_append,sid_command_plane; sid_projection_plane; sid_assurance_runtime,operational_internal_non_phi; audit_investigation_restricted; retention_governance_restricted; security_or_secret_sensitive,phase-0-the-foundation-protocol.md#2.7 AssuranceSupervisor; phase-0-the-foundation-protocol.md#2.10 RuntimeContractPublisher
tzb_integration_perimeter_to_stateful_data,tz_integration_perimeter,tz_stateful_data,effect_scope_and_supplier_correlation_only,receipt_ordering_and_duplicate_policy_required,checkpoint_and_retry_or_dispute,Callback and transport results may settle state only through published checkpoint and correlation rules.,integration,data,queue_tls; sql_tls; object_api_tls,sid_integration_runtime; sid_data_plane,operational_internal_non_phi; patient_identifying; contact_sensitive; clinical_sensitive,platform-runtime-and-release-blueprint.md#AdapterContractProfile
tzb_integration_perimeter_to_assurance_security,tz_integration_perimeter,tz_assurance_security,tenant_tuple_plus_dependency_code_only,dependency_degradation_publish_only,slice_degraded_or_queue_only,Adapter failures may degrade dependent slices without collapsing unrelated families.,integration,assurance_security,audit_append; https,sid_integration_runtime; sid_assurance_runtime,operational_internal_non_phi; audit_investigation_restricted; security_or_secret_sensitive,platform-runtime-and-release-blueprint.md#DependencyDegradationProfile
tzb_assurance_security_to_stateful_data,tz_assurance_security,tz_stateful_data,platform_control_with_explicit_tenant_projection_only,authoritative,controls_frozen_or_restore_only,"Audit, runtime publication, and resilience evidence stores sit behind this boundary.",assurance_security,data,sql_tls; object_api_tls; append_only_api,sid_assurance_runtime; sid_data_plane,operational_internal_non_phi; audit_investigation_restricted; retention_governance_restricted; security_or_secret_sensitive,"phase-9-the-assurance-ledger.md#9F. Resilience architecture, restore orchestration, and chaos programme; phase-9-the-assurance-ledger.md#9H. Tenant governance, config immutability, and dependency hygiene"
