use_case,grant_family,validator_family,replay_policy,route_family_ref,default_action_scope,lineage_scope,subject_binding_mode,session_requirement,issuance_outcome,default_expiry_minutes,transport_class,supersession_triggers,rationale
draft_resume,draft_resume_minimal,draft_resume_minimal_validator,one_time,rf_intake_self_service,envelope_resume,envelope,none,fresh_or_rotated,issued,45,opaque_signed_link,draft_promoted|logout|manual_revoke|route_drift,Draft resume remains minimal and envelope-bound until promotion or stronger proof settles.
request_claim,claim_step_up,claim_step_up_validator,one_time,rf_patient_secure_link_recovery,claim,request,soft_subject,fresh_or_rotated,issued,20,opaque_signed_link,claim_completed|logout|identity_repair|route_drift,Claim grants guide auth uplift or proof capture but do not themselves confer patient capability.
secure_continuation,continuation_seeded_verified,continuation_seeded_verified_validator,one_time,rf_patient_secure_link_recovery,secure_resume,request,hard_subject,fresh_or_rotated,issued,30,opaque_signed_link,rotation|logout|identity_repair|route_drift,"Verified continuation binds one current lineage, route intent, and subject proof snapshot."
callback_reply,transaction_action_minimal,transaction_action_minimal_validator,one_time,rf_patient_messages,callback_response,request,hard_subject,bound_session,issued,30,opaque_signed_link,rotation|identity_repair|route_drift|logout,Callback reply stays single-purpose and cannot silently authorize adjacent communication actions.
message_reply,transaction_action_minimal,transaction_action_minimal_validator,one_time,rf_patient_messages,message_reply,request,hard_subject,bound_session,issued,30,opaque_signed_link,rotation|identity_repair|route_drift|logout,Message reply stays on the current thread tuple and reuses the canonical communication family.
booking_manage,transaction_action_minimal,transaction_action_minimal_validator,one_time,rf_patient_appointments,appointment_manage_entry,request,hard_subject,bound_session,issued,30,opaque_signed_link,rotation|identity_repair|route_drift|logout,Booking-manage grants stay bound to the current booking tuple and one writable patient shell.
waitlist_action,transaction_action_minimal,transaction_action_minimal_validator,one_time,rf_patient_appointments,waitlist_offer,request,hard_subject,bound_session,issued,20,opaque_signed_link,rotation|route_drift|logout|manual_revoke,"Waitlist actions are tightly time-bound and must replay as settlement, not as a second side effect."
network_alternative_choice,transaction_action_minimal,transaction_action_minimal_validator,one_time,rf_patient_appointments,alternative_offer,request,hard_subject,bound_session,issued,20,opaque_signed_link,rotation|route_drift|logout|manual_revoke,Alternative-choice grants narrow to one current ranked offer chain and fail closed on tuple drift.
pharmacy_choice,transaction_action_minimal,transaction_action_minimal_validator,one_time,rf_patient_requests,pharmacy_status_entry,request,hard_subject,bound_session,issued,30,opaque_signed_link,rotation|identity_repair|route_drift|logout,Pharmacy choice stays on the current request-linked pharmacy tuple and cannot widen into hub or booking flows.
support_reissue,support_recovery_minimal,support_recovery_minimal_validator,rotating,rf_patient_secure_link_recovery,secure_resume,request,hard_subject,fresh_or_rotated,issued,30,opaque_signed_link,secure_link_reissue|identity_repair|route_drift|logout,Support reissue recreates only the immediately prior safe minimal scope and supersedes every older link.
recover_only,,,none,rf_patient_secure_link_recovery,,request,none,none,recover_only,0,no_token,,"Recover-only is an explicit no-grant disposition for stale, legacy, or drifted continuity."
