action_key,action_label,provider_family,stage,retry_class,idempotency_class,blind_resubmit_allowed,max_auto_retries,human_confirmation_before_mutation,completion_evidence_class,live_gate_required,guard_usage
act_nhs_login_partner_application_review,Review NHS login partner application route,nhs_login,read,safe_read_retry,read_only,yes,2,no,gate_snapshot,no,"assertProviderActionAllowed(actionKey, context)"
act_nhs_login_redirect_registration_review,Approve redirect and scope registration pack,nhs_login,review,human_review_before_continue,review_checkpoint,no,0,yes,review_reference,yes,"assertProviderActionAllowed(actionKey, context)"
act_nhs_login_credential_promotion,Promote NHS login credentials into vault-handled storage,nhs_login,verify,secrets_redacted_only,secret_material_handling,no,0,yes,vault_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_gp_provider_path_review,Review GP provider path evidence and shortlist posture,gp_booking,read,safe_read_retry,read_only,yes,2,no,gate_snapshot,no,"assertProviderActionAllowed(actionKey, context)"
act_im1_prerequisite_pack_draft,Resume IM1 prerequisite dossier drafting,gp_booking,fill,resume_from_checkpoint_only,draft_resume_safe,no,0,no,checkpoint_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_im1_supported_test_admissibility_review,Review IM1 supported-test admissibility,gp_booking,review,human_review_before_continue,review_checkpoint,no,0,yes,review_reference,yes,"assertProviderActionAllowed(actionKey, context)"
act_im1_license_signatory_handoff,Capture IM1 signatory handoff evidence and stop,gp_booking,verify,capture_evidence_then_stop,review_checkpoint,no,0,yes,review_reference,yes,"assertProviderActionAllowed(actionKey, context)"
act_im1_submission_commit,Submit IM1 provider request once,gp_booking,commit,never_auto_repeat,non_idempotent_mutation,no,0,yes,provider_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_pds_use_case_pack_draft,Resume PDS use-case and risk-pack drafting,pds,fill,resume_from_checkpoint_only,draft_resume_safe,no,0,no,checkpoint_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_pds_legal_basis_review,Review PDS legal basis and feature-flag approval,pds,review,human_review_before_continue,review_checkpoint,no,0,yes,review_reference,yes,"assertProviderActionAllowed(actionKey, context)"
act_mesh_mailbox_application_draft,Resume MESH mailbox application drafting,mesh,fill,resume_from_checkpoint_only,draft_resume_safe,no,0,no,checkpoint_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_mesh_workflow_request_submit,Submit MESH workflow request once,mesh,commit,never_auto_repeat,non_idempotent_mutation,no,0,yes,provider_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_telephony_account_project_draft,Resume telephony account and number plan drafting,telephony,fill,resume_from_checkpoint_only,draft_resume_safe,no,0,no,checkpoint_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_telephony_number_purchase,Purchase or bind a telephony number once,telephony,commit,never_auto_repeat,non_idempotent_mutation,no,0,yes,provider_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_notification_project_draft,Resume notification project and sender draft,notification,fill,resume_from_checkpoint_only,draft_resume_safe,no,0,no,checkpoint_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_notification_sender_domain_verification,Capture sender or domain verification evidence and stop,notification,verify,capture_evidence_then_stop,review_checkpoint,no,0,yes,review_reference,yes,"assertProviderActionAllowed(actionKey, context)"
act_evidence_vendor_project_draft,Resume evidence-processing provider draft,evidence_processing,fill,resume_from_checkpoint_only,draft_resume_safe,no,0,no,checkpoint_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_evidence_webhook_secret_capture,Capture evidence-processing webhook secret handling safely,evidence_processing,verify,secrets_redacted_only,secret_material_handling,no,0,yes,vault_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_pharmacy_directory_route_review,Review pharmacy directory and access path evidence,pharmacy,read,safe_read_retry,read_only,yes,2,no,gate_snapshot,no,"assertProviderActionAllowed(actionKey, context)"
act_pharmacy_dispatch_route_commit,Commit a pharmacy dispatch route once,pharmacy,commit,never_auto_repeat,non_idempotent_mutation,no,0,yes,provider_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_pharmacy_manual_urgent_return_rehearsal,Capture urgent-return rehearsal evidence and stop,pharmacy,verify,capture_evidence_then_stop,review_checkpoint,no,0,yes,review_reference,yes,"assertProviderActionAllowed(actionKey, context)"
act_nhs_app_scope_and_eoi_draft,Resume NHS App EOI and environment pack drafting,nhs_app,fill,resume_from_checkpoint_only,draft_resume_safe,no,0,no,checkpoint_receipt,yes,"assertProviderActionAllowed(actionKey, context)"
act_nhs_app_commissioning_gate_review,Review NHS App commissioning and assurance gate,nhs_app,review,human_review_before_continue,review_checkpoint,no,0,yes,review_reference,yes,"assertProviderActionAllowed(actionKey, context)"
