release_id,environment_ring,matrix_group,label,approved_member_ref,approved_hash,published_member_ref,published_hash,comparison_state,fail_closed_effect,reason_ids,source_refs
RC_LOCAL_V1,local,artifacts,Artifacts,approved::artifacts::local,58ea3275fe0ac21d,published::artifacts::local,58ea3275fe0ac21d,exact,Unsigned or drifted artifacts block promotion and rollback reuse immediately.,,blueprint/platform-runtime-and-release-blueprint.md#ReleaseCandidate; docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Required Object Bindings
RC_LOCAL_V1,local,topology,Topology,approved::topology::local,d72ab3af8a8923a4,published::topology::local,d72ab3af8a8923a4,exact,Topology drift freezes writable posture and blocks widen or resume.,,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord
RC_LOCAL_V1,local,manifests,Manifests,approved::manifests::local,1b880eb517e7758e,published::manifests::local,1b880eb517e7758e,exact,Any stale or withdrawn manifest collapses browser authority to recovery or blocked posture.,,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding
RC_LOCAL_V1,local,design_bundles,Design bundles,approved::design_bundles::local,96391f19d147f0c2,published::design_bundles::local,96391f19d147f0c2,exact,Design publication drift blocks calm trust even if runtime parity still matches.,,blueprint/phase-cards.md#Extended Summary-Layer Alignment; blueprint/forensic-audit-findings.md#Finding 118
RC_LOCAL_V1,local,schemas,Schemas,approved::schemas::local,f6eab0f256506f41,published::schemas::local,f6eab0f256506f41,exact,Schema drift invalidates parity and forces a fresh freeze before promotion.,,blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord; blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract
RC_LOCAL_V1,local,migrations,Migrations,approved::migrations::local,92d85958df10486f,published::migrations::local,92d85958df10486f,exact,Backfill or read-path compatibility drift blocks widening and candidate reuse.,,blueprint/platform-runtime-and-release-blueprint.md#SchemaMigrationPlan; blueprint/phase-cards.md#Extended Summary-Layer Alignment
RC_LOCAL_V1,local,provenance,Provenance,approved::provenance::local,d2c755d9cb955640,published::provenance::local,d2c755d9cb955640,exact,"Quarantined, revoked, or withdrawn provenance freezes mutating posture before deploy calmness can lie.",,blueprint/platform-runtime-and-release-blueprint.md#BuildProvenanceRecord; docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Supply Chain Law
RC_LOCAL_V1,local,recovery_watch,Recovery and watch,approved::recovery_watch::local,4f6b2e3e12f546ba,published::recovery_watch::local,4f6b2e3e12f546ba,exact,Watch drift or missing recovery posture blocks widening and governed handoff.,,blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
RC_CI_PREVIEW_V1,ci-preview,artifacts,Artifacts,approved::artifacts::ci_preview,124fc9e2591601c6,published::artifacts::ci_preview,124fc9e2591601c6,exact,Unsigned or drifted artifacts block promotion and rollback reuse immediately.,,blueprint/platform-runtime-and-release-blueprint.md#ReleaseCandidate; docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Required Object Bindings
RC_CI_PREVIEW_V1,ci-preview,topology,Topology,approved::topology::ci_preview,57e2b872eedab4e4,published::topology::ci_preview,57e2b872eedab4e4,exact,Topology drift freezes writable posture and blocks widen or resume.,,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord
RC_CI_PREVIEW_V1,ci-preview,manifests,Manifests,approved::manifests::ci_preview,1b880eb517e7758e,published::manifests::ci_preview,1b880eb517e7758e,exact,Any stale or withdrawn manifest collapses browser authority to recovery or blocked posture.,,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding
RC_CI_PREVIEW_V1,ci-preview,design_bundles,Design bundles,approved::design_bundles::ci_preview,96391f19d147f0c2,published::design_bundles::ci_preview,96391f19d147f0c2,exact,Design publication drift blocks calm trust even if runtime parity still matches.,,blueprint/phase-cards.md#Extended Summary-Layer Alignment; blueprint/forensic-audit-findings.md#Finding 118
RC_CI_PREVIEW_V1,ci-preview,schemas,Schemas,approved::schemas::ci_preview,f6eab0f256506f41,published::schemas::ci_preview,f6eab0f256506f41,exact,Schema drift invalidates parity and forces a fresh freeze before promotion.,,blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord; blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract
RC_CI_PREVIEW_V1,ci-preview,migrations,Migrations,approved::migrations::ci_preview,a556f58cd36bc261,published::migrations::ci_preview,a556f58cd36bc261,exact,Backfill or read-path compatibility drift blocks widening and candidate reuse.,,blueprint/platform-runtime-and-release-blueprint.md#SchemaMigrationPlan; blueprint/phase-cards.md#Extended Summary-Layer Alignment
RC_CI_PREVIEW_V1,ci-preview,provenance,Provenance,approved::provenance::ci_preview,51c5378408eae25b,published::provenance::ci_preview,51c5378408eae25b,exact,"Quarantined, revoked, or withdrawn provenance freezes mutating posture before deploy calmness can lie.",,blueprint/platform-runtime-and-release-blueprint.md#BuildProvenanceRecord; docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Supply Chain Law
RC_CI_PREVIEW_V1,ci-preview,recovery_watch,Recovery and watch,approved::recovery_watch::ci_preview,5fcd1097c94fef4d,published::recovery_watch::ci_preview,5fcd1097c94fef4d,exact,Watch drift or missing recovery posture blocks widening and governed handoff.,,blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
RC_INTEGRATION_V1,integration,artifacts,Artifacts,approved::artifacts::integration,a0c1199800ebb176,published::artifacts::integration,a0c1199800ebb176,exact,Unsigned or drifted artifacts block promotion and rollback reuse immediately.,,blueprint/platform-runtime-and-release-blueprint.md#ReleaseCandidate; docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Required Object Bindings
RC_INTEGRATION_V1,integration,topology,Topology,approved::topology::integration,2848305b9a588e0a,published::topology::integration,2848305b9a588e0a,exact,Topology drift freezes writable posture and blocks widen or resume.,,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord
RC_INTEGRATION_V1,integration,manifests,Manifests,approved::manifests::integration,1b880eb517e7758e,published::manifests::integration,1b880eb517e7758e,exact,Any stale or withdrawn manifest collapses browser authority to recovery or blocked posture.,,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding
RC_INTEGRATION_V1,integration,design_bundles,Design bundles,approved::design_bundles::integration,96391f19d147f0c2,published::design_bundles::integration,96391f19d147f0c2,exact,Design publication drift blocks calm trust even if runtime parity still matches.,,blueprint/phase-cards.md#Extended Summary-Layer Alignment; blueprint/forensic-audit-findings.md#Finding 118
RC_INTEGRATION_V1,integration,schemas,Schemas,approved::schemas::integration,f6eab0f256506f41,published::schemas::integration,47d931a0d26ba691,stale,Schema drift invalidates parity and forces a fresh freeze before promotion.,DRIFT_051_ROUTE_CONTRACT_DIGEST_SET_STALE,blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord; blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract
RC_INTEGRATION_V1,integration,migrations,Migrations,approved::migrations::integration,826c1595f3a8b171,published::migrations::integration,826c1595f3a8b171,exact,Backfill or read-path compatibility drift blocks widening and candidate reuse.,,blueprint/platform-runtime-and-release-blueprint.md#SchemaMigrationPlan; blueprint/phase-cards.md#Extended Summary-Layer Alignment
RC_INTEGRATION_V1,integration,provenance,Provenance,approved::provenance::integration,82730ae19bbd6c74,published::provenance::integration,82730ae19bbd6c74,exact,"Quarantined, revoked, or withdrawn provenance freezes mutating posture before deploy calmness can lie.",,blueprint/platform-runtime-and-release-blueprint.md#BuildProvenanceRecord; docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Supply Chain Law
RC_INTEGRATION_V1,integration,recovery_watch,Recovery and watch,approved::recovery_watch::integration,4f48a57a257b552a,published::recovery_watch::integration,36d4f4a51f90d1ef,stale,Watch drift or missing recovery posture blocks widening and governed handoff.,DRIFT_051_RECOVERY_DISPOSITION_SET_STALE; DRIFT_051_WATCH_DEPENDENCIES_NOT_REFRESHED,blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
RC_PREPROD_V1,preprod,artifacts,Artifacts,approved::artifacts::preprod,2802f03d70a0f8cd,published::artifacts::preprod,2802f03d70a0f8cd,exact,Unsigned or drifted artifacts block promotion and rollback reuse immediately.,,blueprint/platform-runtime-and-release-blueprint.md#ReleaseCandidate; docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Required Object Bindings
RC_PREPROD_V1,preprod,topology,Topology,approved::topology::preprod,94728acd97f0913b,published::topology::preprod,1acd25f5b5a8cb5e,conflict,Topology drift freezes writable posture and blocks widen or resume.,DRIFT_051_TOPOLOGY_TUPLE_CONFLICT,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord
RC_PREPROD_V1,preprod,manifests,Manifests,approved::manifests::preprod,1b880eb517e7758e,published::manifests::preprod,1b880eb517e7758e,exact,Any stale or withdrawn manifest collapses browser authority to recovery or blocked posture.,,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding
RC_PREPROD_V1,preprod,design_bundles,Design bundles,approved::design_bundles::preprod,96391f19d147f0c2,published::design_bundles::preprod,96391f19d147f0c2,exact,Design publication drift blocks calm trust even if runtime parity still matches.,,blueprint/phase-cards.md#Extended Summary-Layer Alignment; blueprint/forensic-audit-findings.md#Finding 118
RC_PREPROD_V1,preprod,schemas,Schemas,approved::schemas::preprod,f6eab0f256506f41,published::schemas::preprod,f6eab0f256506f41,exact,Schema drift invalidates parity and forces a fresh freeze before promotion.,,blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord; blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract
RC_PREPROD_V1,preprod,migrations,Migrations,approved::migrations::preprod,daea06427045b653,published::migrations::preprod,daea06427045b653,exact,Backfill or read-path compatibility drift blocks widening and candidate reuse.,,blueprint/platform-runtime-and-release-blueprint.md#SchemaMigrationPlan; blueprint/phase-cards.md#Extended Summary-Layer Alignment
RC_PREPROD_V1,preprod,provenance,Provenance,approved::provenance::preprod,ede8e45a71c58466,published::provenance::preprod,6de143590c3ba401,conflict,"Quarantined, revoked, or withdrawn provenance freezes mutating posture before deploy calmness can lie.",BLOCKER_051_PROVENANCE_QUARANTINED,blueprint/platform-runtime-and-release-blueprint.md#BuildProvenanceRecord; docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Supply Chain Law
RC_PREPROD_V1,preprod,recovery_watch,Recovery and watch,approved::recovery_watch::preprod,103a3bab746d2b6e,published::recovery_watch::preprod,619cde4c2f2e3b41,conflict,Watch drift or missing recovery posture blocks widening and governed handoff.,DRIFT_051_GOVERNANCE_WATCH_PARITY_CONFLICT,blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
RC_PRODUCTION_V1,production,artifacts,Artifacts,approved::artifacts::production,c2c5162d5fc3c763,published::artifacts::production,c2c5162d5fc3c763,exact,Unsigned or drifted artifacts block promotion and rollback reuse immediately.,,blueprint/platform-runtime-and-release-blueprint.md#ReleaseCandidate; docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Required Object Bindings
RC_PRODUCTION_V1,production,topology,Topology,approved::topology::production,f2a1a973d6123f1e,published::topology::production,f2a1a973d6123f1e,exact,Topology drift freezes writable posture and blocks widen or resume.,,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord
RC_PRODUCTION_V1,production,manifests,Manifests,approved::manifests::production,1b880eb517e7758e,published::manifests::production,withdrawn,withdrawn,Any stale or withdrawn manifest collapses browser authority to recovery or blocked posture.,BLOCKER_051_RUNTIME_PUBLICATION_WITHDRAWN,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding
RC_PRODUCTION_V1,production,design_bundles,Design bundles,approved::design_bundles::production,96391f19d147f0c2,published::design_bundles::production,96391f19d147f0c2,exact,Design publication drift blocks calm trust even if runtime parity still matches.,,blueprint/phase-cards.md#Extended Summary-Layer Alignment; blueprint/forensic-audit-findings.md#Finding 118
RC_PRODUCTION_V1,production,schemas,Schemas,approved::schemas::production,f6eab0f256506f41,published::schemas::production,f6eab0f256506f41,exact,Schema drift invalidates parity and forces a fresh freeze before promotion.,,blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord; blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract
