timer_family_id,timer_name,governing_object_ref,checkpoint_object_ref,owning_runtime_component_id,timer_state_component_ref,trigger_event_refs,mutation_contract_ref,proof_class,settlement_ref,user_visible_posture_change,degraded_fallback_behavior,endpoint_refs,source_refs,notes
TIM_MORE_INFO_REPLY_WINDOW,More-info reply window,MoreInfoCycle,MoreInfoReplyWindowCheckpoint,svc_timer_orchestrator,store_timer_state,CanonicalEventContract(triage.more_info.sent); CanonicalEventContract(triage.more_info.superseded),MutationCommandContract(triage.more_info.checkpoint.recompute),recovery_disposition,MoreInfoResponseDisposition,yes,same-shell expiry or late-review posture; no client clock truth,triage_more_info_cycle,"phase-3-the-human-checkpoint.md#MoreInfoReplyWindowCheckpoint; forensic-audit-findings.md#Finding 18 - More-info loop had no TTL, expiry, or escalation rule","Single authority for due-state wording, reminder eligibility, late review, and expiry copy."
TIM_MORE_INFO_REMINDERS,More-info reminder schedule,MoreInfoReminderSchedule,MoreInfoReminderSchedule,svc_timer_orchestrator,store_timer_state,CanonicalEventContract(triage.more_info.reminder.due),MutationCommandContract(communication.more_info.reminder.dispatch),external_confirmation,MessageDeliveryEvidenceBundle,yes,suppression or callback fallback when contact repair is active,triage_more_info_cycle; patient_contact_route_repair,phase-3-the-human-checkpoint.md#MoreInfoReminderSchedule,Reminder orchestration derives only from current checkpoint and reachability posture.
TIM_CALLBACK_EXPECTATION_WINDOW,Callback expectation window,CallbackExpectationEnvelope,CallbackExpectationEnvelope,svc_timer_orchestrator,store_timer_state,CanonicalEventContract(telephony.callback.promise.updated),MutationCommandContract(callback.expectation.recompute),external_confirmation,CallbackResolutionGate,yes,"same-shell promise repair, never silent widening",callback,callback-and-clinician-messaging-loop.md#CallbackExpectationEnvelope,Visible callback windows may narrow quietly but may never widen without a new envelope revision.
TIM_CALLBACK_MISSED_WINDOW_REPAIR,Callback missed-window repair,CallbackResolutionGate,CallbackResolutionGate,svc_timer_orchestrator,store_timer_state,CanonicalEventContract(telephony.callback.window.missed),MutationCommandContract(callback.repair.route),recovery_disposition,CallbackResolutionGate,yes,"route to retry, escalation, or repair guidance in the same shell",callback; patient_contact_route_repair,callback-and-clinician-messaging-loop.md#CallbackResolutionGate; forensic-audit-findings.md#Finding 24 - Callback handling had contradictory loop-and-close semantics,"Missed windows create governed repair, not silent expiry."
TIM_BOOKING_CONFIRMATION_GATE,Booking confirmation and reconciliation gate,BookingTransaction,ExternalConfirmationGate,svc_timer_orchestrator,store_timer_state,CanonicalEventContract(booking.commit.confirmation_pending); CanonicalEventContract(confirmation.gate.updated),MutationCommandContract(booking.confirmation.reconcile),external_confirmation,BookingConfirmationTruthProjection,yes,hold in confirmation_pending or reconciliation_required; never booked optimism,local_booking,phase-4-the-booking-engine.md#BookingConfirmationTruthProjection; forensic-audit-findings.md#Finding 31 - No ambiguous confirmation or reconciliation state for bookings,Appointment creation alone does not close ambiguity.
TIM_WAITLIST_DEADLINE,Local waitlist deadline evaluation,WaitlistEntry,WaitlistDeadlineEvaluation,svc_timer_orchestrator,store_timer_state,CanonicalEventContract(booking.waitlist.deadline_evaluated); CanonicalEventContract(booking.waitlist.offer.expired),MutationCommandContract(booking.waitlist.deadline.recompute),recovery_disposition,WaitlistContinuationTruthProjection,yes,route through current WaitlistFallbackObligation rather than indefinite waiting,local_waitlist_continuation,phase-4-the-booking-engine.md#WaitlistDeadlineEvaluation; forensic-audit-findings.md#Finding 33 - Waitlist logic lacked per-capacity exclusivity and deadline fallback,Safe local continuation must be recomputed from policy-governed deadline truth.
TIM_WAITLIST_OFFER_EXPIRY,Waitlist offer expiry,WaitlistOffer,WaitlistOffer,svc_timer_orchestrator,store_timer_state,CanonicalEventContract(booking.waitlist.offer.sent); CanonicalEventContract(booking.waitlist.offer.expired),MutationCommandContract(booking.waitlist.offer.expire),recovery_disposition,WaitlistContinuationTruthProjection,yes,preserve offer provenance and continue or fallback through the same case,local_waitlist_continuation,phase-4-the-booking-engine.md#WaitlistContinuationTruthProjection,Offer expiry never clears fallback debt or rewrites current continuation truth silently.
TIM_HUB_CANDIDATE_REFRESH,Hub candidate refresh,HubCoordinationCase,AlternativeOfferRegenerationSettlement,svc_timer_orchestrator,store_timer_state,CanonicalEventContract(capacity.snapshot.updated); CanonicalEventContract(hub.offer.regeneration.required),MutationCommandContract(hub.offer.regenerate),review_disposition,AlternativeOfferRegenerationSettlement,yes,"regenerate in-shell, preserve provenance, or shift to callback-only recovery",network_hub_coordination,phase-5-the-network-horizon.md#AlternativeOfferRegenerationSettlement,Supply refresh may not silently mutate a live choice surface.
TIM_HUB_PATIENT_CHOICE_EXPIRY,Hub patient-choice expiry,AlternativeOfferSession,AlternativeOfferSession,svc_timer_orchestrator,store_timer_state,CanonicalEventContract(hub.offer.delivered); CanonicalEventContract(hub.offer.expired),MutationCommandContract(hub.offer.expire),recovery_disposition,HubOfferToConfirmationTruthProjection,yes,fallback card or read-only provenance; no silent stale choice,network_hub_coordination,phase-5-the-network-horizon.md#AlternativeOfferSession,Expiry creates a new regeneration or fallback receipt rather than a mutated live offer.
TIM_HUB_PRACTICE_ACK_DUE,Practice acknowledgement due timer,PracticeAcknowledgementRecord,PracticeAcknowledgementRecord,svc_timer_orchestrator,store_timer_state,CanonicalEventContract(hub.practice_visibility.generated); CanonicalEventContract(hub.practice_ack.overdue),MutationCommandContract(hub.practice_ack.escalate),external_confirmation,HubOfferToConfirmationTruthProjection,yes,remain booked_pending_practice_ack or recovery_required until current generation settles,network_hub_coordination,phase-5-the-network-horizon.md#PracticeAcknowledgementRecord,Current-generation acknowledgement debt is closure-blocking when policy requires it.
