capability_id,route_profile_ref,scenario,surface_ref,route_family_ref,identity_source,verification_level,patient_link_posture,required_freshness,policy_restriction,decision,writable_authority_state,grant_ceiling,identity_binding_authority_mutation,reason_codes,future_profile_pending,parity_visual_ref
CAP_170_ANONYMOUS_DRAFT_START,RCP_170_ANONYMOUS_DRAFT_START,anonymous draft start,anonymous_draft_start,rf_phase1_public_intake,anonymous,none,unlinked,draft_lease_current,none,allow,read_only,draft_lease_only,none,CAP_170_ANONYMOUS_DRAFT_START_ALLOWED,false,lattice:anonymous_draft_start
CAP_170_ANONYMOUS_DRAFT_CONTINUE,RCP_170_ANONYMOUS_DRAFT_CONTINUE,anonymous draft continue,anonymous_draft_continue,rf_phase1_public_intake,secure_link,none,candidate,draft_lease_current,none,allow,read_only,draft_lease_only,none,CAP_170_ANONYMOUS_DRAFT_CONTINUE_ALLOWED,false,lattice:anonymous_draft_continue
CAP_170_SIGNED_IN_DRAFT_START,RCP_170_SIGNED_IN_DRAFT_START,signed-in draft start,signed_in_draft_start,rf_phase2_authenticated_intake,nhs_login,nhs_low,candidate,session_current,none,allow,read_only,authenticated_draft_only,none,CAP_170_SIGNED_IN_DRAFT_START_ALLOWED,false,lattice:signed_in_draft_start
CAP_170_AUTH_REQUEST_STATUS_VIEW,RCP_170_AUTHENTICATED_REQUEST_STATUS_VIEW,authenticated request status view,authenticated_request_status_view,rf_phase2_authenticated_request_status,nhs_login,nhs_p9,linked,session_current,none,allow,read_only,request_status_read,none,CAP_170_AUTH_STATUS_VIEW_ALLOWED,false,lattice:authenticated_request_status_view
CAP_170_DRAFT_CLAIM_STEP_UP,RCP_170_DRAFT_CLAIM_INTO_AUTHENTICATED_ACCOUNT,draft claim into authenticated account,draft_claim_into_authenticated_account,rf_phase2_claim_redemption,nhs_login,nhs_low,candidate,session_current,patient_link_not_confirmed,step_up_required,read_only,authenticated_draft_only,authority_signal_only,CAP_170_DRAFT_CLAIM_REQUIRES_STEP_UP,false,lattice:draft_claim
CAP_170_DRAFT_CLAIM_AFTER_AUTHORITY,RCP_170_DRAFT_CLAIM_INTO_AUTHENTICATED_ACCOUNT,draft claim after authority binding,draft_claim_into_authenticated_account,rf_phase2_claim_redemption,nhs_login,nhs_p9,linked,session_current,binding_fence_accepted,allow,read_only,authenticated_draft_only,authority_signal_only,CAP_170_DRAFT_CLAIM_BOUND_AFTER_AUTHORITY,false,lattice:draft_claim
CAP_170_POST_SIGN_IN_ATTACHMENT_ADD,RCP_170_POST_SIGN_IN_ATTACHMENT_ADDITION,post-sign-in attachment addition,post_sign_in_attachment_addition,rf_phase2_authenticated_attachments,nhs_login,nhs_p9,linked,session_current,none,allow,writable,request_attachment_write,none,CAP_170_ATTACHMENT_ADD_ALLOWED_WITH_LINK,false,lattice:attachment_add
CAP_170_SMS_CONTINUATION_PHONE_SEEDED,RCP_170_SMS_CONTINUATION_PHONE_SEEDED_DRAFT,SMS continuation for phone-seeded drafts,sms_continuation_phone_seeded_draft,rf_phase2_sms_continuation,sms_continuation,contact_seeded,candidate,continuation_current,channel_seeded_only,recover_only,read_only,continuation_recovery_only,none,CAP_170_SMS_CONTINUATION_RECOVER_ONLY,false,lattice:sms_continuation
CAP_170_IDENTITY_REPAIR_HOLD,RCP_170_IDENTITY_REPAIR_HOLD,manual override and identity repair hold,identity_repair_hold,rf_phase2_identity_repair,staff_override,manual_verified,repair_hold,session_current,manual_override_narrowed,recover_only,blocked,continuation_recovery_only,authority_signal_only,CAP_170_IDENTITY_REPAIR_RECOVER_ONLY,false,lattice:repair_hold
CAP_170_AGE_POLICY_RESTRICTION,RCP_170_AUTHENTICATED_REQUEST_STATUS_VIEW,age or policy restriction posture,authenticated_request_status_view,rf_phase2_authenticated_request_status,nhs_login,nhs_p9,restricted,session_current,age_policy_proxy_required,deny,blocked,none,none,CAP_170_POLICY_RESTRICTION_DENIED,false,lattice:policy_restriction
CAP_170_FUTURE_PROTECTED_RECORDS_PLACEHOLDER,RCP_170_FUTURE_PROTECTED_RECORDS,future protected records placeholder,future_protected_records,rf_future_records,nhs_login,nhs_p9,linked,future_placeholder,future_surface_placeholder,deny,blocked,future_denied,none,CAP_170_FUTURE_RECORDS_DENIED_PLACEHOLDER,true,lattice:future_records
CAP_170_FUTURE_BOOKING_PLACEHOLDER,RCP_170_FUTURE_BOOKING_SURFACES,future booking-style surfaces placeholder,future_booking_surfaces,rf_future_booking,nhs_login,nhs_p9,linked,future_placeholder,future_surface_placeholder,deny,blocked,future_denied,none,CAP_170_FUTURE_BOOKING_DENIED_PLACEHOLDER,true,lattice:future_booking
CAP_170_UNKNOWN_PROTECTED_ROUTE_DENIED,RCP_170_UNKNOWN_PROTECTED_ROUTE_FALLBACK,unknown protected route fallback,unknown_protected_route,rf_unknown_protected,anonymous,none,any,unknown,unknown_route,deny,blocked,none,none,CAP_170_UNKNOWN_PROTECTED_ROUTE_DENIED,false,lattice:unknown_fallback
