route_family_ref,posture,step_key,order,description,source_refs
rf_patient_home,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_patient_home.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_patient_home,full_restore,scroll,2,Restore the scroll anchor for rf_patient_home.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_patient_home,full_restore,disclosure,3,Restore bounded disclosure posture for rf_patient_home.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_patient_home,full_restore,focus,4,Restore focus to the governed anchor target for rf_patient_home.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_patient_requests,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_patient_requests.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_patient_requests,full_restore,scroll,2,Restore the scroll anchor for rf_patient_requests.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_patient_requests,full_restore,disclosure,3,Restore bounded disclosure posture for rf_patient_requests.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_patient_requests,full_restore,focus,4,Restore focus to the governed anchor target for rf_patient_requests.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_patient_appointments,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_patient_appointments.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_appointments,full_restore,scroll,2,Restore the scroll anchor for rf_patient_appointments.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_appointments,full_restore,disclosure,3,Restore bounded disclosure posture for rf_patient_appointments.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_appointments,full_restore,focus,4,Restore focus to the governed anchor target for rf_patient_appointments.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_health_record,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_patient_health_record.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_health_record,full_restore,scroll,2,Restore the scroll anchor for rf_patient_health_record.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_health_record,full_restore,disclosure,3,Restore bounded disclosure posture for rf_patient_health_record.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_health_record,full_restore,focus,4,Restore focus to the governed anchor target for rf_patient_health_record.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_messages,full_restore,anchor,1,Restore the selected anchor before any visual displacement for rf_patient_messages.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_messages,full_restore,scroll,2,Restore the scroll anchor for rf_patient_messages.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_messages,full_restore,disclosure,3,Restore bounded disclosure posture for rf_patient_messages.,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
