domain,pathType,stateId,patientVisibleState,evidenceRequirement,resolutionAuthority,nextStates,notes
callback,primary,created,queued,expectation_envelope,callback_intent_lease,queued,Case created but not yet scheduled
callback,primary,queued,queued,expectation_envelope,callback_intent_lease,scheduled,Only the active lease may promote into schedule
callback,primary,scheduled,scheduled,expectation_envelope,callback_intent_lease,ready_for_attempt,Promise derives from CallbackExpectationEnvelope only
callback,primary,ready_for_attempt,scheduled,expectation_envelope,callback_intent_lease,attempt_in_progress,Attempt may start only under the current live lease
callback,primary,attempt_in_progress,attempting_now,expectation_envelope,callback_attempt_record,awaiting_outcome_evidence,Provider acceptance does not settle outcome
callback,primary,awaiting_outcome_evidence,attempting_now,callback_outcome_evidence_bundle,callback_resolution_gate,answered|no_answer|voicemail_left|contact_route_repair_pending,Confidence may widen pending but may not manufacture outcome truth
callback,terminal,answered,closed,callback_outcome_evidence_bundle,callback_resolution_gate,completed,Answered outcome requires durable evidence
callback,terminal,no_answer,retry_planned,callback_outcome_evidence_bundle,callback_resolution_gate,awaiting_retry|completed,No-answer may retry or complete only through the gate
callback,terminal,voicemail_left,retry_planned,callback_outcome_evidence_bundle,callback_resolution_gate,awaiting_retry|completed,Voicemail policy remains gate-bound
callback,repair,contact_route_repair_pending,route_repair_required,callback_expectation_envelope,callback_resolution_gate,awaiting_retry|escalation_review,Repair remains same-domain unless escalated
callback,follow_up,awaiting_retry,retry_planned,callback_expectation_envelope,callback_resolution_gate,scheduled|escalation_review,Retry promise still flows through the envelope
callback,follow_up,escalation_review,escalated,callback_resolution_gate,callback_resolution_gate,completed|cancelled|expired,Escalation review cannot close the request directly
callback,terminal,completed,closed,callback_resolution_gate,callback_resolution_gate,closed,Case completion still does not imply request closure
callback,terminal,cancelled,closed,callback_resolution_gate,callback_resolution_gate,closed,Cancelled remains provenance-bearing
callback,terminal,expired,closed,callback_resolution_gate,callback_resolution_gate,closed,Expired remains provenance-bearing
callback,terminal,closed,closed,callback_resolution_gate,callback_resolution_gate,none,Closed is terminal callback lineage provenance
message,primary,drafted,reply_needed,thread_expectation_envelope,message_dispatch_envelope,approved,Draft does not imply any send effect
message,primary,approved,reply_needed,thread_expectation_envelope,message_dispatch_envelope,sent,Approval and send remain distinct
message,primary,sent,reply_needed,message_delivery_evidence_bundle,thread_resolution_gate,delivered|delivery_failed|contact_route_repair_pending,Transport optimism alone cannot imply delivery
message,primary,delivered,reply_needed,message_delivery_evidence_bundle,thread_resolution_gate,patient_replied|closed,Delivered truth requires MessageDeliveryEvidenceBundle
message,primary,patient_replied,awaiting_review,conversation_command_settlement,thread_resolution_gate,awaiting_clinician_review,Replies route through settlement and re-safety when indicated
message,primary,awaiting_clinician_review,awaiting_review,thread_expectation_envelope,thread_resolution_gate,closed|reopened|repair_route,Review posture derives from ThreadExpectationEnvelope
message,terminal,closed,closed,thread_resolution_gate,thread_resolution_gate,reopened,Only ThreadResolutionGate may close the thread
message,reopen,reopened,awaiting_review,thread_expectation_envelope,thread_resolution_gate,awaiting_clinician_review,Reopen path preserves the same lineage case link
message,repair,delivery_failed,delivery_repair_required,message_delivery_evidence_bundle,thread_resolution_gate,contact_route_repair_pending|approved,Failed delivery requires evidence
message,repair,contact_route_repair_pending,delivery_repair_required,thread_expectation_envelope,conversation_command_settlement,approved|sent,Repair and controlled resend still settle through ConversationCommandSettlement
