scenario_id,view_kind,entry_mode,patient_visible_state,window_risk_state,reservation_truth,offer_expiry_mode,reachability_state,fallback_route,primary_action
booking_case_298_join_sheet,join_sheet,same_shell,pre_join,none,none,none,current,stay_local_waitlist,join_waitlist
booking_case_298_waiting,manage_status,same_shell,waiting_for_offer,on_track,none,none,current,stay_local_waitlist,
booking_case_298_waiting_at_risk,manage_status,same_shell,waiting_for_offer,at_risk,none,none,current,stay_local_waitlist,
booking_case_298_offer_nonexclusive,offer_actionable,same_shell,offer_available,on_track,truthful_nonexclusive,response_window,current,stay_local_waitlist,accept_waitlist_offer
booking_case_298_offer_held,offer_actionable,same_shell,offer_available,on_track,exclusive_held,response_window,current,stay_local_waitlist,accept_waitlist_offer
booking_case_298_offer_pending,accepted_pending,same_shell,accepted_pending_booking,on_track,pending_confirmation,none,current,stay_local_waitlist,
booking_case_298_offer_expired,expired_outcome,same_shell,expired,on_track,expired,expired,current,stay_local_waitlist,keep_waitlist_active
booking_case_298_offer_superseded,expired_outcome,same_shell,offer_available,on_track,released,superseded,current,stay_local_waitlist,open_newer_offer
booking_case_298_fallback_due,fallback_due,same_shell,waiting_for_offer,fallback_due,none,none,current,callback,fallback_to_callback
booking_case_298_overdue_callback,fallback_due,same_shell,callback_expected,overdue,none,none,current,callback,
booking_case_298_contact_repair,contact_repair,same_shell,offer_available,on_track,truthful_nonexclusive,response_window,repair_required,stay_local_waitlist,repair_contact_route
booking_case_298_secure_link_offer,offer_actionable,secure_link,offer_available,at_risk,truthful_nonexclusive,response_window,current,stay_local_waitlist,accept_waitlist_offer
