transitionId,fromState,toState,predicateId,controllingObject,ownerTask,sourceRef,predicate
T278_001,handoff_received,capability_checked,P278_HANDOFF_ACKNOWLEDGED,BookingIntent + LineageCaseLink,seq_278,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine","Current BookingIntent is unsuperseded, its proposed LineageCaseLink is still current for the request lineage, and request ownership fences are valid for case creation."
T278_002,capability_checked,searching_local,P278_CAPABILITY_LIVE_FOR_SEARCH,BookingCapabilityResolution + BookingCapabilityProjection,seq_279,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine","BookingCapabilityResolution.capabilityState is live_self_service or live_staff_assist for the active audience, binding hashes remain current, and route publication plus trust posture still match the capability tuple."
T278_003,searching_local,offers_ready,P278_OFFERS_DISCLOSED,OfferSession + SlotSetSnapshot,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine","A live OfferSession exists on the active BookingCase version, policy bundle, capability binding, and selectable snapshot."
T278_004,searching_local,waitlisted,P278_WAITLIST_SAFE,WaitlistEntry + WaitlistDeadlineEvaluation + WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine","Active WaitlistEntry exists, WaitlistDeadlineEvaluation.offerabilityState is waitlist_safe or at_risk, and WaitlistFallbackObligation.requiredFallbackRoute remains stay_local_waitlist."
T278_005,searching_local,callback_fallback,P278_CALLBACK_REQUIRED,WaitlistFallbackObligation + CallbackCase seam,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Current WaitlistFallbackObligation.requiredFallbackRoute equals callback and the same fallback fence already owns a linked CallbackCase plus CallbackExpectationEnvelope.
T278_006,searching_local,fallback_to_hub,P278_HUB_REQUIRED,WaitlistFallbackObligation + HubCoordinationCase seam,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Current WaitlistFallbackObligation.requiredFallbackRoute equals hub and the same booking lineage already owns a durably created HubCoordinationCase.
T278_007,searching_local,booking_failed,P278_SEARCH_FAILED_NO_CONTINUATION,BookingException + continuation truth,seq_278,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine","The current local booking attempt ended without an active continuation path, waitlist, or durable fallback transfer."
T278_008,offers_ready,selecting,P278_SLOT_CHOSEN,OfferSession,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",One offered slot and its tuple hash have been selected from the current OfferSession.
T278_009,offers_ready,waitlisted,P278_WAITLIST_CHOSEN_FROM_OFFERS,WaitlistEntry + WaitlistContinuationTruthProjection,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",The case elects or is forced into waitlist and an active WaitlistEntry plus safe waitlist truth exist.
T278_010,offers_ready,callback_fallback,P278_OFFERS_TO_CALLBACK,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Fallback obligation now requires callback and no safe local continuation remains.
T278_011,offers_ready,fallback_to_hub,P278_OFFERS_TO_HUB,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Fallback obligation now requires hub and a hub coordination transfer has been durably started.
T278_012,offers_ready,booking_failed,P278_OFFERS_EXHAUSTED,OfferSession + BookingException,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Current offer generation ended and no lawful local continuation survived.
T278_013,selecting,revalidating,P278_REVALIDATION_STARTED,BookingTransaction preflight,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",A chosen slot is being checked against supplier state and the original SearchPolicy.
T278_014,selecting,offers_ready,P278_SELECTION_CLEARED,OfferSession,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Selected slot or anchor was explicitly cleared while the offer session remained live.
T278_015,selecting,waitlisted,P278_SELECTION_TO_WAITLIST,WaitlistEntry + WaitlistContinuationTruthProjection,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",The case joins waitlist from the selection posture and the waitlist truth remains safe.
T278_016,selecting,callback_fallback,P278_SELECTION_TO_CALLBACK,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Selection was invalidated and fallback obligation now requires callback.
T278_017,selecting,fallback_to_hub,P278_SELECTION_TO_HUB,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Selection was invalidated and fallback obligation now requires hub transfer.
T278_018,selecting,booking_failed,P278_SELECTION_FAILED,BookingException,seq_278,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Selection is no longer actionable and no safe local continuation survives.
T278_019,revalidating,commit_pending,P278_PREFLIGHT_VALID,BookingTransaction,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth","Current supplier or local preflight passed against the same SearchPolicy, capability tuple, and request ownership fences."
T278_020,revalidating,offers_ready,P278_PREFLIGHT_REFRESH_REQUIRED,BookingTransaction + OfferSession,seq_280,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",Current slot can no longer be committed but the offer session remains recoverable for the same case version and policy bundle.
T278_021,revalidating,waitlisted,P278_PREFLIGHT_TO_WAITLIST,WaitlistEntry + WaitlistDeadlineEvaluation,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Preflight proves no safe immediate local commit and the current waitlist path remains safe.
T278_022,revalidating,callback_fallback,P278_PREFLIGHT_TO_CALLBACK,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Preflight or freshness drift triggered callback fallback obligation on the same lineage.
T278_023,revalidating,fallback_to_hub,P278_PREFLIGHT_TO_HUB,WaitlistFallbackObligation,seq_280,"blueprint/phase-4-the-booking-engine.md#4A. Booking contract, case model, and state machine",Preflight or freshness drift triggered hub fallback obligation on the same lineage.
T278_024,revalidating,booking_failed,P278_PREFLIGHT_FAILED,BookingException + continuation truth,seq_278,"blueprint/phase-4-the-booking-engine.md#4D. Offer sessions, slot choice, commit path, and authoritative booking truth",No safe continuation survived revalidation failure.
