checkId,group,state,freshness,evidenceRefs,ownerIfFailed,reason
"PH8_EXIT_001","Safety","passed","current","EV431_OPEN_DEFECT_LOG","","Passed with 1 current evidence record."
"PH8_EXIT_002","Safety","passed","current","EV410_CAPABILITY_CONTROL_PLANE|EV412_WORK_PROTECTION|EV419_DIFFABLE_DRAFT|EV428_OFFLINE_EVAL_REPORT|EV429_INVOCATION_REPORT","","Passed with 5 current evidence records."
"PH8_EXIT_003","Evaluation","passed","current","EV404_EVALUATION_CONTRACTS|EV428_OFFLINE_EVAL_REPORT","","Passed with 2 current evidence records."
"PH8_EXIT_004","Evaluation","passed","current","EV404_EVALUATION_CONTRACTS|EV428_OFFLINE_EVAL_REPORT","","Passed with 2 current evidence records."
"PH8_EXIT_005","Evaluation","passed","current","EV406_EVALUATION_RUNTIME|EV415_MONITORING_TRUST|EV428_OFFLINE_EVAL_REPORT","","Passed with 3 current evidence records."
"PH8_EXIT_006","Evaluation","passed","current","EV404_SHADOW_MODE_REQUIREMENTS|EV406_EVALUATION_RUNTIME|EV415_MONITORING_TRUST","","Passed with 3 current evidence records."
"PH8_EXIT_007","Operations","passed","current","EV415_MONITORING_TRUST|EV426_MODEL_AUDIT_SAFETY","","Passed with 2 current evidence records."
"PH8_EXIT_008","Safety","passed","current","EV413_FEEDBACK_CHAIN|EV421_OVERRIDE_REASON|EV430_TRUST_ROLLOUT_REPORT","","Passed with 3 current evidence records."
"PH8_EXIT_009","Safety","passed","current","EV416_FREEZE_FRESHNESS|EV423_STALE_RECOVERY|EV430_TRUST_ROLLOUT_REPORT","","Passed with 3 current evidence records."
"PH8_EXIT_010","Rollout","passed","current","EV415_MONITORING_TRUST|EV416_FREEZE_FRESHNESS|EV429_INVOCATION_REPORT|EV430_TRUST_ROLLOUT_REPORT","","Passed with 4 current evidence records."
"PH8_EXIT_011","Rollout","passed","current","EV422_TRUST_POSTURE|EV430_TRUST_ROLLOUT_REPORT","","Passed with 2 current evidence records."
"PH8_EXIT_012","Rollout","passed","current","EV429_INVOCATION_REPORT|EV430_TRUST_ROLLOUT_REPORT","","Passed with 2 current evidence records."
"PH8_EXIT_013","Rollout","passed","current","EV417_CHANGE_CONTROL_EVIDENCE|EV429_INVOCATION_REPORT|EV430_TRUST_ROLLOUT_REPORT","","Passed with 3 current evidence records."
"PH8_EXIT_014","Governance","passed","current","EV407_TRANSCRIPT_RUNTIME|EV417_CHANGE_CONTROL_EVIDENCE|EV429_INVOCATION_REPORT","","Passed with 3 current evidence records."
"PH8_EXIT_015","Governance","passed","current","EV418_ASSISTIVE_RAIL|EV424_SAME_SHELL_STAGE|EV427_QUEUE_ASSURANCE_MERGE|EV429_INVOCATION_REPORT|EV430_TRUST_ROLLOUT_REPORT","","Passed with 5 current evidence records."
"PH8_EXIT_016","Governance","passed","current","EV405_RELEASE_CANDIDATE_CONTRACTS|EV417_CHANGE_CONTROL_EVIDENCE","","Passed with 2 current evidence records."
"PH8_EXIT_017","Operations","passed","current","EV405_ROLLBACK_AND_FREEZE|EV417_CHANGE_CONTROL_EVIDENCE|EV431_ROLLBACK_REHEARSAL","","Passed with 3 current evidence records."
"PH8_EXIT_018","Operations","passed","current","EV413_FEEDBACK_CHAIN|EV415_MONITORING_TRUST|EV427_QUEUE_ASSURANCE_MERGE|EV431_TRAINING_RUNBOOK_INCIDENT_PATHS","","Passed with 4 current evidence records."
"PH8_EXIT_019","Governance","passed","current","EV425_MODEL_VENDOR_PROJECTS|EV426_MODEL_AUDIT_SAFETY","","Passed with 2 current evidence records."
"PH8_EXIT_020","Governance","passed","current","EV428_OFFLINE_EVAL_REPORT|EV429_INVOCATION_REPORT|EV430_TRUST_ROLLOUT_REPORT|EV431_REPRODUCIBLE_COMMANDS","","Passed with 4 current evidence records."
