hazard_id,hazard_title,hazard_family,baseline_scope,description,initiating_change_classes,potential_harms,required_controls,required_evidence,primary_workstream_ids,required_independent_signoff,source_refs,notes
HZ_WRONG_PATIENT_BINDING,Wrong-patient binding or correction failure,identity_safety,baseline_required,"Identity binding, secure-link redemption, or correction flow could expose or act on the wrong patient if freezes, evidence, and release ordering fail.",CHG_IDENTITY_BINDING_OR_SESSION; CHG_PARTNER_CONFIGURATION_OR_REDIRECTS,privacy breach; clinical action on wrong patient; wrong-patient reassurance,HazardLog delta packet; Identity repair evidence bundle; DPIA delta packet,SafetyCase delta packet; Session and binding regression suites,WS_CLINICAL_MANUFACTURER; WS_DATA_PROTECTION_PRIVACY; WS_CLINICAL_DEPLOYMENT_USE,ROLE_MANUFACTURER_CSO; ROLE_DPO,"phase-2-the-identity-and-echoes.md#2H. Hardening, safety evidence, and the formal Phase 2 exit gate; phase-9-the-assurance-ledger.md#IdentityRepairEvidenceBundle",Mandatory seed hazard from the prompt.
HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE,Urgent diversion under-triage or over-triage,clinical_decision,baseline_required,"Rule or evidence changes could request urgent diversion too late, too early, or settle it inaccurately across channels.",CHG_SAFETY_RULE_PACK; CHG_TELEPHONY_CAPTURE_OR_CONTINUATION,missed urgent care; unnecessary escalation; stale reassurance,HazardLog delta packet; SafetyDecisionRecord regression; Deployment safety monitoring pack,same_facts_same_safety_outcome regression; urgent diversion decision-versus-settlement proof,WS_CLINICAL_MANUFACTURER; WS_CLINICAL_DEPLOYMENT_USE,ROLE_MANUFACTURER_CSO; ROLE_DEPLOYMENT_CSO,phase-1-the-red-flag-gate.md#Safety engine and red-flag logic; forensic-audit-findings.md#Finding 11 - Urgent diversion required and completed were collapsed,Mandatory seed hazard from the prompt.
HZ_TELEPHONY_EVIDENCE_INADEQUACY,Telephony evidence inadequacy,evidence_readiness,baseline_required,"Recording, transcript, or structured capture failure could leave clinically material phone evidence unresolved while the workflow appears routine.",CHG_TELEPHONY_CAPTURE_OR_CONTINUATION,missed safety signals; wrong route intent; incomplete audit trail,DeploymentSafetyCase annex; Telephony evidence readiness gate; Operational safety monitoring pack,telephony-evidence-readiness gating tests; recording and transcript readiness proof,WS_CLINICAL_MANUFACTURER; WS_CLINICAL_DEPLOYMENT_USE; WS_INTEROPERABILITY_EVIDENCE,ROLE_MANUFACTURER_CSO; ROLE_DEPLOYMENT_CSO,phase-2-the-identity-and-echoes.md#2G. Convergence into one request model and one workflow,Mandatory seed hazard from the prompt.
HZ_DUPLICATE_SUPPRESSION_OR_MERGE,Duplicate suppression or merge hazard,lineage_integrity,baseline_required,Cross-channel duplicate handling or same-request attach could inappropriately merge clinically distinct evidence or hide replay collisions.,CHG_IDENTITY_BINDING_OR_SESSION; CHG_TELEPHONY_CAPTURE_OR_CONTINUATION,lost or misattributed evidence; wrong clinical route; audit ambiguity,HazardLog delta packet; Interop conformance matrix; Policy-watch compatibility review,duplicate-resolution tests; cross-channel candidate competition tests,WS_CLINICAL_MANUFACTURER; WS_INTEROPERABILITY_EVIDENCE,ROLE_MANUFACTURER_CSO,phase-2-the-identity-and-echoes.md#2G. Convergence into one request model and one workflow,Mandatory seed hazard from the prompt.
HZ_STALE_PROJECTION_FALSE_REASSURANCE,Stale projection or false reassurance,continuity_and_truth,baseline_required,"Stale projections, drifted publication tuples, or degraded assurance slices could leave the UI or operations surface calmer than the current truth.",CHG_RUNTIME_TOPOLOGY_OR_DEPENDENCY_ORDER; CHG_PUBLIC_EMBEDDED_SURFACE_OR_ROUTE; CHG_POLICY_OR_STANDARDS_BASELINE_UPDATE,false reassurance; unsafe actionability; delayed mitigation,Release publication parity record; Continuity evidence bundle; Recovery evidence pack,continuity-evidence convergence checks; route-contract parity tests,WS_RELEASE_RUNTIME_PUBLICATION_PARITY; WS_OPERATIONAL_RESILIENCE_RESTORE,ROLE_RELEASE_MANAGER,phase-9-the-assurance-ledger.md#ExperienceContinuityControlEvidence; forensic-audit-findings.md#Finding 102 - Ops continuity evidence was still not a first-class operational slice,Mandatory seed hazard from the prompt.
HZ_FALSE_BOOKING_CONFIRMATION,False booking confirmation,booking_truth,baseline_required,"Local booking, network booking, or practice acknowledgement drift could render a booked reassurance state without authoritative confirmation proof.",CHG_BOOKING_CONFIRMATION_OR_WAITLIST; CHG_HUB_COORDINATION_OR_ACK,false patient reassurance; missed appointment; incorrect closure,Interop conformance matrix; HazardLog delta packet; Release publication parity record,booking confirmation ambiguity regression; practice acknowledgement debt proof,WS_CLINICAL_MANUFACTURER; WS_INTEROPERABILITY_EVIDENCE; WS_RELEASE_RUNTIME_PUBLICATION_PARITY,ROLE_MANUFACTURER_CSO; ROLE_INTEROPERABILITY_LEAD,"forensic-audit-findings.md#Finding 74 - Phase 4 let booking-domain logic write canonical request state directly; forensic-audit-findings.md#Finding 34 - Hub coordination lacked ranked patient choice, authoritative confirmation, and practice-visibility debt",Mandatory seed hazard from the prompt.
HZ_PHARMACY_DISPATCH_OR_OUTCOME_AMBIGUITY,Pharmacy dispatch or outcome ambiguity,external_confirmation,baseline_required,"Dispatch, acceptance, or weakly matched outcome evidence could imply completion or closure without governed proof.",CHG_PHARMACY_DISPATCH_OR_OUTCOME,missed clinical follow-up; false closure; patient safety delay,Interop conformance matrix; HazardLog delta packet; Recovery evidence pack,pharmacy outcome reconciliation tests; proof-versus-transport regression,WS_CLINICAL_MANUFACTURER; WS_INTEROPERABILITY_EVIDENCE,ROLE_MANUFACTURER_CSO; ROLE_INTEROPERABILITY_LEAD,phase-6-the-pharmacy-loop.md; forensic-audit-findings.md#Finding 79 - weak-source matching did not clearly stop at a case-local review state,Mandatory seed hazard from the prompt.
HZ_CROSS_ORG_VISIBILITY_WIDENING,Cross-organisation visibility widening,privacy_and_governance,baseline_required,"Hub, support, governance, or embedded changes could widen data visibility beyond the allowed acting scope or published audience tier.",CHG_PUBLIC_EMBEDDED_SURFACE_OR_ROUTE; CHG_TELEMETRY_OR_DISCLOSURE_SCHEMA; CHG_PARTNER_CONFIGURATION_OR_REDIRECTS,privacy breach; regulatory non-compliance; unsafe support or hub action,DPIA delta packet; Standards and dependency watchlist snapshot; Retention and disclosure review,visibility and masking tests; acting-scope drift freeze proof,WS_DATA_PROTECTION_PRIVACY; WS_RELEASE_RUNTIME_PUBLICATION_PARITY,ROLE_DPO,forensic-audit-findings.md#Finding 47 - Cross-organisation and support visibility boundaries were under-specified; forensic-audit-findings.md#Finding 114 - Tenant and acting context could still drift between governance scope and live cross-organisation work,Mandatory seed hazard from the prompt.
HZ_ASSISTIVE_HALLUCINATION_OR_OVERREACH,"Assistive hallucination, overreach, or silent degradation",assistive_governance,assistive_optional,"Assistive outputs could expand beyond intended use, drift silently, or stay visible after trust, supplier, or policy degradation.",CHG_ASSISTIVE_INTENDED_USE_OR_BOUNDARY; CHG_ASSISTIVE_VISIBLE_WORKFLOW_EFFECT; CHG_ASSISTIVE_VENDOR_MODEL_OR_SUBPROCESSOR; CHG_ASSISTIVE_ROLLOUT_OR_SLICE_EXPOSURE,unsafe clinical suggestion; regulatory breach; false operator confidence,Assistive release candidate and regulatory routing pack; Intended-use baseline; Supplier assurance freshness snapshot,shadow-versus-human comparison suites; freeze disposition and rollback rehearsal,WS_ASSISTIVE_AI_GOVERNANCE; WS_CLINICAL_MANUFACTURER; WS_DATA_PROTECTION_PRIVACY,ROLE_AI_GOVERNANCE_LEAD; ROLE_MANUFACTURER_CSO; ROLE_DPO,"phase-8-the-assistive-layer.md#Working scope; phase-8-the-assistive-layer.md#8H. Release administration, regulatory routing, and rollback readiness",Mandatory seed hazard from the prompt.
HZ_RETENTION_OR_DELETION_OF_REQUIRED_ARTIFACTS,Retention or deletion of still-required artifacts,records_governance,ongoing_bau,"Evidence, recordings, transcripts, deletion certificates, or investigation artifacts could be deleted, archived, or hidden before legal, safety, or assurance obligations are complete.",CHG_RETENTION_POLICY_OR_ARTIFACT_CLASS; CHG_OPERATIONAL_INCIDENT_OR_NEAR_MISS_LEARNING,loss of evidence; inability to investigate; regulatory breach,Retention schedule; Disposition eligibility evidence; Evidence graph completeness review,retention dry-run tests; delete-versus-hold conflict tests,WS_RECORDS_RETENTION_GOVERNANCE; WS_INCIDENT_NEAR_MISS_REPORTABILITY,ROLE_RECORDS_GOVERNANCE_LEAD; ROLE_DPO,phase-9-the-assurance-ledger.md#Overall Phase 9 algorithm; blueprint-init.md#The same summary discipline now extends to records lifecycle and preservation,Mandatory seed hazard from the prompt.
