transitionId,fromStatus,toStatus,predicateId,controllingObject,commandScope,truthPredicate,sourceRef
H311_001,hub_requested,intake_validated,P311_REQUEST_LINEAGE_BOUND,NetworkBookingRequest + LineageCaseLink,hub.request.create,"The booking branch remains the parent lineage owner and the hub branch is admitted as a child, not a replacement.","blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_002,intake_validated,queued,P311_QUEUE_ADMISSION_CLEAR,NetworkCoordinationPolicyEvaluation + HubCoordinationCase.queueEnteredAt,hub.request.create,Queue posture is legal only after lineaged intake validation and policy admission both hold.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_003,queued,claimed,P311_LEASE_CLAIMED,CoordinationOwnership + RequestLifecycleLease + ActingContext,hub.case.claim,Only one live claim may hold the writable fence for the hub case.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_004,queued,escalated_back,P311_QUEUE_RETURN_REQUIRED,HubFallbackRecord(return_to_practice) + HubReturnToPracticeRecord,hub.case.return_to_practice,Return is lawful directly from queue when hub coordination itself is not the safe continuation.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_005,claimed,candidate_searching,P311_SEARCH_STARTED,ActingContext + CoordinationOwnership + NetworkCoordinationPolicyEvaluation,hub.case.refresh_candidates,Search starts only under one current acting scope and fence pair.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_006,claimed,callback_transfer_pending,P311_CALLBACK_REQUIRED_AT_CLAIM,HubFallbackRecord(callback_request) + CallbackExpectationEnvelope,hub.case.return_to_practice,Callback transfer remains open until linkage is durable.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_007,claimed,escalated_back,P311_RETURN_REQUIRED_AT_CLAIM,HubFallbackRecord(return_to_practice),hub.case.return_to_practice,Hub coordination may fail safely before candidate search starts.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_008,candidate_searching,candidates_ready,P311_FRESH_SNAPSHOT_READY,NetworkCandidateSnapshot + CrossSiteDecisionPlan,hub.case.refresh_candidates,The active policy tuple and rank proof still name the same candidates.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_009,candidate_searching,callback_transfer_pending,P311_CALLBACK_REQUIRED_AFTER_SEARCH,HubFallbackRecord(callback_request),hub.case.return_to_practice,"Degraded or no-slot discovery may choose callback, but only through the governed fallback branch.","blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_010,candidate_searching,escalated_back,P311_RETURN_REQUIRED_AFTER_SEARCH,HubFallbackRecord(return_to_practice) + HubReturnToPracticeRecord,hub.case.return_to_practice,"No-slot return is a governed continuation, not an implicit search failure.","blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_011,candidates_ready,coordinator_selecting,P311_COORDINATOR_SELECTING,CrossSiteDecisionPlan + ActingContext,hub.case.refresh_candidates,Selection remains in the case shell and may not infer permission from cached rows or frontend-only state.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_012,candidates_ready,alternatives_offered,P311_ALTERNATIVE_SESSION_CREATED,AlternativeOfferSession + AlternativeOfferOptimisationPlan,hub.case.offer_alternatives,"Patient choice may start only from a governed offer session, not raw top-K rows.","blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_013,candidates_ready,callback_transfer_pending,P311_CALLBACK_PENDING_FROM_READY,HubFallbackRecord(callback_request),hub.case.return_to_practice,Fallback stays explicit and open until linked.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_014,candidates_ready,escalated_back,P311_RETURN_FROM_READY,HubFallbackRecord(return_to_practice),hub.case.return_to_practice,Escalation remains a direct governed branch from candidates-ready.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_015,alternatives_offered,patient_choice_pending,P311_OFFER_DELIVERED,AlternativeOfferSession.patientChoiceState + HubOfferToConfirmationTruthProjection.offerState,hub.case.offer_alternatives,Patient choice opens only after deliverable offer posture exists.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_016,alternatives_offered,coordinator_selecting,P311_DIRECT_SELECTION_RESUMED,HubCoordinationCase.selectedCandidateRef + AlternativeOfferRegenerationSettlement,hub.case.offer_alternatives,Choice packaging may return to coordinator selection without pretending delivery occurred.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_017,alternatives_offered,callback_transfer_pending,P311_CALLBACK_SELECTED_FROM_FALLBACK_CARD,AlternativeOfferFallbackCard + HubFallbackRecord(callback_request),hub.case.offer_alternatives,Callback remains outside ranked slot ordinals and becomes its own branch state.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_018,alternatives_offered,escalated_back,P311_RETURN_AFTER_OFFER_GENERATION,HubFallbackRecord(return_to_practice),hub.case.return_to_practice,"Generated offer provenance may remain visible, but active workflow changes to return.","blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_019,patient_choice_pending,coordinator_selecting,P311_PATIENT_SELECTED_ENTRY,AlternativeOfferEntry + HubOfferToConfirmationTruthProjection,hub.case.offer_alternatives,Choice acceptance must still re-enter coordinator or commit posture under the same current truth tuple.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_020,patient_choice_pending,callback_transfer_pending,P311_PATIENT_REQUESTED_CALLBACK,HubFallbackRecord(callback_request) + CallbackFallbackRecord,hub.case.offer_alternatives,Choice does not silently collapse into callback; the fallback link must still be durable.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_021,patient_choice_pending,escalated_back,P311_CHOICE_WINDOW_EXPIRED_TO_RETURN,AlternativeOfferRegenerationSettlement + HubFallbackRecord(return_to_practice),hub.case.return_to_practice,Expired or drifted offer sets preserve provenance only and cannot stay quietly actionable.,"blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
H311_022,coordinator_selecting,candidate_revalidating,P311_SELECTED_CANDIDATE_PRECHECK,HubCoordinationCase.selectedCandidateRef + ActingContext + policyTupleHash,hub.case.commit_native_booking,"Commit may start only from a persisted selection, never from UI-local highlight state.","blueprint/phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine"
