rowId,artifact,origin278,origin279,origin280,ownerTrack,consistencyStatus,notes
CC_281_001,BookingIntent -> BookingCase lineage,frozen,not_applicable,consumed_only,par_282,consistent,278 freezes the handoff and 281 keeps 282 as the only kernel owner.
CC_281_002,BookingCase status vocabulary,frozen,not_applicable,consumed_by_commit_and_manage,par_282,consistent,No later track may fork workflow state vocabulary.
CC_281_003,SearchPolicy ownership,frozen,consumed_only,consumed_only,par_282,consistent,Search policy remains case-owned even when consumed by snapshot and ranking tracks.
CC_281_004,Capability tuple inventory/binding/resolution/projection split,not_applicable,frozen,consumed_by_search_commit_manage,par_283,consistent,279 split remains authoritative and 281 preserves it.
CC_281_005,Capability tuple drift invalidation,route_and_case_freeze,frozen,frozen_formula_consumers,par_283,consistent,281 propagates 279 tuple drift into 284 to 297 consumers without assigning duplicate owners.
CC_281_006,Slot snapshot and SnapshotSelectable law,not_applicable,tuple_inputs_only,frozen,par_284,consistent,284 owns snapshot production; later tracks consume expiry and provenance state only.
CC_281_007,Offer truthful non-exclusive posture,selection path only,capability input only,frozen,par_285,consistent,285 owns selection and offer wording before reservation truth starts in 286.
CC_281_008,Selected vs held distinction,selection path only,not_applicable,frozen,par_286,consistent,281 keeps hold truth in 286 and blocks 295 from faking it in the browser.
CC_281_009,Commit revalidation and BookingTransaction,generic events only,binding and policy inputs,frozen,par_287,consistent,287 owns commit-path revalidation and transaction state.
CC_281_010,Reservation truth vs confirmation truth vs manage exposure,case-level only,gate-policy inputs,frozen,par_286|par_287|par_288|par_292,consistent_with_split_owners,281 keeps one owner per object and a typed invalidation chain across them.
CC_281_011,Reminder scheduling,generic event only,capability input only,frozen,par_289,consistent,ReminderPlan stays first-class and later than manage command settlement.
CC_281_012,Waitlist and fallback typed seams,frozen_names_only,not_applicable,frozen_but_generic_owner_labels,par_290|par_291,collision_remediated,281 replaces generic owner labels with exact tracks.
CC_281_013,Assisted booking exception ownership,frozen_names_only,not_applicable,typed fallback inputs only,par_291,consistent,Staff-assisted exception queue remains distinct from waitlist runtime.
CC_281_014,Confirmation truth convergence worker,event catalog generic,gate-policy inputs,confirmation truth frozen,par_292,collision_remediated,281 reassigns booking.confirmation.truth.updated to 292.
CC_281_015,Patient workspace route registry and projections,frozen,capability projection input,continuity and manage rules,par_293|par_297|par_300|par_301|par_303,consistent_with_split_owners,281 splits frontend ownership by route family rather than by backend contract pack.
CC_281_016,Route publication and continuity freeze,frozen route registry,publication and trust inputs,RouteWritable formula,par_288|par_293|par_297|par_300|par_301,consistent,281 keeps the same-shell freeze law intact across backend and frontend tracks.
CC_281_017,booking.slots.fetched implementation owner,par_282,not_applicable,snapshot contract,par_284,collision_remediated,Explicit gate override blocks 282 from absorbing snapshot event ownership.
CC_281_018,booking.offers.created implementation owner,par_282,not_applicable,offer contract,par_285,collision_remediated,Explicit gate override assigns offer event ownership to 285.
CC_281_019,booking.reminders.scheduled implementation owner,par_282,not_applicable,reminder contract,par_289,collision_remediated,Reminder scheduling event belongs to 289 only.
CC_281_020,Deferred provider activation scope,live_later boundary only,simulator-backed matrix reality,provider execution deferred,seq_304|seq_305|seq_306,deferred_by_scope,281 keeps live-provider activation and evidence out of the first local wave.
