route_family_id,route_family,gateway_surface_id,primary_gateway_surface_id,ownership_role,audience_surface_ref,audience,shell_type,browser_visible,session_policy_ref,tenant_isolation_mode,downstream_workload_family_refs,trust_zone_boundary_refs,required_context_boundary_refs,explicit_exception_ref,explicit_exception_reason,source_refs
rf_intake_self_service,Intake / self-service form (derived),gws_patient_intake_web,gws_patient_intake_web,primary,surf_patient_intake_web,patient_public,patient,yes,SP_PATIENT_PUBLIC_EPHEMERAL,shared_public_pre_tenant,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/blueprint-init.md#2. Core product surfaces; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY
rf_intake_telephony_capture,Intake / telephony capture (derived),gws_patient_intake_phone,gws_patient_intake_phone,primary,surf_patient_intake_phone,patient_public,patient,no,SP_TELEPHONY_CAPTURE_PROXY,shared_public_pre_tenant,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/blueprint-init.md#2. Core product surfaces; docs/architecture/11_gateway_surface_and_runtime_topology_baseline.md#Gateway Surface Matrix; data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY
rf_patient_secure_link_recovery,Secure-link recovery and claim resume (derived),gws_patient_secure_link_recovery,gws_patient_secure_link_recovery,primary,surf_patient_secure_link_recovery,patient_grant_scoped,patient,yes,SP_GRANT_SCOPED_RECOVERY,tenant_scoped_lineage_grant,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,"patient-account-and-communications-blueprint.md#Patient audience coverage contract; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_GRANT_SCOPED_RECOVERY"
rf_patient_home,Home,gws_patient_home,gws_patient_home,primary,surf_patient_home,patient_authenticated,patient,yes,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,wf_projection_read_models,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS,,,patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-account-and-communications-blueprint.md#Patient home contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE
rf_patient_requests,Requests,gws_patient_requests,gws_patient_requests,primary,surf_patient_requests,patient_authenticated,patient,yes,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,patient-account-and-communications-blueprint.md#Requests browsing contract; patient-account-and-communications-blueprint.md#Request detail contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-account-and-communications-blueprint.md#Request detail contract; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE
rf_patient_appointments,Appointments,gws_patient_appointments,gws_patient_appointments,primary,surf_patient_appointments,patient_authenticated,patient,yes,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,"phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE"
rf_patient_health_record,Health record,gws_patient_health_record,gws_patient_health_record,primary,surf_patient_health_record,patient_authenticated,patient,yes,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,wf_projection_read_models,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS,,,phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-portal-experience-architecture-blueprint.md#Primary navigation model; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE
rf_patient_messages,Messages,gws_patient_messages,gws_patient_messages,primary,surf_patient_messages,patient_authenticated,patient,yes,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; callback-and-clinician-messaging-loop.md; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; blueprint/callback-and-clinician-messaging-loop.md; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE
rf_patient_embedded_channel,Patient embedded channel parity,gws_patient_embedded_shell,gws_patient_embedded_shell,primary,surf_patient_embedded_shell,patient_embedded_authenticated,patient,yes,SP_PATIENT_EMBEDDED_HOST_BOUND,tenant_scoped_subject_embedded,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,"patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-portal-experience-architecture-blueprint.md#Control priorities; blueprint/forensic-audit-findings.md#Finding 90; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_EMBEDDED"
rf_staff_workspace,"/workspace, /workspace/queue/:queueKey, /workspace/task/:taskId",gws_clinician_workspace,gws_clinician_workspace,primary,surf_clinician_workspace,origin_practice_clinical,staff,yes,SP_STAFF_SSO_SINGLE_ORG,tenant_org_partition,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Workspace shell-family ownership is explicit; staff-operations-and-support-blueprint.md#Clinical Workspace specialization; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-workspace-interface-architecture.md#Route family; blueprint/forensic-audit-findings.md#Finding 92; data/analysis/tenant_isolation_matrix.csv#TIM_TENANT_STAFF_SINGLE_ORG
rf_staff_workspace,"/workspace, /workspace/queue/:queueKey, /workspace/task/:taskId",gws_practice_ops_workspace,gws_clinician_workspace,secondary_variant,surf_practice_ops_workspace,origin_practice_operations,staff,yes,SP_STAFF_SSO_SINGLE_ORG,tenant_org_partition,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,EXC_ROUTE_STAFF_WORKSPACE_PRACTICE_OPS_VARIANT,Practice operations reuses the workspace route family but keeps a separate audience and narrower operational mutation scope.,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Workspace shell-family ownership is explicit; staff-operations-and-support-blueprint.md#Staff audience coverage contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-operations-and-support-blueprint.md#Staff audience coverage contract; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_TENANT_STAFF_SINGLE_ORG
rf_staff_workspace_child,"/workspace/task/:taskId/more-info, /workspace/task/:taskId/decision, /workspace/approvals, /workspace/escalations, /workspace/changed, /workspace/search",gws_assistive_sidecar,gws_clinician_workspace_child,bounded_secondary,surf_assistive_sidecar,assistive_adjunct,staff,yes,SP_ASSISTIVE_ADJUNCT_INHERITED,inherited_scope_no_standalone_tenant_widening,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,EXC_ROUTE_STAFF_CHILD_ASSISTIVE_SIDE_CAR,Assistive remains a bounded sidecar inheriting the owning workspace route family without becoming the primary browser compute owner.,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Additional route rules; phase-8-the-assistive-layer.md#Control priorities; staff-workspace-interface-architecture.md#Assistive companion presentation profile; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-8-the-assistive-layer.md#Control priorities; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_ASSISTIVE_ADJUNCT
rf_staff_workspace_child,"/workspace/task/:taskId/more-info, /workspace/task/:taskId/decision, /workspace/approvals, /workspace/escalations, /workspace/changed, /workspace/search",gws_clinician_workspace_child,gws_clinician_workspace_child,primary,surf_clinician_workspace_child,origin_practice_clinical,staff,yes,SP_STAFF_SSO_SINGLE_ORG_CHILD,tenant_org_partition,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Additional route rules; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-workspace-interface-architecture.md#Additional route rules; blueprint/forensic-audit-findings.md#Finding 92; data/analysis/tenant_isolation_matrix.csv#TIM_TENANT_STAFF_SINGLE_ORG
rf_hub_queue,/hub/queue,gws_hub_queue,gws_hub_queue,primary,surf_hub_queue,hub_desk,hub,yes,SP_STAFF_CROSS_ORG_HUB,explicit_cross_org_subject_scope,wf_projection_read_models,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,"phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Frontend work; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG"
rf_hub_case_management,"/hub/case/:hubCoordinationCaseId, /hub/alternatives/:offerSessionId, /hub/exceptions, /hub/audit/:hubCoordinationCaseId",gws_hub_case_management,gws_hub_case_management,primary,surf_hub_case_management,hub_desk,hub,yes,SP_STAFF_CROSS_ORG_HUB,explicit_cross_org_subject_scope,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG
rf_pharmacy_console,"/workspace/pharmacy, /workspace/pharmacy/:pharmacyCaseId, /validate, /inventory, /resolve, /handoff, /assurance",gws_pharmacy_console,gws_pharmacy_console,primary,surf_pharmacy_console,servicing_site,pharmacy,yes,SP_PHARMACY_SERVICING_SCOPE,servicing_site_partition,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,,,pharmacy-console-frontend-architecture.md#Mission frame; pharmacy-console-frontend-architecture.md#The recommended route family is; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/pharmacy-console-frontend-architecture.md#Mission frame; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_PHARMACY_SERVICING
