requirement_id,requirement_title,requirement_type,canonicality,source_file,source_heading_or_logical_block,direct_quote_or_precise_paraphrase,rationale,affected_phases,affected_domains,actors_personas,audience_tiers,channels,primary_objects,preconditions,trigger,expected_behavior,failure_or_degraded_behavior,closure_blockers_or_guards,external_dependencies,FHIR_or_representation_implications,security_privacy_implications,observability_implications,acceptance_test_hint,related_requirement_ids,status,notes
REQ-SRC-phase-0-the-foundation-protocol-md,Phase 0 - The Foundation Protocol must govern downstream implementation decisions,functional,canonical,phase-0-the-foundation-protocol.md,0. Purpose,This segment defines the mandatory platform-wide algorithm for:,Each source contributes at least one directly traceable requirement so later tasks can locate the owning document without rereading the full corpus.,phase_0|cross_phase,identity,cross_programme,cross_audience,cross_channel,,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,This segment defines the mandatory platform-wide algorithm for:,"Fail closed to review, blocker, or governed recovery rather than inventing local state or silently dropping continuity.",,,Map or validate this requirement through the governed FHIR representation set rather than treating a FHIR resource as the hidden write model.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Trace one end-to-end example through command, projection, and recovery paths without bypassing the stated guardrails.",,normalized,source_role=canonical_foundation; authority_label=canonical_phase0_foundation
REQ-OBJ-ambientstateribbon,AmbientStateRibbon is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,AmbientStateRibbon is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,AmbientStateRibbon,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume AmbientStateRibbon through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7210
REQ-OBJ-artifactsurfaceframe,ArtifactSurfaceFrame is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,ArtifactSurfaceFrame is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,ArtifactSurfaceFrame,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume ArtifactSurfaceFrame through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7799
REQ-OBJ-attentionbudget,AttentionBudget is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,AttentionBudget is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,AttentionBudget,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume AttentionBudget through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7041
REQ-OBJ-casepulse,CasePulse is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,CasePulse is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,CasePulse,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume CasePulse through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7077
REQ-OBJ-communicationenvelope,CommunicationEnvelope is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,CommunicationEnvelope is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,CommunicationEnvelope,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume CommunicationEnvelope through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Map or validate this requirement through the governed FHIR representation set rather than treating a FHIR resource as the hidden write model.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7571
REQ-OBJ-consequencepreview,ConsequencePreview is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,ConsequencePreview is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,triage|runtime|frontend,cross_programme,cross_audience,cross_channel,ConsequencePreview,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume ConsequencePreview through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7688
REQ-OBJ-conversationsubthreadprojection,ConversationSubthreadProjection is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,ConversationSubthreadProjection is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,ConversationSubthreadProjection,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume ConversationSubthreadProjection through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Emit explicit events, projection freshness, parity, or continuity proof so operators can observe the requirement rather than infer it from UI calmness.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7605
REQ-OBJ-conversationthreadprojection,ConversationThreadProjection is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,ConversationThreadProjection is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,ConversationThreadProjection,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume ConversationThreadProjection through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Emit explicit events, projection freshness, parity, or continuity proof so operators can observe the requirement rather than infer it from UI calmness.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7641
REQ-OBJ-decisiondock,DecisionDock is a required canonical contract,frontend,canonical,phase-0-the-foundation-protocol.md,1. Required experience topology and primitives,DecisionDock is explicitly named as a required contract in the canonical phase-0 algorithm.,Every named Phase 0 contract must have at least one deterministic registry row so later docs cannot reference it without traceable ownership.,phase_0|cross_phase,runtime|frontend,cross_programme,cross_audience,cross_channel,DecisionDock,"The governed intake, request, or audience surface context referenced by the source exists.",Consume or implement the referenced source contract in downstream delivery work.,Persist and consume DecisionDock through the canonical control plane instead of inventing a route-local or phase-local substitute.,"Degrade the surface to bounded recovery, explicit placeholder, or read-only posture instead of inventing local truth.",,,Use the Vecells-first internal model and expose FHIR representations only through governed mapping contracts when this requirement crosses a clinical boundary.,No extra security or privacy implication was stated beyond the default requirement to preserve auditability and minimum-necessary access.,"Record enough audit and projection evidence to prove the requirement remains true after replay, recovery, and release drift.","Verify the route or shell behavior in browser automation with stable landmarks, calm fallback, and selected-anchor continuity.",,normalized,phase0_contract_section=1. Required experience topology and primitives; line=7182
