capability_id,scope_category,capability_name,classification,baseline_required,phase_ids,phase_titles,visibility,why_it_exists,scope_statement,acceptance_implication,dependency_summary,dependencies_json,source_refs,related_decision_ids,notes
cap_unified_intake_and_safety_pipeline,intake and safety,Unified intake convergence and safety-gated request promotion,core_now,yes,phase_0; phase_1; phase_2; phase_3,The Foundation Protocol; The Red Flag Gate; Identity and Echoes; The Human Checkpoint,patient; staff,The product mission depends on one governed intake lineage rather than channel-specific request creation.,"Web, NHS App jump-off, phone, secure-link continuation, and support-assisted capture must converge into one SubmissionEnvelope and request-promotion boundary before routine workflow continues.","Reject any design that creates a second request pipeline, a phone-only request store, or a channel-specific safety model.",NHS login rail (required_baseline); Telephony capture and IVR adapter (required_baseline); SMS continuation links (feature_flagged),"[{""name"": ""NHS login rail"", ""reason"": ""Patient-authenticated entry depends on the shared NHS login rail."", ""status"": ""required_baseline""}, {""name"": ""Telephony capture and IVR adapter"", ""reason"": ""Phone-origin demand must join the same intake lineage."", ""status"": ""required_baseline""}, {""name"": ""SMS continuation links"", ""reason"": ""Continuation improves recovery and parity but can be cohort-gated."", ""status"": ""feature_flagged""}]",blueprint-init.md#1. Product definition; blueprint-init.md#2. Core product surfaces; blueprint-init.md#3. The canonical request model; phase-0-the-foundation-protocol.md#4. Canonical ingest and request promotion,DECISION_SCOPE_002; DECISION_SCOPE_003,
cap_fallback_review_and_artifact_quarantine,intake and safety,"Fallback review, degraded receipt, and artifact quarantine",core_now,yes,phase_0; phase_1; phase_9,The Foundation Protocol; The Red Flag Gate; The Assurance Ledger,patient; staff; ops,"Accepted progress must never disappear when ingest, safety, or evidence processing degrades.","Unsafe, unreadable, malicious, or unsupported evidence must remain quarantined and route through FallbackReviewCase with same-lineage degraded recovery.","Reject any implementation that auto-discards bad evidence, drops accepted submissions silently, or swaps same-shell recovery for a generic error page.",Binary artifact store (required_baseline); Manual review queue (required_baseline),"[{""name"": ""Binary artifact store"", ""reason"": ""Quarantined artifacts and replay-safe evidence need object storage."", ""status"": ""required_baseline""}, {""name"": ""Manual review queue"", ""reason"": ""Fallback work must land in a governed human queue."", ""status"": ""required_baseline""}]",phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review; vecells-complete-end-to-end-flow.md#Baseline invariants; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed,DECISION_SCOPE_011,
cap_identity_binding_and_session_authority,identity and access,"Identity binding, patient claim, and session authority",core_now,yes,phase_0; phase_2,The Foundation Protocol; Identity and Echoes,patient; staff; governance,"The canonical request model allows anonymous, partial, and matched-but-unclaimed states, so identity cannot be simplified away.","Patient binding, claim, and writable resume must derive from governed IdentityBinding plus session-establishment decisions instead of ambient login success.","Reject any proposal that overwrites patientRef directly, reuses a stale session for claim, or treats authenticated context as proof of writable ownership.",NHS login rail (required_baseline); Secure-link continuation flow (required_baseline); Telephony identity capture (required_baseline),"[{""name"": ""NHS login rail"", ""reason"": ""Authenticated patient entry uses NHS login."", ""status"": ""required_baseline""}, {""name"": ""Secure-link continuation flow"", ""reason"": ""Grant-scoped recovery and resume are baseline patient actions."", ""status"": ""required_baseline""}, {""name"": ""Telephony identity capture"", ""reason"": ""Phone-origin demand must support governed identity evidence."", ""status"": ""required_baseline""}]","blueprint-init.md#10. Identity, consent, security, and policy; phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; patient-account-and-communications-blueprint.md#Patient audience coverage contract; forensic-audit-findings.md#Finding 50 - The concrete Request schema dropped identity-binding references and treated patientRef as unconditional",DECISION_SCOPE_007; DECISION_SCOPE_013,
cap_authorization_consent_and_break_glass_governance,identity and access,"Authorization, consent, purpose-of-use, and break-glass governance",core_enabling_control_plane,yes,phase_0; phase_2; phase_9,The Foundation Protocol; Identity and Echoes; The Assurance Ledger,staff; governance,"Vecells must separate identity proof, clinical authorization, consent scope, and exceptional access to keep cross-organisation work lawful and replayable.","RBAC, ABAC, consent scope grants, purpose-of-use tokens, and break-glass review remain baseline control-plane scope for patient, staff, support, hub, and governance surfaces.","Reject any architecture that hides authorization in session state, infers consent from prior contact, or omits reason-coded break-glass review from live operations.",Organisation-controlled SSO (required_baseline); Compiled policy bundles (required_baseline); Immutable audit ledger (required_baseline),"[{""name"": ""Organisation-controlled SSO"", ""reason"": ""Staff authentication is a baseline governance dependency."", ""status"": ""required_baseline""}, {""name"": ""Compiled policy bundles"", ""reason"": ""Scope, visibility, and exceptional access are policy-driven."", ""status"": ""required_baseline""}, {""name"": ""Immutable audit ledger"", ""reason"": ""Break-glass and consent decisions must be queryable and reviewable."", ""status"": ""required_baseline""}]","blueprint-init.md#10. Identity, consent, security, and policy; phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; governance-admin-console-frontend-blueprint.md#Governance operating law",DECISION_SCOPE_006; DECISION_SCOPE_007,
cap_patient_portal_account_and_communications_shell,patient portal/account/communications,"Signed-in patient shell for status, communications, and managed actions",core_now,yes,phase_0; phase_1; phase_2; phase_4,The Foundation Protocol; The Red Flag Gate; Identity and Echoes; The Booking Engine,patient,The patient surface is one continuing access experience rather than a set of detached flows.,"Patient portal, request detail, communications, and managed actions must stay inside one governed patient shell with route intent, settlement, visibility, and continuity controls.","Reject designs that split status, messaging, booking manage, or records into detached mini-products with separate truth semantics or shell continuity.",Messaging adapters (required_baseline); Secure-link continuation (required_baseline); Release and runtime publication tuple (required_baseline),"[{""name"": ""Messaging adapters"", ""reason"": ""Patient communications are baseline rather than adjunct."", ""status"": ""required_baseline""}, {""name"": ""Secure-link continuation"", ""reason"": ""Recovery and grant-scoped actions are part of the same shell model."", ""status"": ""required_baseline""}, {""name"": ""Release and runtime publication tuple"", ""reason"": ""Writable patient posture depends on published route contracts."", ""status"": ""required_baseline""}]",blueprint-init.md#2. Core product surfaces; patient-portal-experience-architecture-blueprint.md#Purpose; patient-account-and-communications-blueprint.md#Purpose; phase-0-the-foundation-protocol.md#6.6 Scoped mutation gate,DECISION_SCOPE_003; DECISION_SCOPE_006,
cap_patient_records_manage_and_same_shell_continuity,patient portal/account/communications,"Patient records, booking manage, and continuity-bound recovery",core_now,yes,phase_0; phase_4; phase_9,The Foundation Protocol; The Booking Engine; The Assurance Ledger,patient,"Record follow-up, more-info reply, thread settlement, and booking manage remain part of the same patient lineage promise.","Patient records, appointment manage, record-origin follow-up, and recovery flows must stay same-shell, parity-honest, and evidence-backed before richer actions or bytes appear.","Reject any feature that makes booking manage or record follow-up appear calmer than the current continuity evidence, artifact parity, or release posture allows.",Artifact presentation and handoff controls (required_baseline); Continuity evidence producers (required_baseline),"[{""name"": ""Artifact presentation and handoff controls"", ""reason"": ""Patient-visible documents and artifacts are summary-first and return-safe."", ""status"": ""required_baseline""}, {""name"": ""Continuity evidence producers"", ""reason"": ""Writable or calm posture depends on continuity proof."", ""status"": ""required_baseline""}]",patient-account-and-communications-blueprint.md#PatientExperienceContinuityEvidenceProjection; patient-account-and-communications-blueprint.md#PatientDegradedModeProjection; phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; phase-cards.md#Summary-layer corrections required to keep the programme cards aligned with the continuity-evidence control loop,DECISION_SCOPE_006; DECISION_SCOPE_010,
cap_nhs_app_embedded_channel,patient portal/account/communications,Trusted NHS App embedded web channel,deferred_channel_expansion,no,phase_7,Inside the NHS App,patient,"The embedded channel is inventoried and designed, but it is not part of the current completion line.","The NHS App embedded experience remains a deferred channel expansion that reuses the web product under manifest-pinned, bridge-negotiated, channel-freeze-aware controls.","Baseline completion does not require embedded NHS App rollout, but any future embedded launch must adopt the phase-7 control plane instead of inventing a parallel patient product.",NHS App route manifest (deferred); Trusted bridge capability negotiation (deferred); Environment-specific release guardrails (deferred),"[{""name"": ""NHS App route manifest"", ""reason"": ""Embedded entry must pin approved manifest routes."", ""status"": ""deferred""}, {""name"": ""Trusted bridge capability negotiation"", ""reason"": ""Embedded navigation and document behavior require bridge floors."", ""status"": ""deferred""}, {""name"": ""Environment-specific release guardrails"", ""reason"": ""Embedded cohorts need their own freeze and downgrade posture."", ""status"": ""deferred""}]",blueprint-init.md#14. Programme Baseline With NHS App Deferred; phase-cards.md#Programme Baseline Update (NHS App Deferred); phase-cards.md#Card 8: Phase 7 - Inside the NHS App (Deferred channel expansion); forensic-audit-findings.md#Finding 90 - The audit still omitted the hardened NHS App embedded-channel control plane,DECISION_SCOPE_001,"Deferred baseline scope. Inventory now, deliver later."
cap_clinical_workspace_review_and_endpoint_selection,clinical workspace,"Clinical Workspace review, safety preemption, and endpoint selection",core_now,yes,phase_0; phase_3,The Foundation Protocol; The Human Checkpoint,staff,"The human checkpoint is a core operating model, not an optional review screen.","Clinicians and designated reviewers must work inside one lease-fenced workspace that preserves review context, supports bounded assistive sidecars, and routes endpoint decisions through governed human approval.","Reject any flow that skips the human checkpoint for irreversible actions, loses review context on reopen, or treats downstream seeds as direct request closure.",Organisation SSO (required_baseline); Workspace lease and settlement contracts (required_baseline),"[{""name"": ""Organisation SSO"", ""reason"": ""Staff access is baseline."", ""status"": ""required_baseline""}, {""name"": ""Workspace lease and settlement contracts"", ""reason"": ""Calm completion depends on fenced ownership and authoritative settlement."", ""status"": ""required_baseline""}]",blueprint-init.md#5. Clinical workspace and operational workflow; phase-cards.md#Card 4: Phase 3 - The Human Checkpoint; staff-operations-and-support-blueprint.md#Clinical Workspace specialization; platform-frontend-blueprint.md#Clinical Workspace specialization,DECISION_SCOPE_008; DECISION_SCOPE_009,
cap_support_workspace_replay_and_repair,support workspace,"Ticket-centric support replay, resend, repair, and bounded mutation",core_now,yes,phase_0; phase_3; phase_9,The Foundation Protocol; The Human Checkpoint; The Assurance Ledger,staff; ops,"Support is a first-class operational surface, not a hidden back-office fallback.","Support must operate through a ticket-centric workspace with bounded replay, restore settlement, reason-coded repair, and minimum-necessary visibility instead of direct unrestricted production access.","Reject any support design that bypasses acting-context fences, reopens live mutation after replay without restore settlement, or treats support as a detached CRM portal.",Messaging adapters (required_baseline); Telephony adapters (required_baseline); Support continuity evidence (required_baseline),"[{""name"": ""Messaging adapters"", ""reason"": ""Support repair and resend depend on governed comms rails."", ""status"": ""required_baseline""}, {""name"": ""Telephony adapters"", ""reason"": ""Support continuity and callback recovery depend on telephony evidence."", ""status"": ""required_baseline""}, {""name"": ""Support continuity evidence"", ""reason"": ""Replay restore must be provable before actions re-arm."", ""status"": ""required_baseline""}]","staff-operations-and-support-blueprint.md#Purpose; staff-operations-and-support-blueprint.md#Support shell anatomy, layout, and signal contract; staff-operations-and-support-blueprint.md#Support route contract; forensic-audit-findings.md#Finding 26 - Support actions were not bounded by acting context",DECISION_SCOPE_006; DECISION_SCOPE_011,
cap_operations_console_control_room,operations console,"Operations control-room boards, drill-down, and intervention posture",core_enabling_control_plane,yes,phase_0; phase_9,The Foundation Protocol; The Assurance Ledger,ops,"Macro service health, guardrails, and recovery posture are part of the product operating surface.","Operations Console must remain a live control-room shell for queue health, dependency posture, continuity diagnosis, resilience readiness, and bounded interventions rather than a passive BI dashboard.","Reject any implementation that pushes live operations diagnosis out of scope, flattens trust and recovery posture into green dashboards, or breaks same-shell drill-down continuity.",Operational analytics projections (required_baseline); Assurance slice trust evaluations (required_baseline); Recovery evidence packs (required_baseline),"[{""name"": ""Operational analytics projections"", ""reason"": ""Boards depend on event-driven read models."", ""status"": ""required_baseline""}, {""name"": ""Assurance slice trust evaluations"", ""reason"": ""Operational cells cannot overstate degraded or quarantined truth."", ""status"": ""required_baseline""}, {""name"": ""Recovery evidence packs"", ""reason"": ""Resilience readiness is baseline control-plane scope."", ""status"": ""required_baseline""}]",blueprint-init.md#5. Clinical workspace and operational workflow; staff-operations-and-support-blueprint.md#Operations console model; operations-console-frontend-blueprint.md#Purpose; forensic-audit-findings.md#Finding 96 - The audit still under-specified operations-console trust and guardrail posture,DECISION_SCOPE_006; DECISION_SCOPE_011,
