rule_id,rule_scope,from_selector,to_selector,verdict,allowed_access,description,enforcement_layers,source_refs
RULE_041_ONE_OWNER_PER_PATH,ownership,*,artifact.repo_path,required,Every repo path must resolve to exactly one owner context or one shared-kernel class.,Closes the starter-shape ambiguity by making path ownership machine-checkable before scaffold work begins.,manifest; validator; CODEOWNERS,blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; data/analysis/import_boundary_rules.json#RULE_ONE_OWNER_DOMAIN
RULE_041_ONE_OWNER_PER_ROUTE_FAMILY,shell_ownership,route_family_id,artifact.repo_path,required,"Every route family must resolve to one topology owner, even when the route label is still derived.",Closes route-family ownership drift before apps are scaffolded.,manifest; validator,blueprint/platform-frontend-blueprint.md#Shell and route-family ownership rules; data/analysis/shell_ownership_map.json
RULE_041_ONE_OWNER_PER_SHELL_FAMILY,shell_ownership,shell_type,artifact.repo_path,required,Every shell family must resolve to exactly one baseline app or one explicitly conditional reserved workspace.,"Closes the omission of support, pharmacy, governance, and assistive shell representation in the starter shape.",manifest; validator,docs/architecture/04_surface_conflict_and_gap_report.md; prompt/041.md
RULE_041_APPS_CONSUME_PUBLISHED_PACKAGES_ONLY,imports,apps/*,packages/api-contracts|packages/design-system|packages/observability|packages/release-controls,allow,Shell apps may only import published shared packages and contract bundles.,"No app may import domain package internals, private services, or raw representation mappers.",Nx tags; ESLint boundary rules; validator,data/analysis/import_boundary_rules.json#RULE_APP_SHELL_CONSUMES_PUBLISHED_CONTRACTS_ONLY; prompt/041.md
RULE_041_NO_APP_OWNS_TRUTH,ownership,apps/*,packages/domains/*,deny,"Shell code may render projections, issue commands through contracts, and preserve continuity only.",Closes the app-owns-truth gap by explicitly reserving write-model ownership to packages and services.,README metadata; validator; CI policy,blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; prompt/041.md
RULE_041_SHARED_CODE_LIVES_ONLY_IN_EXPLICIT_SHARED_PACKAGES,imports,*,packages/domain-kernel|packages/event-contracts|packages/api-contracts|packages/design-system|packages/authz-policy|packages/test-fixtures|packages/observability|packages/release-controls|packages/fhir-mapping,required,"Shared code is legal only in explicit versioned packages, never in a generic utils folder.",Closes the shared-util loophole by freezing the only legal shared namespaces.,Nx tags; export maps; validator,prompt/041.md; data/analysis/import_boundary_rules.json#RULE_GENERATED_ARTIFACTS_TRACE_TO_SOURCE_CONTRACTS
RULE_041_GATEWAY_CONSUMES_API_AND_POLICY_CONTRACTS_ONLY,imports,services/api-gateway,packages/api-contracts|packages/authz-policy|packages/observability|packages/release-controls,allow,Gateway code may publish route-scoped compute boundaries only from contracts and policy packages.,Prevents the gateway from reaching into domain internals or becoming a hidden truth owner.,Nx tags; ESLint boundary rules; validator,data/analysis/import_boundary_rules.json#RULE_GATEWAY_USES_CONTRACTS_NOT_DOMAIN_INTERNALS; prompt/043.md
RULE_041_COMMAND_API_WRITES_VIA_PUBLISHED_DOMAIN_ENTRYPOINTS,imports,services/command-api,packages/domains/*|packages/domain-kernel|packages/event-contracts|packages/api-contracts|packages/authz-policy|packages/observability|packages/release-controls,allow,"Command API is the only runtime service that may compose multiple domain packages, and only through public entrypoints.",Freezes the authoritative mutation seam before feature logic lands.,Nx tags; validator,data/analysis/import_boundary_rules.json#RULE_RUNTIME_SERVICES_COMPOSE_PUBLISHED_DOMAINS_ONLY; prompt/043.md
RULE_041_PROJECTION_WORKER_IS_DERIVED_ONLY,imports,services/projection-worker,packages/domains/*|packages/domain-kernel|packages/event-contracts|packages/api-contracts|packages/fhir-mapping|packages/observability|packages/release-controls,allow,Projection worker may rebuild derived reads and representations only.,"Prevents projection freshness, FHIR mapping, or stale-read posture from becoming hidden write authority.",Nx tags; validator,blueprint/platform-runtime-and-release-blueprint.md#ProjectionContractVersionSet; prompt/043.md
RULE_041_NOTIFICATION_WORKER_SETTLES_EFFECTS_NOT_DOMAIN_TRUTH,imports,services/notification-worker,packages/domains/communications|packages/domains/identity_access|packages/domains/support|packages/event-contracts|packages/api-contracts|packages/authz-policy|packages/observability|packages/release-controls,allow,"Notification worker may orchestrate effects, receipts, and resend seams only.",Prevents the worker from becoming a convenience vendor wrapper that silently settles business truth.,Nx tags; validator,prompt/043.md; docs/external/39_manual_approval_checkpoint_register.md
