secret_class_ref,display_name,environment_scope,owning_service,purpose,rotation_window_days,maximum_ttl_days,reload_mode,stale_action,revoked_action,supersession_mode,access_state,break_glass_required
AUTH_EDGE_SESSION_SECRET_REF,Auth edge session seal,local|ci-preview|integration|preprod|production,api-gateway,session_seal,30,60,sighup,fail_closed,block_startup,reissue_and_rotate_session,verified,no
AUTH_EDGE_SIGNING_KEY_REF,Auth edge signing key,local|ci-preview|integration|preprod|production,api-gateway,runtime_signing,45,90,sighup,fail_closed,block_startup,key_version_supersession,verified,no
COMMAND_IDEMPOTENCY_STORE_REF,Command idempotency store credential,local|ci-preview|integration|preprod|production,command-api,command_store_access,30,60,restart,fail_closed,block_startup,credential_supersession,verified,no
COMMAND_MUTATION_GATE_SECRET_REF,Command mutation gate secret,local|ci-preview|integration|preprod|production,command-api,mutation_gate_guard,45,90,restart,fail_closed,block_startup,key_version_supersession,verified,no
PROJECTION_CURSOR_STORE_REF,Projection cursor store credential,local|ci-preview|integration|preprod|production,projection-worker,projection_cursor_access,30,60,restart,fail_closed,block_startup,credential_supersession,verified,no
PROJECTION_DEAD_LETTER_STORE_REF,Projection dead-letter store credential,local|ci-preview|integration|preprod|production,projection-worker,projection_dlq_access,30,60,restart,fail_closed,block_startup,credential_supersession,verified,no
NOTIFICATION_PROVIDER_SECRET_REF,Notification provider credential,local|ci-preview|integration|preprod|production,notification-worker,provider_dispatch,30,60,sighup,fail_closed,block_dispatch,credential_supersession,verified,no
NOTIFICATION_WEBHOOK_SECRET_REF,Notification callback secret,local|ci-preview|integration|preprod|production,notification-worker,callback_authenticity,14,30,sighup,fail_closed,block_callbacks,dual_version_callback_drain,overdue_rotation,no
NOTIFICATION_SIGNING_KEY_REF,Notification signing key,local|ci-preview|integration|preprod|production,notification-worker,dispatch_signing,45,90,sighup,fail_closed,block_dispatch,key_version_supersession,verified,no
SIMULATOR_NHS_LOGIN_CLIENT_SECRET_REF,Simulator NHS login placeholder secret,local|ci-preview|integration,adapter-simulators,simulator_identity_provider,14,30,restart,fail_closed,block_simulation,placeholder_swap_only,verified,yes
SIMULATOR_IM1_PAIRING_SECRET_REF,Simulator IM1 pairing placeholder secret,local|ci-preview|integration,adapter-simulators,simulator_booking_provider,14,30,restart,fail_closed,block_simulation,placeholder_swap_only,verified,yes
SIMULATOR_MESH_MAILBOX_SECRET_REF,Simulator MESH mailbox credential,local|ci-preview|integration,adapter-simulators,simulator_mailbox_transport,14,30,restart,fail_closed,block_simulation,mailbox_credential_supersession,revoked_ready,yes
SIMULATOR_TELEPHONY_WEBHOOK_SECRET_REF,Simulator telephony webhook secret,local|ci-preview|integration,adapter-simulators,simulator_telephony_callback,14,30,restart,fail_closed,block_simulation,placeholder_swap_only,verified,yes
SIMULATOR_NOTIFICATION_WEBHOOK_SECRET_REF,Simulator notification webhook secret,local|ci-preview|integration,adapter-simulators,simulator_notification_callback,14,30,restart,fail_closed,block_simulation,placeholder_swap_only,verified,yes
DOMAIN_STORE_WRITER_DSN_REF,Domain store writer credential,local|ci-preview|integration|preprod|production,data-plane,domain_store_access,30,60,restart,fail_closed,block_runtime,credential_supersession,verified,yes
FHIR_STORE_WRITER_DSN_REF,FHIR store writer credential,local|ci-preview|integration|preprod|production,data-plane,fhir_store_access,30,60,restart,fail_closed,block_runtime,credential_supersession,verified,yes
EVENT_SPINE_CLIENT_SECRET_REF,Event spine client credential,local|ci-preview|integration|preprod|production,data-plane,event_broker_access,30,60,restart,fail_closed,block_runtime,credential_supersession,verified,no
OBJECT_STORAGE_ACCESS_KEY_REF,Object storage service credential,local|ci-preview|integration|preprod|production,data-plane,object_storage_access,30,60,restart,fail_closed,block_runtime,credential_supersession,verified,yes
CACHE_TRANSPORT_AUTH_TOKEN_REF,Cache and live-transport auth token,local|ci-preview|integration|preprod|production,api-gateway,cache_transport_substrate,14,30,sighup,fail_closed,block_transport,token_epoch_supersession,overdue_rotation,no
RELEASE_PROVENANCE_SIGNING_KEY_REF,Release provenance signing key ref,ci-preview|integration|preprod|production,ci_release_attestation,ci_attestation_signing,45,90,restart,fail_closed,block_pipeline,attestation_key_supersession,verified,no
PREVIEW_RESET_TOKEN_REF,Preview reset token,ci-preview|integration|preprod,ci_preview_environment_reset,preview_reset_control,7,14,restart,fail_closed,block_reset,reset_token_supersession,verified,no
BREAK_GLASS_AUDIT_HMAC_REF,Break-glass audit HMAC,local|ci-preview|integration|preprod|production,assurance-control,break_glass_audit,7,14,restart,fail_closed,block_break_glass,incident_reissue_only,break_glass_only,yes
