merge_gate_id,gate_title,gate_type,baseline_scope,incoming_milestone_refs,required_artifact_refs,required_dependency_refs,required_risk_posture_refs,required_conformance_refs,blocking_rule_refs,gate_owner_role,failure_mode_if_skipped,notes,incoming_task_refs,required_completed_task_refs,gate_status,incoming_task_span
GATE_PLAN_EXTERNAL_ENTRY,Planning and gate-foundation entry into external readiness,phase_entry,current,"['MS_PLAN_DISCOVERY_BASELINE', 'MS_PLAN_EXECUTION_GRAPH', 'MS_PLAN_RISK_AND_TRACEABILITY_FOUNDATION']","['programme_milestones.json', 'master_risk_register.json', 'requirement_task_traceability.csv', 'phase0_gate_verdict.json']",[],"['RISK_MUTATION_001', 'RISK_MUTATION_002', 'RISK_MUTATION_003', 'RISK_OWNERSHIP_001', 'RISK_ASSURANCE_001']","['CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE', 'PHASE_CONFORMANCE_ROW_PHASE_0']","['RULE_SEQ_SCOPE_AWARE_ORDER', 'RULE_LONG_LEAD_VISIBLE']",ROLE_PROGRAMME_DIRECTOR,"External onboarding starts without an execution graph, risk posture, or traceability foundation and later gates become title-driven instead of evidence-driven.","Planning only completes when programme graph, risk/watch posture, traceability, and Phase 0 gate foundation are published.","['seq_001', 'seq_002', 'seq_003', 'seq_004', 'seq_005', 'seq_006', 'seq_007', 'seq_008', 'seq_009', 'seq_010', 'seq_011', 'seq_012', 'seq_013', 'seq_014', 'seq_015', 'seq_016', 'seq_017', 'seq_018', 'seq_019', 'seq_020']","['seq_001', 'seq_002', 'seq_003', 'seq_004', 'seq_005', 'seq_006', 'seq_007', 'seq_008', 'seq_009', 'seq_010', 'seq_011', 'seq_012', 'seq_013', 'seq_014', 'seq_015', 'seq_016', 'seq_017', 'seq_018', 'seq_019', 'seq_020']",in_progress,seq_001 -> seq_020
GATE_EXTERNAL_TO_FOUNDATION,External readiness entry into Phase 0 foundation work,external_readiness,current,"['MS_EXT_STRATEGY_AND_ACCOUNT_PLAN', 'MS_EXT_NHS_LOGIN_ONBOARDING', 'MS_EXT_IM1_SCAL_READINESS', 'MS_EXT_MESH_ACCESS', 'MS_EXT_COMMS_AND_SCAN_VENDORS', 'MS_EXT_PROVIDER_PATHS_AND_EVIDENCE', 'MS_EXT_SIMULATOR_AND_MANUAL_GATE_FREEZE']","['external_dependencies.json', 'external_assurance_obligations.csv', 'dependency_simulator_strategy.json', 'integration_assumption_freeze']","['dep_nhs_login_rail', 'dep_im1_pairing_programme', 'dep_cross_org_secure_messaging_mesh']","['HZ_WRONG_PATIENT_BINDING', 'HZ_TELEPHONY_EVIDENCE_INADEQUACY']",['PHASE_CONFORMANCE_ROW_PHASE_0'],"['RULE_LONG_LEAD_VISIBLE', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_DEPENDENCY_LEAD,"Phase 0 begins without partner-path visibility, simulator posture, or manual checkpoint truth and later merge gates discover hidden approvals too late.",Optional PDS and deferred NHS App onboarding stay inventoried but are not required for current-baseline Phase 0 entry.,"['seq_021', 'seq_022', 'seq_023', 'seq_024', 'seq_025', 'seq_026', 'seq_028', 'seq_031', 'seq_032', 'seq_033', 'seq_034', 'seq_035', 'seq_036', 'seq_037', 'seq_038', 'seq_039', 'seq_040']","['seq_021', 'seq_022', 'seq_023', 'seq_024', 'seq_025', 'seq_026', 'seq_028', 'seq_031', 'seq_032', 'seq_033', 'seq_034', 'seq_035', 'seq_036', 'seq_037', 'seq_038', 'seq_039', 'seq_040']",blocked,seq_021 -> seq_040
GATE_OPTIONAL_PDS_ENABLEMENT,Optional PDS enablement gate,external_readiness,optional,['MS_EXT_OPTIONAL_PDS_ENRICHMENT'],"['PDSSandboxRequest', 'PDSFeatureFlagPlan']",['dep_pds_fhir_enrichment'],['RISK_STATE_004'],['PHASE_CONFORMANCE_ROW_PHASE_2'],['RULE_DEFERRED_PHASE7_NO_PROXY'],ROLE_GOVERNANCE_LEAD,Optional PDS work silently mutates baseline identity truth without governed legal-basis and feature-flag posture.,Optional PDS remains outside the current baseline unless later explicitly enabled.,['seq_027'],['seq_027'],optional,seq_027
GATE_P0_0A_TO_0B,Phase 0A hard gate into 0B domain kernel,phase_entry,current,['MS_P0_0A_DELIVERY_SKELETON'],"['monorepo_boundary_rules', 'bootstrap_runbooks', 'ci_pipeline_bootstrap']",[],"['RISK_MUTATION_001', 'RISK_MUTATION_002']",[],['RULE_SEQ_SCOPE_AWARE_ORDER'],ROLE_PLATFORM_ARCHITECT,"Domain kernel work starts before repository boundaries, startup, and delivery controls are hard-gated.",This is the first hard gate in the Phase 0 internal sub-phase map.,"['seq_041', 'seq_042', 'seq_043', 'seq_044', 'seq_045']","['seq_041', 'seq_042', 'seq_043', 'seq_044', 'seq_045']",blocked,seq_041 -> seq_045
GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,['MS_P0_0B_DOMAIN_KERNEL'],"['canonical_domain_glossary.csv', 'state_machines.json', 'service_runtime_matrix.csv']",[],"['RISK_MUTATION_001', 'RISK_MUTATION_002', 'RISK_MUTATION_003', 'RISK_OWNERSHIP_001', 'RISK_RUNTIME_001', 'RISK_STATE_001', 'RISK_STATE_002', 'RISK_STATE_003', 'RISK_STATE_004', 'RISK_STATE_005']",[],['RULE_SEQ_SCOPE_AWARE_ORDER'],ROLE_FOUNDATION_DOMAIN_OWNER,"Runtime and release work starts without the canonical kernel, state axes, and coordinator-owned closure law frozen enough for later phases.",0B must finish before runtime publication and release tuples are treated as meaningful.,"['seq_046', 'seq_047', 'seq_048', 'seq_049', 'par_062', 'par_063', 'par_064', 'par_065', 'par_066', 'par_067', 'par_068', 'par_069', 'par_070', 'par_071', 'par_072', 'par_073', 'par_074', 'par_075', 'par_076', 'par_077', 'par_078', 'par_079', 'par_080', 'par_081', 'par_082']","['seq_046', 'seq_047', 'seq_048', 'seq_049', 'par_062', 'par_063', 'par_064', 'par_065', 'par_066', 'par_067', 'par_068', 'par_069', 'par_070', 'par_071', 'par_072', 'par_073', 'par_074', 'par_075', 'par_076', 'par_077', 'par_078', 'par_079', 'par_080', 'par_081', 'par_082']",blocked,seq_046 -> par_082
GATE_P0_0C_TO_0D,Phase 0C hard gate into 0D control governors,phase_entry,current,['MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE'],"['runtime_workload_families.json', 'gateway_surface_matrix.csv', 'release_gate_matrix.csv']",[],['RISK_RUNTIME_001'],[],['RULE_SEQ_SCOPE_AWARE_ORDER'],ROLE_RUNTIME_RELEASE_OWNER,"Control-plane work begins without runtime publication, watch, and release tuple law frozen.",0C makes runtime publication a foundation concern rather than late hardening.,"['seq_050', 'seq_051', 'seq_052', 'par_083', 'par_084', 'par_085', 'par_086', 'par_087', 'par_088', 'par_089', 'par_090', 'par_091', 'par_092', 'par_093', 'par_094']","['seq_050', 'seq_051', 'seq_052', 'par_083', 'par_084', 'par_085', 'par_086', 'par_087', 'par_088', 'par_089', 'par_090', 'par_091', 'par_092', 'par_093', 'par_094']",blocked,seq_050 -> par_094
GATE_P0_0D_TO_0E,Phase 0D hard gate into 0E verification and contract publication,phase_entry,current,['MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW'],"['acting_scope_tuple_matrix.csv', 'idempotency_and_replay_rules.json', 'dependency_truth_and_fallback_matrix.csv']",[],"['RISK_MUTATION_001', 'RISK_MUTATION_002', 'RISK_MUTATION_003', 'RISK_OWNERSHIP_001', 'RISK_RUNTIME_001']",[],['RULE_SEQ_SCOPE_AWARE_ORDER'],ROLE_CONTROL_PLANE_OWNER,"Verification and shell work starts before tenant scope, mutation law, and degraded-mode control tuples are authoritative.",0D freezes control-plane law before later shells and tests can rely on it.,"['seq_053', 'seq_054', 'seq_055', 'seq_056', 'seq_057', 'par_095', 'par_096', 'par_097', 'par_098', 'par_099', 'par_100', 'par_101', 'par_102']","['seq_053', 'seq_054', 'seq_055', 'seq_056', 'seq_057', 'par_095', 'par_096', 'par_097', 'par_098', 'par_099', 'par_100', 'par_101', 'par_102']",blocked,seq_053 -> par_102
GATE_P0_PARALLEL_FOUNDATION_OPEN,Phase 0 parallel foundation open gate,phase_entry,current,['MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS'],"['playwright_coverage_matrix.csv', 'ui_contract_publication_matrix.csv', 'dependency_simulator_strategy.json']",[],"['RISK_MUTATION_001', 'RISK_MUTATION_002', 'RISK_MUTATION_003', 'RISK_OWNERSHIP_001', 'RISK_RUNTIME_001']",[],"['RULE_SEQ_SCOPE_AWARE_ORDER', 'RULE_PAR_BLOCK_COMPLETE']",ROLE_FOUNDATION_PROGRAMME_OWNER,"Parallel implementation opens without verification, simulator, and contract-publication law already pinned.",This is the explicit gate that opens the Phase 0 parallel foundation tracks named by the checklist.,"['seq_058', 'seq_059', 'seq_060', 'seq_061', 'par_103', 'par_104', 'par_105', 'par_106', 'par_107', 'par_108', 'par_109', 'par_110', 'par_111', 'par_112', 'par_113', 'par_114']","['seq_058', 'seq_059', 'seq_060', 'seq_061', 'par_103', 'par_104', 'par_105', 'par_106', 'par_107', 'par_108', 'par_109', 'par_110', 'par_111', 'par_112', 'par_113', 'par_114']",blocked,seq_058 -> par_114
GATE_P0_0F_TO_0G,Phase 0 hard gate from 0F synthetic flow into 0G assurance closeout,phase_entry,current,['MS_P0_0F_SEED_SHELLS_AND_SYNTHETIC_FLOW'],"['audience_surface_inventory.csv', 'gateway_surface_matrix.csv', 'release_publication_parity_pack']",[],"['RISK_MUTATION_003', 'RISK_ASSURANCE_001']",['PHASE_CONFORMANCE_ROW_PHASE_0'],['RULE_SEQ_SCOPE_AWARE_ORDER'],ROLE_FOUNDATION_EXPERIENCE_OWNER,"Phase 0 closeout starts before same-shell parity, synthetic flow, and publication parity are proven.",0F must complete before assurance and exit signoff close the foundation.,"['par_115', 'par_116', 'par_117', 'par_118', 'par_119', 'par_120', 'seq_127', 'seq_128', 'seq_129', 'seq_130', 'seq_131']","['par_115', 'par_116', 'par_117', 'par_118', 'par_119', 'par_120', 'seq_127', 'seq_128', 'seq_129', 'seq_130', 'seq_131']",blocked,par_115 -> seq_131
GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Phase 0 long-lead assurance merge gate,par_block_merge,current,"['MS_P0_0G_DCB0129_SAFETY_CASE', 'MS_P0_0G_DSPT_READINESS', 'MS_P0_0G_IM1_SCAL_ASSURANCE', 'MS_P0_0G_NHS_LOGIN_ONBOARDING_EVIDENCE', 'MS_P0_0G_CLINICAL_AND_PRIVACY_REVIEW_CADENCE']","['safety_hazard_register_seed.csv', 'dspt_gap_assessment_pack', 'im1_scal_readiness_pack', 'nhs_login_onboarding_evidence_pack', 'dpia_backlog_pack']","['dep_nhs_login_rail', 'dep_im1_pairing_programme', 'dep_nhs_assurance_and_standards_sources']","['HZ_WRONG_PATIENT_BINDING', 'HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE']",['PHASE_CONFORMANCE_ROW_PHASE_0'],"['RULE_LONG_LEAD_VISIBLE', 'RULE_PAR_BLOCK_COMPLETE']",ROLE_MANUFACTURER_CSO,"Foundation exit proceeds while long-lead safety, privacy, and partner approvals remain invisible or stale.",All named long-lead tracks must be visible before Phase 0 exit proof can settle.,"['par_121', 'par_122', 'par_123', 'par_124', 'par_125', 'par_126']","['par_121', 'par_122', 'par_123', 'par_124', 'par_125', 'par_126']",blocked,par_121 -> par_126
GATE_P0_EXIT,Phase 0 exit gate,phase_exit,current,['MS_P0_0G_EXIT_PROOF_AND_FOUNDATION_SIGNOFF'],"['release_candidate_freeze_pack', 'foundation_exit_evidence_pack', 'backup_restore_rehearsal_pack', 'cross_phase_conformance_scorecard_current_baseline']","['dep_nhs_login_rail', 'dep_im1_pairing_programme']","['RISK_MUTATION_001', 'RISK_MUTATION_002', 'RISK_MUTATION_003', 'RISK_OWNERSHIP_001', 'RISK_RUNTIME_001', 'RISK_STATE_001', 'RISK_STATE_002', 'RISK_STATE_003', 'RISK_STATE_004', 'RISK_STATE_005', 'HZ_WRONG_PATIENT_BINDING']","['PHASE_CONFORMANCE_ROW_PHASE_0', 'CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_RUNTIME_PUBLICATION_AND_OPS_PROOF']",ROLE_FOUNDATION_PROGRAMME_OWNER,"Feature phases start while release tuple, recovery posture, or long-lead assurance evidence is still stale.",Phase 0 exit freezes the spine before later phases may build on it.,"['seq_132', 'seq_133', 'seq_134', 'seq_135', 'seq_136', 'seq_137', 'seq_138']","['seq_132', 'seq_133', 'seq_134', 'seq_135', 'seq_136', 'seq_137', 'seq_138']",blocked,seq_132 -> seq_138
GATE_P1_PARALLEL_MERGE,Phase 1 intake parallel merge,par_block_merge,current,['MS_P1_PARALLEL_INTAKE_IMPLEMENTATION'],['phase1_end_to_end_evidence_pack'],[],"['RISK_STATE_001', 'RISK_STATE_003']",['PHASE_CONFORMANCE_ROW_PHASE_1'],"['RULE_PAR_BLOCK_COMPLETE', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE1_OWNER,Phase 1 intake parallel merge is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 1 intake parallel merge keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_144', 'par_145', 'par_146', 'par_147', 'par_148', 'par_149', 'par_150', 'par_151', 'par_152', 'par_153', 'par_154', 'par_155', 'par_156', 'par_157', 'par_158', 'par_159', 'par_160', 'par_161', 'par_162', 'par_163']","['par_144', 'par_145', 'par_146', 'par_147', 'par_148', 'par_149', 'par_150', 'par_151', 'par_152', 'par_153', 'par_154', 'par_155', 'par_156', 'par_157', 'par_158', 'par_159', 'par_160', 'par_161', 'par_162', 'par_163']",blocked,par_144 -> par_163
GATE_P1_EXIT,Phase 1 exit gate,phase_exit,current,['MS_P1_MERGE_AND_PROOF'],"['phase1_exit_verdict', 'phase1_end_to_end_evidence_pack']",[],"['RISK_STATE_001', 'RISK_STATE_003']","['PHASE_CONFORMANCE_ROW_PHASE_1', 'CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE1_OWNER,Phase 1 exit gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 1 exit gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_164', 'seq_165', 'seq_166', 'seq_167', 'seq_168']","['seq_164', 'seq_165', 'seq_166', 'seq_167', 'seq_168']",blocked,seq_164 -> seq_168
GATE_P2_PARALLEL_MERGE,Phase 2 identity and telephony parallel merge,par_block_merge,current,['MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY'],['phase2_identity_and_echoes_pack'],"['dep_nhs_login_rail', 'dep_telephony_ivr_recording_provider']","['RISK_MUTATION_001', 'RISK_MUTATION_003', 'RISK_STATE_004']",['PHASE_CONFORMANCE_ROW_PHASE_2'],"['RULE_PAR_BLOCK_COMPLETE', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE2_OWNER,Phase 2 identity and telephony parallel merge is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 2 identity and telephony parallel merge keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_175', 'par_176', 'par_177', 'par_178', 'par_179', 'par_180', 'par_181', 'par_182', 'par_183', 'par_184', 'par_185', 'par_186', 'par_187', 'par_188', 'par_189', 'par_190', 'par_191', 'par_192', 'par_193', 'par_194', 'par_195', 'par_196', 'par_197', 'par_198', 'par_199', 'par_200', 'par_201']","['par_175', 'par_176', 'par_177', 'par_178', 'par_179', 'par_180', 'par_181', 'par_182', 'par_183', 'par_184', 'par_185', 'par_186', 'par_187', 'par_188', 'par_189', 'par_190', 'par_191', 'par_192', 'par_193', 'par_194', 'par_195', 'par_196', 'par_197', 'par_198', 'par_199', 'par_200', 'par_201']",blocked,par_175 -> par_201
GATE_P2_EXIT,Phase 2 exit gate,phase_exit,current,['MS_P2_PROOF_AND_REGRESSION'],"['phase2_exit_verdict', 'phase2_regression_evidence_pack']",['dep_nhs_login_rail'],"['RISK_MUTATION_001', 'RISK_MUTATION_003', 'RISK_STATE_004']","['PHASE_CONFORMANCE_ROW_PHASE_2', 'CROSS_PHASE_CONFORMANCE_SCORECARD_CURRENT_BASELINE']","['RULE_CONFORMANCE_ROW_FRESH', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_PHASE2_OWNER,Phase 2 exit gate is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Phase 2 exit gate keeps its evidence tuple explicit and scope-aware in the programme graph.,"['seq_204', 'seq_205', 'seq_206', 'seq_207']","['seq_204', 'seq_205', 'seq_206', 'seq_207']",blocked,seq_204 -> seq_207
GATE_XC_PARALLEL_MERGE,Cross-phase portal/support parallel merge,par_block_merge,current,['MS_XC_PARALLEL_PATIENT_ACCOUNT_AND_SUPPORT'],"['patient_account_surface_pack', 'support_workspace_pack']",[],"['RISK_ASSURANCE_001', 'RISK_UI_001']",['CROSS_PHASE_CONFORMANCE_SCORECARD_CROSS_PHASE_CONTROLS'],"['RULE_PAR_BLOCK_COMPLETE', 'RULE_DEFERRED_PHASE7_NO_PROXY']",ROLE_CROSS_PHASE_OWNER,Cross-phase portal/support parallel merge is skipped and later sequence work outruns the required evidence tuple or conformance posture.,Cross-phase portal/support parallel merge keeps its evidence tuple explicit and scope-aware in the programme graph.,"['par_210', 'par_211', 'par_212', 'par_213', 'par_214', 'par_215', 'par_216', 'par_217', 'par_218', 'par_219', 'par_220', 'par_221', 'par_222']","['par_210', 'par_211', 'par_212', 'par_213', 'par_214', 'par_215', 'par_216', 'par_217', 'par_218', 'par_219', 'par_220', 'par_221', 'par_222']",blocked,par_210 -> par_222
