family,exceptionCode,severityPattern,triggerCondition,safeSummary
tuple_drift,POLICY_TUPLE_DRIFT,blocking_always,bound tuple differs from active tuple,"The active policy tuple changed and the bound evaluation is no longer current."
routing,ROUTING_BLOCKED,blocking_always,routing disposition resolves to blocked,"Routing policy currently blocks network progression."
routing,ROUTING_URGENT_BOUNCE,blocking_always,routing disposition resolves to bounce_back_urgent,"Routing policy requires urgent return instead of hub progression."
variance,VARIANCE_OUTSIDE_WINDOW_BLOCKED,blocking_except_manage_warning,variance disposition resolves to outside_window_blocked,"The case is outside the lawful offer window for this tuple."
variance,VARIANCE_OUTSIDE_WINDOW_VISIBLE,warning_always,variance disposition resolves to outside_window_visible_by_policy,"The case is outside the required window and remains visible only as a governed explanation."
service_obligation,SERVICE_OBLIGATION_MAKE_UP_REQUIRED,warning_always,service obligation disposition resolves to make_up_required,"The tuple requires make-up action for cancelled or missing minutes."
service_obligation,SERVICE_OBLIGATION_RISK,warning_always,service obligation disposition resolves to obligation_risk,"The current minutes or supply facts place the network under obligation risk."
practice_visibility,PRACTICE_VISIBILITY_RESTRICTED,blocking_for_visibility_generation_warning_elsewhere,practice visibility disposition resolves to visibility_restricted,"Practice visibility generation is restricted under the current minimum-necessary contract."
practice_visibility,PRACTICE_ACK_DEBT_OPEN,warning_always,practice visibility disposition resolves to ack_debt_open,"Practice acknowledgement debt remains open under the current tuple."
practice_visibility,PRACTICE_DELTA_REQUIRED,warning_always,practice visibility disposition resolves to delta_required,"A practice visibility delta must be generated before this scope is complete."
capacity_ingestion,CAPACITY_DEGRADED_CALLBACK_ONLY,warning_for_candidate_or_manage_blocking_elsewhere,capacity admission disposition resolves to degraded_callback_only,"Only callback-only reasoning is lawful for the current degraded capacity state."
capacity_ingestion,CAPACITY_DEGRADED_DIAGNOSTIC_ONLY,blocking_always,capacity admission disposition resolves to degraded_diagnostic_only,"Only diagnostic-only visibility is lawful for the current degraded capacity state."
capacity_ingestion,CAPACITY_QUARANTINED,blocking_always,capacity admission disposition resolves to quarantined_excluded,"Quarantined capacity is excluded from ordinary patient offer and direct commit."
capacity_ingestion,CAPACITY_STALE,blocking_always,capacity admission disposition resolves to stale_capacity,"Stale capacity prevents ordinary progression under the current tuple."
capacity_ingestion,CAPACITY_MISSING,blocking_except_practice_visibility_warning,capacity admission disposition resolves to missing_capacity,"No capacity is currently admissible for the evaluated scope."
