route_family_ref,shell_slug,audience_surface,marker_class,marker_ref,dom_marker,selector,selector_attribute,selector_value,disclosure_fence_state,repeated_instance_strategy,supporting_dom_markers,supporting_event_classes,contract_state,gap_resolution_ref,source_refs
rf_governance_shell,governance-console,audsurf_governance_admin,landmark,rf_governance_shell-root,rf_governance_shell-root,[data-automation-surface='rf_governance_shell'],data-automation-surface,rf_governance_shell,safe,shared_anchor_only,rf_governance_shell-root | data-route-family | data-shell-slug,surface_enter,provisional,,"prompt/114.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/canonical-ui-contract-kernel.md#SurfaceStateSemanticsProfile; blueprint/platform-frontend-blueprint.md#AutomationAnchorProfile; blueprint/platform-frontend-blueprint.md#Shared IA rules; blueprint/platform-frontend-blueprint.md#Canonical real-time interaction, motion, and live-projection experience algorithm; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120; data/analysis/automation_anchor_maps.json; data/analysis/accessibility_semantic_coverage_profiles.json; data/analysis/runtime_binding_guard_examples.json; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; prompt/104.md; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; prompt/104.md; blueprint/accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; prompt/104.md"
rf_governance_shell,governance-console,audsurf_governance_admin,state_summary,marker.rf_governance_shell.state_summary,surface-state,[data-automation-surface='rf_governance_shell'] [data-automation-anchor-class='state_summary'],data-automation-anchor-class,state_summary,safe,shared_anchor_only,surface-state | data-surface-state | data-state-reason,state_summary_changed | visibility_freshness_downgrade,provisional,,"prompt/114.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/canonical-ui-contract-kernel.md#SurfaceStateSemanticsProfile; blueprint/platform-frontend-blueprint.md#AutomationAnchorProfile; blueprint/platform-frontend-blueprint.md#Shared IA rules; blueprint/platform-frontend-blueprint.md#Canonical real-time interaction, motion, and live-projection experience algorithm; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120; data/analysis/automation_anchor_maps.json; data/analysis/accessibility_semantic_coverage_profiles.json; data/analysis/runtime_binding_guard_examples.json; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; prompt/104.md; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; prompt/104.md; blueprint/accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; prompt/104.md"
rf_governance_shell,governance-console,audsurf_governance_admin,dominant_action,marker.rf_governance_shell.dominant_action,dominant-action,[data-automation-surface='rf_governance_shell'] [data-automation-anchor-class='dominant_action'],data-automation-anchor-ref,marker.rf_governance_shell.dominant_action,safe,shared_anchor_only,dominant-action | data-dominant-action,dominant_action_changed,provisional,,"prompt/114.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/canonical-ui-contract-kernel.md#SurfaceStateSemanticsProfile; blueprint/platform-frontend-blueprint.md#AutomationAnchorProfile; blueprint/platform-frontend-blueprint.md#Shared IA rules; blueprint/platform-frontend-blueprint.md#Canonical real-time interaction, motion, and live-projection experience algorithm; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120; data/analysis/automation_anchor_maps.json; data/analysis/accessibility_semantic_coverage_profiles.json; data/analysis/runtime_binding_guard_examples.json; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; prompt/104.md; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; prompt/104.md; blueprint/accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; prompt/104.md"
rf_governance_shell,governance-console,audsurf_governance_admin,selected_anchor,marker.rf_governance_shell.selected_anchor,selected-anchor,[data-automation-surface='rf_governance_shell'] [data-automation-anchor-class='selected_anchor'],data-automation-anchor-ref,marker.rf_governance_shell.selected_anchor,safe,shared_anchor_only,selected-anchor | data-anchor-id | data-anchor-state,selected_anchor_changed,provisional,,"prompt/114.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/canonical-ui-contract-kernel.md#SurfaceStateSemanticsProfile; blueprint/platform-frontend-blueprint.md#AutomationAnchorProfile; blueprint/platform-frontend-blueprint.md#Shared IA rules; blueprint/platform-frontend-blueprint.md#Canonical real-time interaction, motion, and live-projection experience algorithm; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120; data/analysis/automation_anchor_maps.json; data/analysis/accessibility_semantic_coverage_profiles.json; data/analysis/runtime_binding_guard_examples.json; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; prompt/104.md; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; prompt/104.md; blueprint/accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; prompt/104.md"
rf_governance_shell,governance-console,audsurf_governance_admin,focus_restore,marker.rf_governance_shell.focus_restore,focus-restore,[data-automation-surface='rf_governance_shell'] [data-automation-anchor-class='focus_restore'],data-focus-restore-ref,focus_restore.rf_governance_shell.governance-scope,safe,shared_anchor_only,data-focus-restore-ref | data-return-anchor,selected_anchor_changed,provisional,GAP_RESOLUTION_AUTOMATION_ANCHOR_FOCUS_RESTORE_MARKER_V1,"prompt/114.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/canonical-ui-contract-kernel.md#SurfaceStateSemanticsProfile; blueprint/platform-frontend-blueprint.md#AutomationAnchorProfile; blueprint/platform-frontend-blueprint.md#Shared IA rules; blueprint/platform-frontend-blueprint.md#Canonical real-time interaction, motion, and live-projection experience algorithm; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120; data/analysis/automation_anchor_maps.json; data/analysis/accessibility_semantic_coverage_profiles.json; data/analysis/runtime_binding_guard_examples.json; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; prompt/104.md; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; prompt/104.md; blueprint/accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; prompt/104.md"
rf_governance_shell,governance-console,audsurf_governance_admin,artifact_posture,marker.rf_governance_shell.artifact_mode,artifact-posture,[data-automation-surface='rf_governance_shell'] [data-automation-anchor-class='artifact_posture'],data-automation-anchor-ref,marker.rf_governance_shell.artifact_mode,safe,shared_anchor_only,data-artifact-mode | data-artifact-stage,artifact_mode_changed,provisional,,"prompt/114.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/canonical-ui-contract-kernel.md#SurfaceStateSemanticsProfile; blueprint/platform-frontend-blueprint.md#AutomationAnchorProfile; blueprint/platform-frontend-blueprint.md#Shared IA rules; blueprint/platform-frontend-blueprint.md#Canonical real-time interaction, motion, and live-projection experience algorithm; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120; data/analysis/automation_anchor_maps.json; data/analysis/accessibility_semantic_coverage_profiles.json; data/analysis/runtime_binding_guard_examples.json; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; prompt/104.md; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; prompt/104.md; blueprint/accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; prompt/104.md"
rf_governance_shell,governance-console,audsurf_governance_admin,recovery_posture,marker.rf_governance_shell.recovery_posture,recovery-posture,[data-automation-surface='rf_governance_shell'] [data-automation-anchor-class='recovery_posture'],data-recovery-posture,read_only,safe,shared_anchor_only,data-recovery-posture | data-writable-state | data-surface-state,recovery_posture_changed | visibility_freshness_downgrade,provisional,GAP_RESOLUTION_AUTOMATION_ANCHOR_RECOVERY_POSTURE_MARKER_V1,"prompt/114.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/canonical-ui-contract-kernel.md#SurfaceStateSemanticsProfile; blueprint/platform-frontend-blueprint.md#AutomationAnchorProfile; blueprint/platform-frontend-blueprint.md#Shared IA rules; blueprint/platform-frontend-blueprint.md#Canonical real-time interaction, motion, and live-projection experience algorithm; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120; data/analysis/automation_anchor_maps.json; data/analysis/accessibility_semantic_coverage_profiles.json; data/analysis/runtime_binding_guard_examples.json; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; prompt/104.md; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; prompt/104.md; blueprint/accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; prompt/104.md"
rf_governance_shell,governance-console,audsurf_governance_admin,visualization_authority,marker.rf_governance_shell.visualization_authority,visualization-authority,[data-automation-surface='rf_governance_shell'] [data-automation-anchor-class='visualization_authority'],data-visualization-authority,visual_table_summary,safe,shared_anchor_only,data-visualization-authority | data-semantic-surface | data-accessibility-coverage-state,visibility_freshness_downgrade,provisional,GAP_RESOLUTION_AUTOMATION_ANCHOR_VISUALIZATION_AUTHORITY_MARKER_V1,"prompt/114.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/canonical-ui-contract-kernel.md#SurfaceStateSemanticsProfile; blueprint/platform-frontend-blueprint.md#AutomationAnchorProfile; blueprint/platform-frontend-blueprint.md#Shared IA rules; blueprint/platform-frontend-blueprint.md#Canonical real-time interaction, motion, and live-projection experience algorithm; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120; data/analysis/automation_anchor_maps.json; data/analysis/accessibility_semantic_coverage_profiles.json; data/analysis/runtime_binding_guard_examples.json; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; prompt/104.md; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; prompt/104.md; blueprint/accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; prompt/104.md"
rf_governance_shell,governance-console,audsurf_governance_admin,route_shell_posture,marker.rf_governance_shell.route_shell_posture,route-shell-posture,[data-automation-surface='rf_governance_shell'] [data-automation-anchor-class='route_shell_posture'],data-route-shell-posture,shell_guarded,safe,shared_anchor_only,data-route-shell-posture | data-route-family | data-shell-slug | data-channel-profile,state_summary_changed | recovery_posture_changed | visibility_freshness_downgrade,provisional,GAP_RESOLUTION_AUTOMATION_ANCHOR_ROUTE_SHELL_POSTURE_MARKER_V1,"prompt/114.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/canonical-ui-contract-kernel.md#SurfaceStateSemanticsProfile; blueprint/platform-frontend-blueprint.md#AutomationAnchorProfile; blueprint/platform-frontend-blueprint.md#Shared IA rules; blueprint/platform-frontend-blueprint.md#Canonical real-time interaction, motion, and live-projection experience algorithm; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120; data/analysis/automation_anchor_maps.json; data/analysis/accessibility_semantic_coverage_profiles.json; data/analysis/runtime_binding_guard_examples.json; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; prompt/104.md; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; prompt/104.md; blueprint/accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; prompt/104.md"
rf_hub_case_management,hub-desk,audsurf_hub_desk,landmark,rf_hub_case_management-root,rf_hub_case_management-root,[data-automation-surface='rf_hub_case_management'],data-automation-surface,rf_hub_case_management,safe,shared_anchor_only,rf_hub_case_management-root | data-route-family | data-shell-slug,surface_enter,exact,,"prompt/114.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/canonical-ui-contract-kernel.md#SurfaceStateSemanticsProfile; blueprint/platform-frontend-blueprint.md#AutomationAnchorProfile; blueprint/platform-frontend-blueprint.md#Shared IA rules; blueprint/platform-frontend-blueprint.md#Canonical real-time interaction, motion, and live-projection experience algorithm; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120; data/analysis/automation_anchor_maps.json; data/analysis/accessibility_semantic_coverage_profiles.json; data/analysis/runtime_binding_guard_examples.json; blueprint/canonical-ui-contract-kernel.md#AutomationAnchorMap; prompt/104.md; blueprint/canonical-ui-contract-kernel.md#TelemetryBindingProfile; prompt/104.md; blueprint/accessibility-and-content-system-contract.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; prompt/104.md"
