tupleId,inventorySurfaceRef,publishedAudienceSurfaceRef,shellType,shellSlug,routeFamilyRef,governingBoundedContextRef,canonicalObjectDescriptorRef,frontendContractManifestRef,surfaceRouteContractRef,designContractPublicationBundleRef,runtimePublicationBundleRef,audienceSurfaceRuntimeBindingRef,releasePublicationParityRef,projectionContractVersionSetRef,bindingVerdict,writabilityState,calmState,visibilityCoverageRefs,reasonRefs,notes
FMTUP_127_RF_ASSISTIVE_CONTROL_SHELL_V1,,,assistive,,rf_assistive_control_shell,assistive,AssistiveSurfaceBinding,,,,rpb::local::authoritative,,rpp::local::authoritative,,blocked,blocked,blocked,AVC_054_ASSISTIVE_ADJUNCT_V1,MFV_127_ASSISTIVE_STANDALONE_UNPUBLISHED|MFV_127_DESIGN_BUNDLE_MISSING|MFV_127_FRONTEND_MANIFEST_MISSING|MFV_127_PROJECTION_VERSION_SET_MISSING|MFV_127_RUNTIME_BINDING_MISSING|MFV_127_SHELL_CONTRACT_MISSING|MFV_127_SURFACE_ROUTE_CONTRACT_MISSING,"The derived standalone assistive shell has route inventory truth but no seeded shell, manifest, or runtime binding of its own."
FMTUP_127_SURF_GOVERNANCE_SHELL_V1,surf_governance_shell,audsurf_governance_admin,governance,governance-console,rf_governance_shell,governance_admin,GovernanceContinuityFrame,FCM_050_GOVERNANCE_ADMIN_V1,ASRC_050_GOVERNANCE_ADMIN_V1,dcpb::governance_admin::planned,rpb::local::authoritative,ASRB_050_GOVERNANCE_ADMIN_V1,rpp::local::authoritative,PCVS_050_GOVERNANCE_ADMIN_V1,partial,read_only,guarded,AVC_054_GOVERNANCE_PLATFORM_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_HUB_CASE_MANAGEMENT_V1,surf_hub_case_management,audsurf_hub_desk,hub,hub-desk,rf_hub_case_management,hub_coordination,HubCoordinationCase,FCM_050_HUB_DESK_V1,ASRC_050_HUB_DESK_V1,dcpb::hub_desk::planned,rpb::local::authoritative,ASRB_050_HUB_DESK_V1,rpp::local::authoritative,PCVS_050_HUB_DESK_V1,partial,read_only,guarded,AVC_054_HUB_CROSS_ORG_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_HUB_QUEUE_V1,surf_hub_queue,audsurf_hub_desk,hub,hub-desk,rf_hub_queue,hub_coordination,HubCoordinationCase,FCM_050_HUB_DESK_V1,ASRC_050_HUB_DESK_V1,dcpb::hub_desk::planned,rpb::local::authoritative,ASRB_050_HUB_DESK_V1,rpp::local::authoritative,PCVS_050_HUB_DESK_V1,partial,read_only,guarded,AVC_054_HUB_CROSS_ORG_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_OPERATIONS_BOARD_V1,surf_operations_board,audsurf_operations_console,operations,ops-console,rf_operations_board,operations,OpsBoardStateSnapshot,FCM_050_OPERATIONS_CONSOLE_V1,ASRC_050_OPERATIONS_CONSOLE_V1,dcpb::operations_console::planned,rpb::local::authoritative,ASRB_050_OPERATIONS_CONSOLE_V1,rpp::local::authoritative,PCVS_050_OPERATIONS_CONSOLE_V1,partial,recovery_only,guarded,AVC_054_OPERATIONS_WATCH_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_OPERATIONS_DRILLDOWN_V1,surf_operations_drilldown,audsurf_operations_console,operations,ops-console,rf_operations_drilldown,operations,OpsRouteIntent,FCM_050_OPERATIONS_CONSOLE_V1,ASRC_050_OPERATIONS_CONSOLE_V1,dcpb::operations_console::planned,rpb::local::authoritative,ASRB_050_OPERATIONS_CONSOLE_V1,rpp::local::authoritative,PCVS_050_OPERATIONS_CONSOLE_V1,partial,recovery_only,guarded,AVC_054_OPERATIONS_WATCH_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_INTAKE_WEB_V1,surf_patient_intake_web,audsurf_patient_public_entry,patient,patient-web,rf_intake_self_service,intake_safety,SubmissionEnvelope,FCM_050_PATIENT_PUBLIC_ENTRY_V1,ASRC_050_PATIENT_PUBLIC_ENTRY_V1,dcpb::patient_public_entry::planned,rpb::local::authoritative,ASRB_050_PATIENT_PUBLIC_ENTRY_V1,rpp::local::authoritative,PCVS_050_PATIENT_PUBLIC_ENTRY_V1,partial,recovery_only,guarded,AVC_054_PATIENT_PUBLIC_ENTRY_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,Shell residency remains on `patient-web` while publication authority resolves through `audsurf_patient_public_entry`.
FMTUP_127_SURF_PATIENT_INTAKE_PHONE_V1,surf_patient_intake_phone,audsurf_patient_public_entry,patient,patient-web,rf_intake_telephony_capture,intake_safety,SubmissionEnvelope,FCM_050_PATIENT_PUBLIC_ENTRY_V1,ASRC_050_PATIENT_PUBLIC_ENTRY_V1,dcpb::patient_public_entry::planned,rpb::local::authoritative,ASRB_050_PATIENT_PUBLIC_ENTRY_V1,rpp::local::authoritative,PCVS_050_PATIENT_PUBLIC_ENTRY_V1,partial,recovery_only,guarded,AVC_054_PATIENT_PUBLIC_ENTRY_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_CONSTRAINED_NON_BROWSER_CHANNEL|MFV_127_DESIGN_LINT_PENDING,Shell residency remains on `patient-web` while publication authority resolves through `audsurf_patient_public_entry`. The ingress remains constrained and is not directly browser-visible.
FMTUP_127_SURF_PATIENT_APPOINTMENTS_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,patient,patient-web,rf_patient_appointments,patient_experience,PatientAppointmentWorkspaceProjection,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,ASRC_050_PATIENT_AUTHENTICATED_PORTAL_V1,dcpb::patient_authenticated_shell::planned,rpb::local::authoritative,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,rpp::local::authoritative,PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1,partial,read_only,guarded,AVC_054_PATIENT_AUTHENTICATED_V1,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_EMBEDDED_SHELL_V1,surf_patient_embedded_shell,audsurf_patient_transaction_recovery,patient,patient-web,rf_patient_embedded_channel,patient_experience,PatientEmbeddedSessionProjection,FCM_050_PATIENT_TRANSACTION_RECOVERY_V1,ASRC_050_PATIENT_TRANSACTION_RECOVERY_V1,dcpb::patient_transaction_recovery::planned,rpb::local::authoritative,ASRB_050_PATIENT_TRANSACTION_RECOVERY_V1,rpp::local::authoritative,PCVS_050_PATIENT_TRANSACTION_RECOVERY_V1,blocked,blocked,blocked,AVC_054_PATIENT_EMBEDDED_V1,MFV_127_ACCESSIBILITY_BLOCKED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,Shell residency remains on `patient-web` while publication authority resolves through `audsurf_patient_transaction_recovery`.
