evidenceId,capabilityId,title,evidenceFamily,status,audience,environmentClass,artifactRefs,summary
EV341_001,CAP341_01,Acting-context kernel and UI control plane,contract_and_execution,passed,staff_cross_org,local_nonprod_foundation,tools/analysis/validate_316_acting_context_scope_and_visibility.ts | tools/analysis/validate_332_acting_context_control_plane.ts,Backend and frontend acting-context enforcement were validated before the final gate.
EV341_002,CAP341_01,"Scope, visibility, capacity, and SLA final regression battery",phase5_regression_suite,passed,staff_cross_org,local_nonprod_foundation,data/test-reports/338_scope_capacity_ranking_sla_results.json,"338 proves scope drift, visibility, queue ranking, and responsive hub continuity."
EV341_003,CAP341_03,Patient choice and browser-visible final proof battery,phase5_browser_suite,passed,patient_staff,local_nonprod_foundation,data/test-results/340_phase5_browser_suite_summary.json,"340 proves visible frontier truth, callback separation, cross-org minimum-necessary, and responsive/browser quality."
EV341_004,CAP341_05,"Commit truth, practice acknowledgement debt, and reopen suite",phase5_truth_suite,passed,patient_staff,local_nonprod_foundation,data/test-reports/339_commit_mesh_no_slot_reopen_results.json,"339 proves commit truth, acknowledgement debt, fallback recovery, and browser-visible confirmation/manage parity."
EV341_005,CAP341_02,Capacity snapshot pipeline and partner feed configuration,capacity_and_onboarding,constrained,network_ops,controlled_partner_boundary,tools/analysis/validate_318_capacity_snapshot_and_rank_proof.ts | tools/analysis/validate_336_partner_feed_configuration.ts,"Capacity ingestion is executable and deterministic, but supported-test and INT onboarding remain bounded reviews."
EV341_006,CAP341_08,MESH route contract and manual-bridge register,transport_boundary,constrained,network_ops,controlled_partner_boundary,data/contracts/335_mesh_route_contract.json | data/analysis/335_mesh_setup_gap_register.json | tools/analysis/validate_335_mesh_configuration.ts,Transport proof is current for local twins and explicit for PTL manual bridges.
EV341_007,CAP341_06,"Manage, reminders, and merged appointment-family continuity",patient_continuity,passed,patient_staff,local_nonprod_foundation,tools/analysis/validate_324_hub_manage_visibility_and_reminders.ts | tools/analysis/validate_330_network_manage_and_message_timeline.ts | tools/analysis/validate_337_appointment_family_merge.ts,The patient manage and timeline family is internally consistent and proven end to end.
EV341_008,CAP341_07,Practice continuity chain and visibility surfaces,cross_org_visibility,passed,cross_org,local_nonprod_foundation,tools/analysis/validate_322_practice_continuity_chain.ts | tools/analysis/validate_329_commit_confirmation_and_visibility_ui.ts,Acknowledgement debt remains separate from transport acceptance and is preserved on visible surfaces.
EV341_009,CAP341_09,Fallback and reopen workflow contract plus UI recovery proof,recovery,passed,patient_staff,local_nonprod_foundation,tools/analysis/validate_323_hub_fallback_workflows.ts | tools/analysis/validate_331_hub_recovery_and_exception_ui.ts,"No-slot, callback, urgent return, and reopen all remain typed and independently proved."
EV341_010,CAP341_10,Responsive and accessibility browser gate,browser_quality,passed,patient_staff,local_nonprod_foundation,data/test-reports/338_scope_capacity_ranking_sla_results.json | data/test-results/340_phase5_browser_suite_summary.json,"The final browser wave has current proof for accessibility, reflow, reduced motion, and content truth."
EV341_011,CAP341_00,Inherited Phase 4 exit constraints,release_governance,constrained,platform,controlled_foundation,data/analysis/310_phase4_exit_gate_decision.json,"Safety delta, rollback rehearsal, and widened-rollout performance constraints still govern the final Phase 5 verdict."
