from_state,input_event,to_state,promotion_readiness,allowed_next_worker,reason_code
awaiting_recording,governed_recording_settled,awaiting_transcript,blocked,transcript_worker,TEL_READY_191_TRANSCRIPT_JOB_QUEUED
awaiting_transcript,transcript_running,awaiting_transcript,blocked,transcript_worker,TEL_READY_191_TRANSCRIPT_JOB_RUNNING
awaiting_transcript,transcript_ready_sufficient,safety_usable,ready_to_promote,intake_convergence,TEL_READY_191_SAFETY_USABLE_READY_TO_PROMOTE
awaiting_transcript,transcript_degraded,manual_review_only,blocked,manual_audio_review,TEL_READY_191_TRANSCRIPT_DEGRADED_MANUAL_REVIEW
awaiting_transcript,transcript_failed,manual_review_only,blocked,manual_audio_review,TEL_READY_191_TRANSCRIPT_FAILED_MANUAL_REVIEW
awaiting_transcript,terminal_unusable,unusable_terminal,blocked,closure_or_followup,TEL_READY_191_TRANSCRIPT_TERMINAL_UNUSABLE
safety_usable,manual_correction_rerun,awaiting_transcript,blocked,transcript_worker,TEL_READY_191_RERUN_APPENDED_SUPERSEDING_PRIOR_READINESS
manual_review_only,manual_transcription_ready,safety_usable,ready_to_promote,intake_convergence,TEL_READY_191_SAFETY_USABLE_READY_TO_PROMOTE
any,urgent_live_preemption,urgent_live_only,blocked,urgent_live_path,TEL_READY_191_URGENT_LIVE_ONLY_BLOCKS_ROUTINE

