journeyPathId,routePattern,classification,routeOwner,jumpOffEligible,manifestExposureState,visibilityTierRef,summarySafetyTier,placeholderContractRef,intakeConvergenceContractRef,continuityEvidenceState,blockedReason
jp_start_medical_request,/requests/new?type=medical,safe_for_nhs_app_now,patient_intake,true,blocked,VisibilityTier:nhs-app-first-wave-summary,clinical_entry_summary_with_red_flag_disclaimer,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:phase1-browser-and-nhsapp-shared-v1,degraded,pending_continuity_validation
jp_start_admin_request,/requests/new?type=admin,safe_for_nhs_app_now,patient_intake,true,blocked,VisibilityTier:nhs-app-first-wave-summary,admin_entry_summary_with_scope_disclaimer,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:phase1-browser-and-nhsapp-shared-v1,missing,pending_continuity_validation
jp_continue_draft,/requests/drafts/:draftId,safe_for_nhs_app_now,patient_intake,false,blocked,VisibilityTier:nhs-app-first-wave-summary,draft_provenance_summary,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:phase1-browser-and-nhsapp-shared-v1,missing,pending_continuity_validation
jp_request_status,/requests/:requestId/status,safe_for_nhs_app_now,patient_status,true,blocked,VisibilityTier:nhs-app-first-wave-summary,status_summary_only,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:not_applicable_status_projection,missing,pending_continuity_validation
jp_respond_more_info,/requests/:requestId/more-info/:checkpointId,safe_for_nhs_app_now,more_info,false,blocked,VisibilityTier:nhs-app-first-wave-summary,reply_checkpoint_summary,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:not_applicable_more_info_reply,missing,pending_continuity_validation
jp_manage_local_appointment,/appointments/:appointmentId/manage,safe_for_nhs_app_now,booking,true,blocked,VisibilityTier:nhs-app-first-wave-summary,appointment_summary_first,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:not_applicable_booking_manage,missing,pending_continuity_validation
jp_pharmacy_choice,/requests/:requestId/pharmacy/choice,safe_for_nhs_app_now,pharmacy_loop,true,blocked,VisibilityTier:nhs-app-first-wave-summary,pharmacy_choice_disclosure,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:not_applicable_pharmacy_choice,missing,pending_continuity_validation
jp_pharmacy_status,/requests/:requestId/pharmacy/status,safe_for_nhs_app_now,pharmacy_loop,true,exposed,VisibilityTier:nhs-app-first-wave-summary,pharmacy_status_summary_only,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:not_applicable_pharmacy_status,trusted,none
jp_waitlist_offer_response,/appointments/waitlist/:offerId/respond,needs_embedded_adaptation_first,booking,false,inventory_only,VisibilityTier:nhs-app-hidden-until-adapted,deadline_sensitive_summary,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:not_applicable_waitlist,missing,requires_embedded_adaptation
jp_hub_alternative_offer,/appointments/hub-offers/:offerId,needs_embedded_adaptation_first,booking_hub,false,inventory_only,VisibilityTier:nhs-app-hidden-until-adapted,cross_org_offer_summary,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:not_applicable_hub_offer,missing,requires_embedded_adaptation
jp_records_letters_summary,/records/letters/:letterId,needs_embedded_adaptation_first,records,false,inventory_only,VisibilityTier:nhs-app-hidden-until-adapted,record_summary_with_masking,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:not_applicable_records,missing,requires_embedded_adaptation
jp_patient_message_thread,/messages/:threadId,needs_embedded_adaptation_first,communications,false,inventory_only,VisibilityTier:nhs-app-hidden-until-adapted,conversation_summary_with_reply_fence,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:not_applicable_messages,missing,requires_embedded_adaptation
jp_urgent_emergency_advice,/urgent-and-emergency-care,not_suitable_in_phase7,public_information,false,excluded,VisibilityTier:not-in-nhs-app-phase7,public_safety_signposting,PlaceholderContract:nhs-app-same-shell-bounded-recovery-v1,IntakeConvergenceContract:not_applicable_public_information,missing,route_excluded
