capability_id,family,frozen_source_contract,implemented_code_surface,proof_evidence,owner_task,release_interpretation,proof_status,blocking_gaps
CAP402_01,journey_inventory_manifest_integrity_and_environment_parity,data/contracts/374_phase7_journey_path_registry.json|data/contracts/396_nhs_app_onboarding_contract.json,services/command-api/src/phase7-nhs-app-manifest-service.ts|data/analysis/396_environment_parity_matrix.csv,tools/analysis/validate_374_phase7_manifest_and_inventory_contracts.ts|tools/analysis/validate_396_nhs_app_onboarding_assets.ts,374_377_396,approved,proved,
CAP402_02,embedded_context_shell_split_and_supported_route_exposure,data/contracts/375_phase7_channel_context_schema.json|data/contracts/375_phase7_navigation_contract_registry.json,apps/patient-web/src/embedded-shell-split.tsx|apps/patient-web/src/embedded-entry-corridor.tsx,data/test/399_suite_results.json|tests/playwright/399_shell_resolution_and_embedded_entry.spec.ts,375_378_386_389,approved,proved,
CAP402_03,sso_bridge_silent_auth_safe_reentry_and_return_intent,data/contracts/375_phase7_sso_bridge_schema.json|data/contracts/375_phase7_return_intent_schema.json,services/command-api/src/phase7-nhs-app-sso-bridge-service.ts|apps/patient-web/src/embedded-entry-corridor.tsx,data/test/399_suite_results.json|tests/integration/399_entry_and_continuity_contract.spec.ts,375_379_388_399,approved,proved,
CAP402_04,deep_links_site_links_and_return_to_journey_safety,data/contracts/375_phase7_site_link_and_link_resolution_schema.json|docs/api/380_phase7_external_entry_resolution_api.md,services/command-api/src/phase7-external-entry-service.ts|tests/playwright/400_deep_links_site_links_and_return_to_journey.spec.ts,data/test/400_suite_results.json|data/test/400_deep_link_and_site_link_cases.csv,380_395_400,approved,proved,
CAP402_05,bridge_capability_navigation_outbound_grants_and_calendar,data/contracts/375_phase7_navigation_contract_registry.json|docs/security/381_phase7_bridge_navigation_fences.md,packages/nhs-app-bridge-runtime/src/index.ts|apps/patient-web/src/embedded-booking.tsx,data/test/400_suite_results.json|data/test/400_booking_waitlist_manage_and_calendar_cases.csv,381_390_400,approved,proved,
CAP402_06,artifact_presentation_byte_delivery_fallback_and_degraded_mode,data/contracts/376_phase7_binary_artifact_delivery_schema.json|data/contracts/376_phase7_artifact_byte_grant_schema.json,services/command-api/src/phase7-artifact-delivery-service.ts|apps/patient-web/src/embedded-recovery-artifact.tsx,data/test/400_suite_results.json|data/test/400_artifact_and_fallback_cases.csv,376_382_391_400,approved,proved,
CAP402_07,accessibility_responsive_quality_and_content_safe_recovery,docs/accessibility/376_phase7_embedded_accessibility_contracts.md|blueprint/accessibility-and-content-system-contract.md,apps/patient-web/src/embedded-accessibility-responsive.tsx|tests/playwright/401_accessibility_keyboard_and_aria.spec.ts,data/test/401_suite_results.json|data/test/401_accessibility_and_keyboard_cases.csv|data/test/401_responsive_safe_area_and_device_matrix.csv,376_392_394_401,approved,proved,
CAP402_08,sandpit_aos_scal_and_demo_operational_readiness,data/contracts/376_phase7_scal_bundle_schema.json|data/contracts/396_nhs_app_onboarding_contract.json,data/config/396_nhs_app_environment_profile_manifest.example.json|tools/browser-automation/396_verify_demo_environment_readiness.spec.ts,data/analysis/396_environment_parity_matrix.csv|data/analysis/396_demo_journey_coverage_matrix.csv,385_396,approved,proved,
CAP402_09,limited_release_guardrails_route_freezes_monthly_packs_and_rollback,data/contracts/397_nhs_app_release_control_contract.json|data/contracts/376_phase7_release_guardrail_policy_schema.json,services/command-api/src/phase7-nhs-app-release-control-service.ts|tests/integration/401_release_readiness_contract.spec.ts,data/test/401_suite_results.json|data/test/401_route_freeze_and_guardrail_cases.csv|data/test/401_telemetry_disclosure_and_monthly_pack_cases.csv,397_401,approved,proved,
CAP402_10,support_governance_audit_and_patient_seen_traceability,data/contracts/398_nhs_app_support_ops_surface_contract.json|blueprint/platform-admin-and-config-blueprint.md,apps/ops-console/src/nhs-app-channel-workbench.tsx|apps/ops-console/src/nhs-app-readiness-cockpit.tsx,data/analysis/398_channel_observability_matrix.csv|tests/playwright/398_ops_governance_and_freeze_inspection.spec.ts|tests/playwright/401_release_control_surfaces_and_visual.spec.ts,398_401,approved,proved,

