template_id,template_family_ref,version_label,channel,message_intent,personalisation_fields,routing_plan_ref,sender_identity_ref,delivery_callback_required,supports_markdown_or_rich_copy_rules,mock_now_use,actual_later_use,notes,preview_subject,preview_body
TPL_EMAIL_SECURE_LINK_SEEDED_V1,TF_EMAIL_SECURE_LINK,v1,email,secure_link_seeded,patient_given_name|secure_link_url|expires_at|reply_window,RPL_EMAIL_SECURE_LINK_PRIMARY,DOM_EMAIL_MAILGUN_VERIFIED,yes,rich_copy_allowed,baseline secure-link delivery,provider-domain verified,First secure-link email variant.,First secure-link email variant.,Secure Link Seeded via email using v1.
TPL_EMAIL_SECURE_LINK_SEEDED_V2,TF_EMAIL_SECURE_LINK,v2,email,secure_link_seeded,patient_given_name|secure_link_url|expires_at|reply_window|support_number,RPL_EMAIL_SECURE_LINK_PRIMARY,DOM_EMAIL_MAILGUN_VERIFIED,yes,rich_copy_allowed,baseline secure-link delivery,provider-domain verified,Adds bounded support fallback copy.,Adds bounded support fallback copy.,Secure Link Seeded via email using v2.
TPL_EMAIL_REPLY_WINDOW_V1,TF_EMAIL_REPLY_WINDOW,v1,email,reply_needed,patient_given_name|reply_deadline|thread_entry_url,RPL_EMAIL_REPLY_AND_REVIEW,DOM_EMAIL_SENDGRID_AUTH,yes,rich_copy_allowed,thread reply reminder,reply-capable provider later,Thread reply-needed reminder.,Thread reply-needed reminder.,Reply Needed via email using v1.
TPL_EMAIL_MORE_INFO_REMINDER_V1,TF_EMAIL_MORE_INFO_REMINDER,v1,email,more_info_reminder,patient_given_name|reply_deadline|thread_entry_url|support_number,RPL_EMAIL_REPLY_AND_REVIEW,DOM_EMAIL_SENDGRID_AUTH,yes,rich_copy_allowed,more-info reminder,reply-capable provider later,Reminder with explicit due-window language.,Reminder with explicit due-window language.,More Info Reminder via email using v1.
TPL_EMAIL_DELIVERY_REPAIR_NOTICE_V1,TF_EMAIL_DELIVERY_REPAIR,v1,email,delivery_repair_notice,patient_given_name|repair_guidance|support_number,RPL_DELIVERY_REPAIR_SAME_CHAIN,SND_DUAL_SUPPORT_FALLBACK,yes,plain_or_rich,repair guidance,repair route only,Email repair notice for failed or disputed sends.,Email repair notice for failed or disputed sends.,Delivery Repair Notice via email using v1.
TPL_EMAIL_DELIVERY_REPAIR_NOTICE_V2,TF_EMAIL_DELIVERY_REPAIR,v2,email,delivery_repair_notice,patient_given_name|repair_guidance|support_number|callback_window,RPL_DELIVERY_REPAIR_SAME_CHAIN,SND_DUAL_SUPPORT_FALLBACK,yes,plain_or_rich,repair guidance,repair route only,Adds callback fallback window.,Adds callback fallback window.,Delivery Repair Notice via email using v2.
TPL_SMS_SEEDED_CONTINUATION_V1,TF_SMS_SEEDED_CONTINUATION,v1,sms,secure_link_seeded,secure_link_url|expires_at,RPL_SMS_SEEDED_CONTINUATION,SND_SMS_TWILIO_PROVIDER,yes,plain_copy_only,optional seeded continuation,optional flagged live use,Baseline seeded-continuation SMS.,,Secure Link Seeded via sms using v1.
TPL_SMS_SEEDED_CONTINUATION_V2,TF_SMS_SEEDED_CONTINUATION,v2,sms,secure_link_seeded,secure_link_url|expires_at|support_number,RPL_SMS_SEEDED_CONTINUATION,SND_SMS_TWILIO_PROVIDER,yes,plain_copy_only,optional seeded continuation,optional flagged live use,Adds support fallback line for delay or dispute.,,Secure Link Seeded via sms using v2.
TPL_SMS_CHALLENGE_CONTINUATION_V1,TF_SMS_CHALLENGE_CONTINUATION,v1,sms,secure_link_challenge,challenge_code|expires_at,RPL_SMS_CHALLENGE_CONTINUATION,SND_SMS_VONAGE_PROVIDER,yes,plain_copy_only,challenge continuation,optional flagged live use,Challenge-code SMS that avoids seeded grant claims.,,Secure Link Challenge via sms using v1.
TPL_SMS_CALLBACK_WINDOW_V1,TF_SMS_CALLBACK_WINDOW,v1,sms,callback_window,window_upper_at|support_number,RPL_SMS_CHALLENGE_CONTINUATION,SND_SMS_VONAGE_PROVIDER,yes,plain_copy_only,callback reassurance,review-only live use,Short callback window reassurance SMS.,,Callback Window via sms using v1.
TPL_SMS_DELIVERY_REPAIR_NOTICE_V1,TF_SMS_DELIVERY_REPAIR,v1,sms,delivery_repair_notice,support_number|repair_guidance,RPL_DELIVERY_REPAIR_SAME_CHAIN,SND_DUAL_SUPPORT_FALLBACK,yes,plain_copy_only,repair guidance,repair route only,SMS repair notice when the same authoritative chain needs recovery.,,Delivery Repair Notice via sms using v1.
TPL_DUAL_SUPPORT_RECOVERY_V1,TF_DUAL_SUPPORT_RECOVERY,v1,dual_if_supported,support_recovery_notice,support_number|next_step,RPL_SUPPORT_RECOVERY_ONLY,SND_DUAL_SUPPORT_FALLBACK,no,plain_or_rich,same-shell recovery,support-only later,Shared support-recovery fallback notice.,,Support Recovery Notice via dual_if_supported using v1.
