metric,observed,comparator,threshold,passed,requiredAlgorithmRule
fixturePassRate,1,gte,1,true,All invocation regression fixtures must pass before Phase 8 exit consumption.
allowedInvocationPassRate,1,gte,1,true,"Allowed invocation paths must retain visible affordances, provenance, and safe action boundaries."
blockedInvocationPassRate,1,gte,1,true,"Blocked invocation paths must fail closed across role, route, rollout, trust, publication, and disclosure gates."
killSwitchCoverageRate,1,gte,1,true,"Global, tenant, route-family, cohort, session, artifact, and runtime-publication kill switches must be covered."
killSwitchPassRate,1,gte,1,true,Every kill-switch fixture must disable invocation and insertion without refresh assumptions.
wrongSurfaceLeakRate,0,lte,0,true,Raw assistive content must not leak onto the wrong audience surface.
autonomousWritePathRate,0,lte,0,true,"The assistive layer is advisory only and cannot create autonomous patient, booking, pharmacy, or task writes."
draftHumanSettlementRate,1,gte,1,true,"Draft insertion must be visible, reversible, source-inspectable, and human-settled."
auditEvidenceCompletenessRate,1,gte,1,true,"Invocation, insertion, rejection, and kill-switch decisions must emit audit events."
assuranceEvidenceCompletenessRate,1,gte,1,true,Regression outcomes must emit assurance evidence for Phase 8 exit.
stalePublicationBlockRate,1,gte,1,true,"Stale, mismatched, or missing runtime publication bundles must block or freeze visible controls."
hiddenDomLeakRate,0,lte,0,true,Blocked assistive text must not remain in hidden DOM.
prohibitedNetworkMutationRate,0,lte,0,true,"Assistive insertion must not call patient-send, booking-commit, pharmacy-outcome, or task-close endpoints."
recoveryLegalityRate,1,gte,1,true,Recovery paths must be shown only when the source algorithm permits them.
surfaceFencePassRate,1,gte,1,true,Audience surfaces and disclosure ceilings must enforce the Phase 8 fence.
