preview_environment_ref,environment_ring,seed_pack_ref,substrate_ref,fixture_set_ref,reset_mode,expected_tuple_hash,drift_policy_ref,browser_banner_marker,teardown_after_expiry
pev_branch_patient_care,ci-preview,psp_patient_care_suite,runtime_topology_bundle,psp_patient_care_suite::runtime_topology_bundle,manifest_bundle,1827b3ece9654216,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_patient_care,ci-preview,psp_patient_care_suite,domain_store,psp_patient_care_suite::domain_store,deterministic_restore,defde29cd456a072,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_patient_care,ci-preview,psp_patient_care_suite,fhir_store,psp_patient_care_suite::fhir_store,deterministic_restore,a9519a231c304fff,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_patient_care,ci-preview,psp_patient_care_suite,projection_store,psp_patient_care_suite::projection_store,deterministic_rebuild,3b7c793359483039,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_patient_care,ci-preview,psp_patient_care_suite,event_spine,psp_patient_care_suite::event_spine,deterministic_requeue,0e9a0a4a50adb5ab,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_patient_care,ci-preview,psp_patient_care_suite,cache_plane,psp_patient_care_suite::cache_plane,deterministic_reset,9e9830626a32c2e1,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_patient_care,ci-preview,psp_patient_care_suite,object_storage,psp_patient_care_suite::object_storage,deterministic_resync,299ce7211123a8e2,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_patient_care,ci-preview,psp_patient_care_suite,browser_surface_banner,psp_patient_care_suite::browser_surface_banner,marker_reapply,c52814f4a321938c,pdp_banner_marker_presence,vecells-preview-synthetic,false
pev_branch_support_replay,ci-preview,psp_support_replay_suite,runtime_topology_bundle,psp_support_replay_suite::runtime_topology_bundle,manifest_bundle,871f927593625ab9,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_support_replay,ci-preview,psp_support_replay_suite,domain_store,psp_support_replay_suite::domain_store,deterministic_restore,6a3ea32b3afcae34,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_support_replay,ci-preview,psp_support_replay_suite,fhir_store,psp_support_replay_suite::fhir_store,deterministic_restore,f2d025eb8be1193a,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_support_replay,ci-preview,psp_support_replay_suite,projection_store,psp_support_replay_suite::projection_store,deterministic_rebuild,104c752cd31d3966,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_support_replay,ci-preview,psp_support_replay_suite,event_spine,psp_support_replay_suite::event_spine,deterministic_requeue,707ded35bc84d8cd,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_support_replay,ci-preview,psp_support_replay_suite,cache_plane,psp_support_replay_suite::cache_plane,deterministic_reset,43c63e8336ba11b5,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_support_replay,ci-preview,psp_support_replay_suite,object_storage,psp_support_replay_suite::object_storage,deterministic_resync,5a3fce0a7408b120,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_support_replay,ci-preview,psp_support_replay_suite,browser_surface_banner,psp_support_replay_suite::browser_surface_banner,marker_reapply,efc2be11f4216336,pdp_banner_marker_presence,vecells-preview-synthetic,false
pev_branch_clinical_hub,ci-preview,psp_clinical_hub_suite,runtime_topology_bundle,psp_clinical_hub_suite::runtime_topology_bundle,manifest_bundle,e763fc7408486d45,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_clinical_hub,ci-preview,psp_clinical_hub_suite,domain_store,psp_clinical_hub_suite::domain_store,deterministic_restore,12611c31d9059311,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_clinical_hub,ci-preview,psp_clinical_hub_suite,fhir_store,psp_clinical_hub_suite::fhir_store,deterministic_restore,8c49cee56a3edd0b,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_clinical_hub,ci-preview,psp_clinical_hub_suite,projection_store,psp_clinical_hub_suite::projection_store,deterministic_rebuild,eb0f983221859497,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_clinical_hub,ci-preview,psp_clinical_hub_suite,event_spine,psp_clinical_hub_suite::event_spine,deterministic_requeue,e7ff19b60c7e9c1e,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_clinical_hub,ci-preview,psp_clinical_hub_suite,cache_plane,psp_clinical_hub_suite::cache_plane,deterministic_reset,cf6e2c812bdfb053,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_clinical_hub,ci-preview,psp_clinical_hub_suite,object_storage,psp_clinical_hub_suite::object_storage,deterministic_resync,e552631ac117a365,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_branch_clinical_hub,ci-preview,psp_clinical_hub_suite,browser_surface_banner,psp_clinical_hub_suite::browser_surface_banner,marker_reapply,0cb9cfcb401d98f7,pdp_banner_marker_presence,vecells-preview-synthetic,false
pev_rc_pharmacy_dispatch,preprod,psp_pharmacy_dispatch_suite,runtime_topology_bundle,psp_pharmacy_dispatch_suite::runtime_topology_bundle,manifest_bundle,1d0b81ee2421893d,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_rc_pharmacy_dispatch,preprod,psp_pharmacy_dispatch_suite,domain_store,psp_pharmacy_dispatch_suite::domain_store,deterministic_restore,7bf402c8d5f5d015,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_rc_pharmacy_dispatch,preprod,psp_pharmacy_dispatch_suite,fhir_store,psp_pharmacy_dispatch_suite::fhir_store,deterministic_restore,4f06347eae7bdd73,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_rc_pharmacy_dispatch,preprod,psp_pharmacy_dispatch_suite,projection_store,psp_pharmacy_dispatch_suite::projection_store,deterministic_rebuild,76215eb3e84e374a,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
pev_rc_pharmacy_dispatch,preprod,psp_pharmacy_dispatch_suite,event_spine,psp_pharmacy_dispatch_suite::event_spine,deterministic_requeue,f7a72455965b578c,pdp_seed_fixture_hash_match,vecells-preview-synthetic,false
