classification_row_id,classification_scope,surface_id,route_family_id,field_or_artifact_id,canonical_object_id,field_name_or_artifact_class,sensitivity_class,contains_phi,allowed_audience_tiers,allowed_purposes_of_use,preview_ceiling,detail_ceiling,artifact_ceiling,telemetry_ceiling,log_ceiling,audit_replay_ceiling,redaction_policy_ref,break_glass_behavior,retention_class_ref_if_artifact,materialization_rule,post_delivery_widening,wrong_patient_hold_behavior,source_refs,notes
CLS_ARTIFACT_ART_ARCHIVE_MANIFEST,artifact_family,,,ART_ARCHIVE_MANIFEST,OBJ_ARCHIVEMANIFEST,Archive manifests,retention_governance_restricted,contextual,governance_review,governance_review; audit_export,summary_only,bounded_detail,summary_only,descriptor_only,audit_reference_only,bounded_detail_with_scope,POL_RETENTION_GOVERNED_EXPORT,bounded_detail_with_scope_envelope,RET_RETENTION_GOVERNANCE_WITNESS,allowlisted_only,forbidden,not_applicable,phase-9-the-assurance-ledger.md,Archive manifests preserve the archive chain without becoming ordinary content downloads.
CLS_ARTIFACT_ART_ASSURANCE_PACK,artifact_family,,,ART_ASSURANCE_PACK,OBJ_ASSURANCEPACK,Assurance packs and governance evidence packs,retention_governance_restricted,contextual,operations_control; governance_review,operational_control; governance_review; audit_export,summary_only,bounded_detail,governed_handoff,descriptor_only,audit_reference_only,bounded_detail_with_scope,POL_RETENTION_GOVERNED_EXPORT,bounded_detail_with_scope_envelope,RET_ASSURANCE_PACK_ARCHIVE,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts",Assurance packs remain governance artifacts with completeness and trust dependencies.
CLS_ARTIFACT_ART_AUDIT_REPLAY_BUNDLE,artifact_family,,,ART_AUDIT_REPLAY_BUNDLE,OBJ_INVESTIGATIONSCOPEENVELOPE,"Audit, replay, and investigation evidence bundles",audit_investigation_restricted,contextual,support; governance_review,support_recovery; governance_review; investigation_break_glass; audit_export,summary_only,bounded_detail,governed_handoff,descriptor_only,audit_reference_only,full_evidence_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,RET_SUPPORT_INVESTIGATION_EVIDENCE,allowlisted_only,forbidden,not_applicable,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay; staff-operations-and-support-blueprint.md#3. Complex investigation and replay","Replay and export bundles remain masked, selected-anchor-bound, and diagnostic-question-bound."
CLS_ARTIFACT_ART_DELETION_CERTIFICATE,artifact_family,,,ART_DELETION_CERTIFICATE,OBJ_DELETIONCERTIFICATE,Deletion certificates,retention_governance_restricted,contextual,governance_review,governance_review; audit_export,summary_only,bounded_detail,summary_only,descriptor_only,audit_reference_only,bounded_detail_with_scope,POL_RETENTION_GOVERNED_EXPORT,bounded_detail_with_scope_envelope,RET_RETENTION_GOVERNANCE_WITNESS,allowlisted_only,forbidden,not_applicable,phase-9-the-assurance-ledger.md,These artifacts prove lifecycle control and remain distinct from the deleted PHI itself.
CLS_ARTIFACT_ART_DERIVATION_PACKAGE,artifact_family,,,ART_DERIVATION_PACKAGE,OBJ_EVIDENCEARTIFACT,Derivation packages and normalization packages,audit_investigation_restricted,contextual,support; governance_review,support_recovery; governance_review; investigation_break_glass; audit_export,summary_only,bounded_detail,summary_only,descriptor_only,audit_reference_only,full_evidence_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,RET_SUPPORT_INVESTIGATION_EVIDENCE,allowlisted_only,forbidden,not_applicable,phase-1-the-red-flag-gate.md; phase-9-the-assurance-ledger.md,Derivation packages stay replay and export governed because they can reveal transformation lineage and payload scope.
CLS_ARTIFACT_ART_EVIDENCE_SNAPSHOT,artifact_family,,,ART_EVIDENCE_SNAPSHOT,OBJ_EVIDENCESNAPSHOT,Evidence snapshots,clinical_sensitive,contextual,origin_practice_clinical; support; governance_review,operational_execution; support_recovery; governance_review; investigation_break_glass,summary_only,bounded_detail,summary_only,descriptor_only,audit_reference_only,full_evidence_with_scope,POL_SUPPORT_MASKED_REPLAY,bounded_detail_with_scope_envelope,RET_SUPPORT_INVESTIGATION_EVIDENCE,allowlisted_only,forbidden,not_applicable,phase-0-the-foundation-protocol.md#1.1 SubmissionEnvelope; phase-9-the-assurance-ledger.md,Snapshots are immutable evidence anchors and not generic downloadable content.
CLS_ARTIFACT_ART_RECORD_ARTIFACT,artifact_family,,,ART_RECORD_ARTIFACT,OBJ_PATIENTRECORDARTIFACTPROJECTION,"Record artifacts, letters, and results",clinical_sensitive,yes,patient_authenticated; patient_embedded_authenticated; origin_practice_clinical; support; governance_review,authenticated_self_service; embedded_authenticated; operational_execution; support_recovery; governance_review; investigation_break_glass,governed_preview,bounded_detail,governed_download,descriptor_only,diagnostic_refs_only,bounded_detail_with_scope,POL_PATIENT_ARTIFACT_GOVERNED,bounded_detail_with_scope_envelope,RET_CLINICAL_CASE_ARTIFACT,allowlisted_only,forbidden,not_applicable,platform-frontend-blueprint.md#ArtifactPresentationContract; patient-account-and-communications-blueprint.md,Patient-visible records remain summary-first and mode-specific even when downloads are permitted.
CLS_ARTIFACT_ART_SUMMARY_PARITY_WITNESS,artifact_family,,,ART_SUMMARY_PARITY_WITNESS,OBJ_RECORDARTIFACTPARITYWITNESS,Summary and parity witnesses,audit_investigation_restricted,contextual,patient_authenticated; patient_embedded_authenticated; origin_practice_clinical; support; operations_control; governance_review,authenticated_self_service; embedded_authenticated; operational_execution; support_recovery; operational_control; governance_review,summary_only,bounded_detail,summary_only,descriptor_only,audit_reference_only,bounded_detail_with_scope,POL_PATIENT_ARTIFACT_GOVERNED,bounded_detail_with_scope_envelope,RET_WORM_AUDIT_GOVERNANCE,allowlisted_only,forbidden,not_applicable,phase-9-the-assurance-ledger.md,Parity witnesses explain which summary or artifact posture was lawful without disclosing the full source body.
CLS_ARTIFACT_ART_TELEPHONY_RECORDING,artifact_family,,,ART_TELEPHONY_RECORDING,OBJ_CALLSESSION,Telephony recordings,identity_proof_sensitive,yes,governance_review,governance_review; investigation_break_glass,none,summary_only,summary_only,none,none,bounded_detail_with_scope,POL_INVESTIGATION_SCOPE_ENVELOPE,bounded_detail_with_scope_envelope,RET_SUPPORT_INVESTIGATION_EVIDENCE,allowlisted_only,forbidden,not_applicable,phase-2-the-identity-and-echoes.md,Recordings are proof-sensitive evidence and never ordinary patient or support previews.
CLS_ARTIFACT_ART_TELEPHONY_TRANSCRIPT,artifact_family,,,ART_TELEPHONY_TRANSCRIPT,OBJ_EVIDENCEARTIFACT,Telephony transcripts,clinical_sensitive,yes,origin_practice_clinical; support; governance_review,operational_execution; support_recovery; governance_review; investigation_break_glass,masked_summary,bounded_detail,governed_inline_masked,descriptor_only,diagnostic_refs_only,bounded_detail_with_scope,POL_SUPPORT_MASKED_REPLAY,bounded_detail_with_scope_envelope,RET_SUPPORT_INVESTIGATION_EVIDENCE,allowlisted_only,forbidden,not_applicable,phase-2-the-identity-and-echoes.md,Transcripts remain summary-first or masked-inline and are never broad operator export by default.
