scenario_id,list_bucket,lineage_tuple,detail_header_posture,visible_placeholders,dominant_next_action,routing_envelope,settlement_state,safety_interruption_effect,recovery_or_hold_impact,atlas_region
list-default,needs_attention,lineage_211_reply_thread,ready,"conversation_cluster:sibling_projection_missing;record_follow_up:record_gap",respond_more_info,PatientActionRoutingProjection:live,local_acknowledged,clear,none,MockListDetailFrame
detail-actionable,needs_attention,lineage_211_reply_thread,ready,"conversation_cluster:sibling_projection_missing",respond_more_info,PatientActionRoutingProjection:live,pending_authoritative_confirmation,clear,none,ActionRoutingEnvelopeMap
detail-read-only,in_progress,lineage_211_admin,read_only,"admin_resolution_case:read_only",view_request,PatientActionRoutingProjection:read_only,local_acknowledged,clear,read_only_return,LineageOrderBraid
settlement-pending,needs_attention,lineage_211_reply_thread,pending_confirmation,"thread:pending_confirmation",respond_more_info,PatientActionRoutingProjection:read_only,pending_authoritative_confirmation,clear,pending_same_shell,SettlementLadder
safety-interruption,needs_attention,lineage_211_reply_thread,blocked,"thread:safety_interruption",none,PatientActionRoutingProjection:blocked,disputed_recovery_required,urgent_required,same_shell_action_suppressed,SafetyInterruptionStrip
identity-hold,needs_attention,lineage_211_reply_thread,identity_hold,"all_children:identity_hold",none,PatientActionRoutingProjection:blocked,disputed_recovery_required,review_pending,identity_hold_preserved,MockListDetailFrame
recovery-required,needs_attention,lineage_211_reply_thread,recovery_required,"all_children:release_delay",recover_session,PatientActionRoutingProjection:blocked,disputed_recovery_required,manual_review_required,recovery_required,MatrixShelf
callback-placeholder,needs_attention,lineage_211_callback,ready,"callback_case:request_context_gap",callback_response,PatientActionRoutingProjection:live,external_observation_received,clear,none,LineageOrderBraid
record-placeholder,in_progress,lineage_211_record,summary_only,"record_follow_up:record_gap",record_follow_up,PatientActionRoutingProjection:read_only,local_acknowledged,clear,summary_only_placeholder,MatrixShelf
settled-complete,complete,lineage_211_closed,ready,"none",none,PatientActionRoutingProjection:read_only,authoritative_outcome_settled,clear,quiet_return_allowed,SettlementLadder
