fixture,primary_drift,semantic_role,actionability,dominant_action,preserved_text,preserved_provenance,focus_behavior
trust-drift,trust_drift,status,regenerate_only,regenerate_in_place,true,true,no_autofocus
publication-drift,publication_drift,status,recovery_only,recover_in_place,true,true,no_autofocus
selected-anchor-drift,selected_anchor_drift,status,regenerate_only,regenerate_in_place,true,true,no_autofocus
insertion-drift,insertion_point_invalidation,status,recovery_only,recover_in_place,true,true,no_autofocus
review-version-drift-editing,review_version_drift,status,regenerate_only,regenerate_in_place,true,true,focus_action_bar
decision-epoch-drift,decision_epoch_drift,status,regenerate_only,regenerate_in_place,true,true,no_autofocus
policy-freshness-drift,policy_freshness_drift,alert,observe_only,observe_only_continue,true,true,no_autofocus
detail-open,trust_drift,status,regenerate_only,regenerate_in_place,true,true,detail_open
narrow-folded,selected_anchor_drift,status,regenerate_only,regenerate_in_place,true,true,narrow_sheet
regenerate-success,trust_drift,status,frozen,regenerate_in_place,true,true,recovered
