job_profile_id,profile_label,provider_family,environment,input_class,output_state_family,webhook_profile_ref,retention_policy_ref,region_policy_ref,quarantine_policy_ref,mock_now_use,actual_later_use,notes
JOB_TRANS_VOICE_CALLBACK_LOCAL,"Voice callback, local rehearsal",transcription,local,voice_recording_wav,queued|partial|ready|failed|superseded,WEBHOOK_TRANSCRIPT_ASSEMBLYAI,RET_TRANSCRIPT_TRANSIENT_24H,REGION_MOCK_LOCAL_ONLY,QUARANTINE_HOLD_UNTIL_CLEAN,Exercise partial transcript readiness after clean artifact admission.,Maps to a real nonprod project with explicit webhook and deletion posture.,Local default for callback transcript rehearsal.
JOB_TRANS_VOICE_CALLBACK_PROVIDER_PREVIEW,"Voice callback, provider-like preview",transcription,provider_like_preprod,voice_recording_m4a,queued|partial|ready|failed|superseded,WEBHOOK_TRANSCRIPT_DEEPGRAM,RET_TRANSCRIPT_TRANSIENT_24H,REGION_EU_TRANSCRIPT_ONLY,QUARANTINE_HOLD_UNTIL_CLEAN,Validate explicit residency and callback-hint semantics.,Becomes the real provider-like staging workspace.,Provider-like preview does not permit real mutation during seq_035.
JOB_TRANS_ATTACHMENT_AUDIO_PORTAL,Portal audio attachment,transcription,preview,portal_audio_attachment,queued|partial|ready|failed|superseded,WEBHOOK_TRANSCRIPT_ASSEMBLYAI,RET_TRANSCRIPT_REDACTED_7D,REGION_MOCK_LOCAL_ONLY,QUARANTINE_SUSPICIOUS_MANUAL,Exercise portal-upload transcript review without implying usable evidence.,Can map to later provider ingestion after scan and quarantine pass.,Transcript completion remains weaker than evidence usability.
JOB_TRANS_RETRANSCRIBE_SUPERSEDE,Manual re-transcribe and supersede,transcription,local,operator_selected_audio,queued|partial|ready|failed|superseded,WEBHOOK_TRANSCRIPT_DEEPGRAM,RET_TRANSCRIPT_REDACTED_7D,REGION_MOCK_LOCAL_ONLY,QUARANTINE_SUPERSEDED_EVIDENCE_REBIND,Prove supersession and replacement transcript binding.,Models operator-driven retry after poor transcript quality.,Superseded transcript must not continue to drive readiness.
JOB_TRANS_SCAN_DEPENDENT_HOLD,Transcript held on scan posture,transcription,provider_like_preprod,artifact_extracted_audio,queued|partial|ready|failed|superseded,WEBHOOK_TRANSCRIPT_ASSEMBLYAI,RET_TRANSCRIPT_TRANSIENT_24H,REGION_EU_TRANSCRIPT_ONLY,QUARANTINE_SUSPICIOUS_MANUAL,Force transcript readiness to wait on scan verdict and fallback review.,Maps to production evidence gate for patient-submitted audio.,A clean transcript cannot overrule a bad or unreadable scan branch.
JOB_SCAN_PORTAL_UPLOAD_CLEAN,"Portal upload, expected clean",artifact_scanning,local,portal_document_pdf,clean|suspicious|quarantined|unreadable|failed,WEBHOOK_SCAN_OPSWAT_CALLBACK,RET_QUARANTINE_14D,REGION_MOCK_LOCAL_ONLY,QUARANTINE_HOLD_UNTIL_CLEAN,Exercise clean path without collapsing quarantine release law.,Can map to cloud scan API or object-event scanning later.,Clean does not equal clinically usable.
JOB_SCAN_PORTAL_UPLOAD_SUSPICIOUS,"Portal upload, suspicious branch",artifact_scanning,preview,portal_image_attachment,clean|suspicious|quarantined|unreadable|failed,WEBHOOK_SCAN_OPSWAT_CALLBACK,RET_QUARANTINE_14D,REGION_MOCK_LOCAL_ONLY,QUARANTINE_SUSPICIOUS_MANUAL,Show operator hold and review flows.,Models suspicious verdict handling for real file providers.,Suspicious evidence must stay held.
JOB_SCAN_PORTAL_UPLOAD_QUARANTINE,"Portal upload, quarantined",artifact_scanning,provider_like_preprod,patient_attachment_archive,clean|suspicious|quarantined|unreadable|failed,WEBHOOK_SCAN_GUARDDUTY_EVENTBRIDGE,RET_QUARANTINE_14D,REGION_AWS_EU_SCAN_PLAN,QUARANTINE_HOLD_UNTIL_CLEAN,Exercise object-scope and eventbridge-style ingestion law.,Maps to GuardDuty S3 protection plans later.,Real plan enablement remains gated and billable.
JOB_SCAN_UNREADABLE_REACQUIRE,Unreadable or unsupported artifact,artifact_scanning,local,corrupt_attachment_blob,clean|suspicious|quarantined|unreadable|failed,WEBHOOK_SCAN_OPSWAT_CALLBACK,RET_QUARANTINE_14D,REGION_MOCK_LOCAL_ONLY,QUARANTINE_UNREADABLE_REACQUIRE,Exercise unreadable evidence and reacquire fallback.,Maps to later file-scan provider error-handling.,Unreadable is distinct from failed and suspicious.
JOB_SCAN_STORAGE_BUCKET_PROVIDER_LIKE,"Bucket-backed scan, provider-like",artifact_scanning,provider_like_preprod,s3_object_event,clean|suspicious|quarantined|unreadable|failed,WEBHOOK_SCAN_GUARDDUTY_EVENTBRIDGE,RET_SCAN_TAGS_30D,REGION_AWS_EU_SCAN_PLAN,QUARANTINE_SCAN_FAILURE_ESCALATE,Simulate object-event scanning with result tags and fallback hold.,Becomes the real S3-backed protection-plan path.,Storage plan and event bus are first-class contract fields.
