isolation_row_id,scope_mode,tenant_isolation_mode,blast_radius_mode,audit_posture,tuple_drift_posture,notes,surface_refs,required_workload_family_codes,required_acting_scope_profile_refs,source_refs
TIM_PUBLIC_PRE_IDENTITY,public_pre_identity,shared_public_pre_tenant,pending_subject_lineage_only,"submission_ingress, promotion, and runtime binding proof required",writable entry freezes to placeholder or safe receipt until identity or publication is revalidated,Used before patient identity or tenant binding is fully proven.,surf_patient_intake_web; surf_patient_intake_phone,shell_delivery; projection; command,ACT_PATIENT_PUBLIC_INTAKE,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#4. Canonical ingest and request promotion
TIM_GRANT_SCOPED_RECOVERY,grant_scoped_subject,tenant_scoped_lineage_grant,single_subject_single_lineage,"grant redemption, runtime binding, and route intent must stay immutable","same-shell recovery only, stale grant invalidation, and no cached writable carry-over",The subject and lineage are narrower than a normal authenticated patient shell.,surf_patient_secure_link_recovery,shell_delivery; projection; command,ACT_PATIENT_GRANT_RECOVERY,"patient-account-and-communications-blueprint.md#Patient audience coverage contract; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm"
TIM_PATIENT_SELF_SERVICE,tenant_subject_self_service,tenant_scoped_subject,single_tenant_single_subject,"route intent, settlement, visibility, and runtime binding stay subject-bound","downgrade to read-only, summary-only, or recovery-only inside the same shell",The dominant baseline patient pattern.,surf_patient_home; surf_patient_requests; surf_patient_appointments; surf_patient_health_record; surf_patient_messages,shell_delivery; projection; command,ACT_PATIENT_AUTHENTICATED,patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; phase-0-the-foundation-protocol.md#1.38A AudienceSurfaceRuntimeBinding
TIM_PATIENT_EMBEDDED,tenant_subject_embedded,tenant_scoped_subject_embedded,single_tenant_single_subject_embedded_channel,"embedded bridge, host capability, and runtime publication tuples must remain exact",handoff-only or read-only until embedded compatibility and publication parity recover,Carried now as a deferred but explicit topology seam.,surf_patient_embedded_shell,shell_delivery; projection; command,ACT_PATIENT_EMBEDDED,phase-7-inside-the-nhs-app.md; forensic-audit-findings.md#Finding 90 - The audit still omitted the hardened NHS App embedded-channel control plane
TIM_TENANT_STAFF_SINGLE_ORG,tenant_org_scoped_staff,tenant_org_partition,single_tenant_single_org_operational_slice,"current acting scope tuple, minimum-necessary contract, and command settlement required","freeze mutation and require revalidation on org switch, purpose drift, or visibility drift",Single-organisation clinical and operations staff posture.,surf_clinician_workspace; surf_clinician_workspace_child; surf_practice_ops_workspace,shell_delivery; projection; command,ACT_STAFF_SINGLE_ORG,phase-0-the-foundation-protocol.md#ActingScopeTuple; phase-0-the-foundation-protocol.md#2.8 ScopedMutationGate
TIM_HUB_CROSS_ORG,cross_org_hub_scope,explicit_cross_org_subject_scope,declared_cross_org_subset_only,"acting scope tuple, visibility coverage, and current runtime binding must all reference the same cross-org subset","queue can stay visible, but mutation freezes in place until a fresh tuple supersedes the old subset","Cross-organisation visibility is lawful only through an explicit tuple, never through ambient hub role state.",surf_hub_queue; surf_hub_case_management,shell_delivery; projection; command,ACT_HUB_CROSS_ORG,forensic-audit-findings.md#Finding 114 - tenant and acting context drift; staff-operations-and-support-blueprint.md
TIM_PHARMACY_SERVICING,servicing_site_scope,servicing_site_partition,single_servicing_site_or_declared_return_lane,"dispatch, outcome, and bounce-back flows need service-site and supplier proof",dispatch and outcome actions freeze while existing evidence remains visible,Keeps pharmacy scope separate from general staff routing and support.,surf_pharmacy_console,shell_delivery; projection; command,ACT_PHARMACY_SERVICING,phase-6-the-pharmacy-loop.md; pharmacy-console-frontend-architecture.md
TIM_SUPPORT_DELEGATE,support_tenant_delegate,explicit_support_delegate_scope,single_ticket_declared_tenant_scope,"delegate reason, subject scope, and ticket scope must stay immutable",same-shell read-only or capture-recovery posture when support scope or identity evidence drifts,Support-assisted capture can help without inheriting broad replay or governance scope.,surf_support_ticket_workspace; surf_support_assisted_capture,shell_delivery; projection; command; assurance_security,ACT_SUPPORT_ASSISTED_CAPTURE,staff-operations-and-support-blueprint.md#2. Routine support and assisted journey work; phase-0-the-foundation-protocol.md#ActingScopeTuple
TIM_SUPPORT_INVESTIGATION,support_investigation_scope,explicit_support_investigation_scope,selected_anchor_and_envelope_only,"InvestigationScopeEnvelope, masking ceiling, and restore posture stay bound together",masked replay may remain visible but restore or export controls freeze immediately,Replay and export are not tenant-wide support privileges.,surf_support_replay_observe,shell_delivery; projection; assurance_security,ACT_SUPPORT_REPLAY_RESTORE,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay; forensic-audit-findings.md#Finding 100 - Support replay and observe return still had no authoritative restore gate"
TIM_OPERATIONS_MULTI_TENANT,multi_tenant_operational_watch,platform_observation_aggregate,declared_wave_or_incident_scope_only,"watch tuple, guardrail snapshot, and resilience tuple are mandatory","diagnostic evidence can stay visible, but live control posture freezes under tuple drift",This is multi-tenant by design but must always surface blast radius explicitly.,surf_operations_board; surf_operations_drilldown,shell_delivery; projection; command; assurance_security,ACT_OPERATIONS_WATCH; ACT_RESILIENCE_CONTROL,"platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; phase-9-the-assurance-ledger.md#9F. Resilience architecture, restore orchestration, and chaos programme"
