transition_id,machine_id,canonical_name,machine_family,phase_tags,state_axis_type,from_state,to_state,trigger,coordinator_owned,guards,authoritative_proofs,related_objects,degraded_posture,closure_blocker_interactions,source_refs,notes
SM_SUBMISSION_ENVELOPE_STATE__DRAFT__EVIDENCE_PENDING,SM_SUBMISSION_ENVELOPE_STATE,SubmissionEnvelope.state,canonical_shared_control,phase_0_foundation,lifecycle,draft,evidence_pending,Capture bundle or attachments persist on the pre-submit lineage.,no,SubmissionIngressRecord exists; Envelope remains the only pre-submit container,SubmissionIngressRecord; EvidenceCaptureBundle,SubmissionIngressRecord; EvidenceCaptureBundle,,,phase-0-the-foundation-protocol.md#1.1 SubmissionEnvelope; forensic-audit-findings.md#Finding 09 - Upload and audio quarantine rules were absent,
SM_SUBMISSION_ENVELOPE_STATE__EVIDENCE_PENDING__READY_TO_PROMOTE,SM_SUBMISSION_ENVELOPE_STATE,SubmissionEnvelope.state,canonical_shared_control,phase_0_foundation,lifecycle,evidence_pending,ready_to_promote,Readiness checks complete for promotion-safe submission.,no,Evidence readiness is promotable; No fallback review is open on the same envelope,SubmissionPromotionReadinessCheck; EvidenceClassificationDecision,TelephonyEvidenceReadinessAssessment; FallbackReviewCase,submitted_degraded,Fallback review stays closure-blocking until recovered,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SUBMISSION_ENVELOPE_STATE__READY_TO_PROMOTE__PROMOTED,SM_SUBMISSION_ENVELOPE_STATE,SubmissionEnvelope.state,canonical_shared_control,phase_0_foundation,lifecycle,ready_to_promote,promoted,Governed submit promotes the envelope into one Request.,no,Promotion command targets the current envelope version; No quarantine or safety blocker remains,SubmissionPromotionRecord; CommandSettlementRecord(authoritativeOutcomeState = settled),CommandSettlementRecord; SubmissionPromotionRecord; Request,,,phase-0-the-foundation-protocol.md#4 Canonical ingest and request promotion; phase-0-the-foundation-protocol.md#1.1 SubmissionEnvelope,
SM_SUBMISSION_ENVELOPE_STATE__DRAFT__ABANDONED,SM_SUBMISSION_ENVELOPE_STATE,SubmissionEnvelope.state,canonical_shared_control,phase_0_foundation,lifecycle,draft,abandoned,User or support abandons pre-submit capture.,no,No governed submit has been accepted,SubmissionAbandonmentRecord,SubmissionEnvelope,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SUBMISSION_ENVELOPE_STATE__EVIDENCE_PENDING__EXPIRED,SM_SUBMISSION_ENVELOPE_STATE,SubmissionEnvelope.state,canonical_shared_control,phase_0_foundation,lifecycle,evidence_pending,expired,Continuation or draft TTL expires before promotion.,no,Continuation grant and draft window are no longer valid,AccessGrantSupersessionRecord; DraftExpiryRecord,AccessGrant,draft_recoverable,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_WORKFLOW_STATE__SUBMITTED__INTAKE_NORMALIZED,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,workflow,submitted,intake_normalized,Promotion survives normalization and canonical ingest settlement.,yes,Submission promotion is settled; Current evidence snapshot is persisted,SubmissionPromotionRecord; NormalizedSubmission; CommandSettlementRecord(authoritativeOutcomeState = settled),SubmissionEnvelope; CommandSettlementRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_WORKFLOW_STATE__INTAKE_NORMALIZED__TRIAGE_READY,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,workflow,intake_normalized,triage_ready,Safety and identity axes settle enough for review queue admission.,yes,SafetyState is not urgent_diversion_required; Queue entry contract is computed,SafetyDecisionRecord; QueueAdmissionRecord,TriageTask; SafetyDecisionRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_WORKFLOW_STATE__TRIAGE_READY__TRIAGE_ACTIVE,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,workflow,triage_ready,triage_active,Active review or more-info/approval work is acknowledged on the lineage.,yes,A triage-side lease is active; Current DecisionEpoch or review context is live,RequestLifecycleLease; TriageLeaseSignal,TriageTask; RequestLifecycleLease; DecisionEpoch,,"Duplicate review, more-info, approval, and identity repair remain orthogonal blockers",phase-0-the-foundation-protocol.md#Canonical request model; phase-3-the-human-checkpoint.md#3A Triage contract and workspace state model,
SM_REQUEST_WORKFLOW_STATE__TRIAGE_ACTIVE__HANDOFF_ACTIVE,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,workflow,triage_active,handoff_active,A downstream child case is durably acknowledged on the same RequestLineage.,yes,Current DecisionEpoch is unsuperseded; LineageCaseLink(caseFamily) is acknowledged,LineageCaseLink; BookingOutcomeMilestone | HubCoordinationMilestone | PharmacyOutcomeMilestone,LineageCaseLink; BookingCase; HubCoordinationCase; PharmacyCase,,External confirmation gates and downstream blockers stay on the lineage,"phase-0-the-foundation-protocol.md#1.1B RequestLineage; phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics",
SM_REQUEST_WORKFLOW_STATE__TRIAGE_ACTIVE__OUTCOME_RECORDED,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,workflow,triage_active,outcome_recorded,"Direct advice, direct completion, or direct endpoint outcome settles.",yes,Endpoint settlement is authoritative; No urgent preemption is pending,EndpointDecisionSettlement(authoritativeOutcomeState = settled); DirectOutcomeMilestone,EndpointDecisionSettlement; CommandSettlementRecord,,Residual blockers remain orthogonal to this milestone,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics; phase-0-the-foundation-protocol.md#Canonical request model",
SM_REQUEST_WORKFLOW_STATE__HANDOFF_ACTIVE__OUTCOME_RECORDED,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,workflow,handoff_active,outcome_recorded,Child-domain outcome milestone settles after local truth is reconciled.,yes,Downstream case-local truth is authoritative; Any confirmation gate needed for the branch is satisfied or downgraded under policy,BookingOutcomeMilestone | HubCoordinationMilestone | PharmacyOutcomeMilestone; ExternalConfirmationGate or branch-local closure truth,BookingCase; HubCoordinationCase; PharmacyCase; ExternalConfirmationGate,,"Ambiguous booking, hub, or pharmacy truth keeps closure blocked until cleared","phase-4-the-booking-engine.md#4A Booking contract, case model, and state machine; phase-5-the-network-horizon.md#5A Network coordination contract, case model, and state machine; phase-6-the-pharmacy-loop.md#6A Pharmacy contract, case model, and state machine",
SM_REQUEST_WORKFLOW_STATE__OUTCOME_RECORDED__CLOSED,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,workflow,outcome_recorded,closed,LifecycleCoordinator evaluates a zero-blocker closure on the current lineage epoch.,yes,"Coordinator-materialized blocker sets are empty; No active lease, repair, duplicate, fallback, confirmation, reachability, or grant blocker remains",RequestClosureRecord(decision = close); Request.closure_blockers.changed -> empty set,RequestClosureRecord; DuplicateCluster; FallbackReviewCase; ExternalConfirmationGate,defer,Closure remains deferred while any blocker ref remains non-empty,phase-0-the-foundation-protocol.md#1.12 RequestClosureRecord; forensic-audit-findings.md#Finding 71 - Closure evaluation did not explicitly assert empty coordinator-materialized blocker sets,
SM_REQUEST_SAFETY_STATE__NOT_SCREENED__SCREEN_CLEAR,SM_REQUEST_SAFETY_STATE,Request.safetyState,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint; phase_6_pharmacy_loop,safety,not_screened,screen_clear,Initial or resumed safety run clears urgent and residual risk.,no,Composite evidence snapshot is settled; No active safety preemption remains,SafetyDecisionRecord(requestedSafetyState = screen_clear),SafetyDecisionRecord; EvidenceSnapshot,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_SAFETY_STATE__NOT_SCREENED__RESIDUAL_RISK_FLAGGED,SM_REQUEST_SAFETY_STATE,Request.safetyState,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint; phase_6_pharmacy_loop,safety,not_screened,residual_risk_flagged,Safety run detects residual but not urgent risk.,no,Canonical safety rules run against the current snapshot,SafetyDecisionRecord(requestedSafetyState = residual_risk_flagged),SafetyDecisionRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_SAFETY_STATE__NOT_SCREENED__URGENT_DIVERSION_REQUIRED,SM_REQUEST_SAFETY_STATE,Request.safetyState,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint; phase_6_pharmacy_loop,safety,not_screened,urgent_diversion_required,Initial safety run requires urgent diversion.,no,Urgent path is materially required and not yet durably issued,SafetyDecisionRecord(requestedSafetyState = urgent_diversion_required),UrgentDiversionSettlement; SafetyDecisionRecord,urgent_required,Closure blocks until urgent issuance is durably settled,phase-1-the-red-flag-gate.md; forensic-audit-findings.md#Finding 11 - Urgent diversion required and completed were collapsed,
SM_REQUEST_SAFETY_STATE__RESIDUAL_RISK_FLAGGED__URGENT_DIVERSION_REQUIRED,SM_REQUEST_SAFETY_STATE,Request.safetyState,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint; phase_6_pharmacy_loop,safety,residual_risk_flagged,urgent_diversion_required,Materially new evidence escalates the case into urgent handling.,no,Evidence assimilation and re-safety completed on the latest snapshot,EvidenceAssimilationRecord; SafetyDecisionRecord(requestedSafetyState = urgent_diversion_required),EvidenceAssimilationRecord; MaterialDeltaAssessment; SafetyPreemptionRecord,urgent_required,,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety; forensic-audit-findings.md#Finding 13 - Materially new evidence bypassed canonical re-safety",
SM_REQUEST_SAFETY_STATE__SCREEN_CLEAR__RESIDUAL_RISK_FLAGGED,SM_REQUEST_SAFETY_STATE,Request.safetyState,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint; phase_6_pharmacy_loop,safety,screen_clear,residual_risk_flagged,Material evidence arrives and re-safety no longer clears completely.,no,MaterialDeltaAssessment requires re-safety,EvidenceAssimilationRecord; SafetyDecisionRecord(requestedSafetyState = residual_risk_flagged),EvidenceAssimilationRecord; MaterialDeltaAssessment,,,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety",
SM_REQUEST_SAFETY_STATE__SCREEN_CLEAR__URGENT_DIVERSION_REQUIRED,SM_REQUEST_SAFETY_STATE,Request.safetyState,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint; phase_6_pharmacy_loop,safety,screen_clear,urgent_diversion_required,Later evidence or callback outcome proves urgent routing is now required.,no,SafetyOrchestrator preempts routine flow on the current snapshot,SafetyPreemptionRecord; SafetyDecisionRecord(requestedSafetyState = urgent_diversion_required),SafetyPreemptionRecord; SafetyDecisionRecord,urgent_required,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
