route_surface,path_pattern,identity_state,cause_class,recovery_class,canonical_status_label,communication_state_label,patient_action_label,support_action_label
patient_home,/home,signed_in,session_current,none,Reply needed,Delivery failed; callback-safe repair and the patient reply obligation remain aligned.,Reply with more information,Guide the patient back to the same reply-needed step
patient_request_detail,/requests/:requestId,signed_in,session_current,none,Reply needed,Delivery failed; callback-safe repair and the patient reply obligation remain aligned.,Reply with more information,Guide the patient back to the same reply-needed step
patient_callback,/requests/:requestId/callback/at-risk,signed_in,repair_required,same_shell_repair,Repair required,Delivery failed and both patient and support shells now expose the same callback-safe repair posture.,Repair contact route,Repair the outbound route without leaving the same ticket anchor
patient_contact_repair,/contact-repair/:repairCaseRef,signed_in,repair_required,same_shell_repair,Repair required,Delivery failed and both patient and support shells now expose the same callback-safe repair posture.,Repair contact route,Repair the outbound route without leaving the same ticket anchor
patient_records,/records/results/result_213_step_up,capability_limited,step_up_required,step_up,Step-up required,Capability downgrade is active, so records and communications stay summary-first until the step-up checkpoint settles.,Complete step-up,Do not widen beyond the current disclosure ceiling
patient_auth_recovery,/auth/signed-out,signed_out,session_recovery_required,same_shell_recovery,Signed out,Session recovery is required before patient or support surfaces can widen beyond safe summary.,Sign in and safely resume,Keep the current tuple summary-only until session recovery finishes
patient_claim_resume,/portal/claim/identity-hold,identity_hold,identity_hold,read_only,Identity hold,Identity evidence is under hold, so both portal and support routes stay narrowed to patient-safe summary.,Continue identity check,Preserve chronology and wait for identity release
patient_claim_read_only,/portal/claim/read-only,signed_in,read_only_recovery,read_only,Read-only recovery,The current support replay or fallback is read-only, but the cause class still points back to the same authoritative request lineage.,Use the last safe summary,Reacquire continuity before restoring writable authority
support_ticket,/ops/support/tickets/:supportTicketId,signed_in,session_current,none,Reply needed,Delivery failed; callback-safe repair and the patient reply obligation remain aligned.,Reply with more information,Guide the patient back to the same reply-needed step
support_history,/ops/support/tickets/:supportTicketId/history,signed_in,session_current,none,Reply needed,Delivery failed; callback-safe repair and the patient reply obligation remain aligned.,Reply with more information,Guide the patient back to the same reply-needed step
support_knowledge,/ops/support/tickets/:supportTicketId/knowledge,signed_in,session_current,none,Reply needed,Delivery failed; callback-safe repair and the patient reply obligation remain aligned.,Reply with more information,Guide the patient back to the same reply-needed step
support_replay,/ops/support/replay/:supportReplaySessionId,signed_in,read_only_recovery,read_only,Read-only recovery,The current support replay or fallback is read-only, but the cause class still points back to the same authoritative request lineage.,Use the last safe summary,Reacquire continuity before restoring writable authority
