threshold_id,formula_or_rule,source_pack_field,covered_by
alpha_required_symptom_weight,weighted_required_symptom_support,thresholdValues.alpha_required_symptom_weight,GC347_001_uti_positive;GC347_003_aom_upper_boundary_positive;GC347_010_shingles_lower_boundary_positive
eta_excl,exclusion_penalty_exponent,thresholdValues.eta_excl,GC347_005_sinusitis_exclusion_failure
eta_global,global_block_penalty_exponent,thresholdValues.eta_global,GC347_004_global_red_flag_block;GC347_009_minor_illness_fallback_invalid_global
eta_contra,contradiction_penalty_exponent,thresholdValues.eta_contra,GC347_006_contradiction_heavy_aom
tau_global_block,global_block_cutoff,thresholdValues.tau_global_block,GC347_004_global_red_flag_block;GC347_009_minor_illness_fallback_invalid_global
tau_path_block,pathway_exclusion_cutoff,thresholdValues.tau_path_block,GC347_005_sinusitis_exclusion_failure
tau_contra_block,contradiction_cutoff,thresholdValues.tau_contra_block,GC347_006_contradiction_heavy_aom
tau_req_pass,required_symptom_support_cutoff,thresholdValues.tau_req_pass,GC347_001_uti_positive;GC347_007_incomplete_sore_throat
tau_min_complete,evidence_completeness_cutoff,thresholdValues.tau_min_complete,GC347_007_incomplete_sore_throat
tau_eligible,overall_eligibility_cutoff,thresholdValues.tau_eligible,GC347_001_uti_positive;GC347_003_aom_upper_boundary_positive;GC347_010_shingles_lower_boundary_positive
xi_minor_feature_weight,minor_fallback_feature_weights,thresholdValues.xi_minor_feature_weight,GC347_008_minor_illness_fallback_valid;GC347_009_minor_illness_fallback_invalid_global
tau_minor_eligible,minor_fallback_cutoff,thresholdValues.tau_minor_eligible,GC347_008_minor_illness_fallback_valid
