checklist_id,dependency_family,environment,target_account_or_secret_id,capture_type,initiator_role,approver_role,manual_checkpoint_required,gate_refs,prerequisite_artifacts,landing_zone,redaction_steps,vault_ingest_target,runtime_binding_target,verification_evidence,incident_or_revocation_path,source_refs,notes
CAPTURE_ACC_BOOKING_SUPPLIER_INTEGRATION_PRINCIPAL,booking_supplier,integration,ACC_BOOKING_SUPPLIER_INTEGRATION_PRINCIPAL,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_GOVERNANCE_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_SUPPLIER_CAPABILITY_REVIEW,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,shared_nonprod_vault,nonprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,blueprint/phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam; data/analysis/external_dependencies.json#dep_local_booking_supplier_adapters; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Live booking supplier principal requires capability-matrix parity and fallback review.
CAPTURE_ACC_EMAIL_PREPROD_PROJECT,email,preprod,ACC_EMAIL_PREPROD_PROJECT,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_SECURITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_VENDOR_SENDER_REVIEW,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,preprod_vault,preprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,data/analysis/external_dependencies.json#dep_email_notification_provider; data/analysis/provider_family_scorecards.json#notifications_email; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Preprod email project principal for secure-link delivery validation.
CAPTURE_SEC_EMAIL_PRODUCTION_WEBHOOK,email,production,SEC_EMAIL_PRODUCTION_WEBHOOK,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_SECURITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_VENDOR_SENDER_REVIEW,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,production_vault,production_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,data/analysis/external_dependencies.json#dep_email_notification_provider; data/analysis/provider_family_scorecards.json#notifications_email; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Production email callback secret remains dual controlled.
CAPTURE_ID_EMAIL_PRODUCTION_SENDER,email,production,ID_EMAIL_PRODUCTION_SENDER,metadata_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_SECURITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_VENDOR_SENDER_REVIEW,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_metadata_review_queue,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,partner_metadata_registry,control_plane_metadata_publication,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,remove_from_partner_registry_republish_runtime_metadata_append_audit,data/analysis/external_dependencies.json#dep_email_notification_provider; data/analysis/provider_family_scorecards.json#notifications_email; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Production sender identity requires wrong-recipient drill and support routing.
CAPTURE_ACC_NHS_APP_SANDPIT_SITE_LINK,embedded_channel,sandpit,ACC_NHS_APP_SANDPIT_SITE_LINK,metadata_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_GOVERNANCE_LEAD,yes,LIVE_GATE_NHS_APP_DEFERRED_ONLY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_metadata_review_queue,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,partner_metadata_registry,control_plane_metadata_publication,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,remove_from_partner_registry_republish_runtime_metadata_append_audit,"blueprint/phase-7-inside-the-nhs-app.md#7H. Sandpit, AOS, SCAL, and operational delivery pipeline; data/analysis/external_dependencies.json#dep_nhs_app_embedded_channel_ecosystem; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture",Deferred placeholder for site-link metadata and embedded manifest control.
CAPTURE_ACC_IM1_PROGRAMME_INTEGRATION_ACCOUNT,gp_system,integration,ACC_IM1_PROGRAMME_INTEGRATION_ACCOUNT,metadata_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_GOVERNANCE_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_IM1_SCAL_APPROVED; LIVE_GATE_SUPPLIER_CAPABILITY_REVIEW,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_metadata_review_queue,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,partner_metadata_registry,control_plane_metadata_publication,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,remove_from_partner_registry_republish_runtime_metadata_append_audit,data/analysis/external_dependencies.json#dep_im1_pairing_programme; data/analysis/external_dependencies.json#dep_gp_system_supplier_paths; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Programme account metadata for IM1 pairing and supplier readiness.
CAPTURE_ACC_GP_SUPPLIER_INTEGRATION_PRINCIPAL,gp_system,integration,ACC_GP_SUPPLIER_INTEGRATION_PRINCIPAL,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_GOVERNANCE_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_IM1_SCAL_APPROVED; LIVE_GATE_SUPPLIER_CAPABILITY_REVIEW,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,shared_nonprod_vault,nonprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,data/analysis/external_dependencies.json#dep_im1_pairing_programme; data/analysis/external_dependencies.json#dep_gp_system_supplier_paths; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Supplier-path principal for governed GP-system access.
CAPTURE_KEY_GP_SUPPLIER_MTLS,gp_system,integration,KEY_GP_SUPPLIER_MTLS,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_GOVERNANCE_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_IM1_SCAL_APPROVED; LIVE_GATE_SUPPLIER_CAPABILITY_REVIEW,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,nonprod_hsm_keyring,nonprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,data/analysis/external_dependencies.json#dep_im1_pairing_programme; data/analysis/external_dependencies.json#dep_gp_system_supplier_paths; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Mutual TLS material for GP supplier path.
CAPTURE_KEY_IM1_PROGRAMME_CERT,gp_system,integration,KEY_IM1_PROGRAMME_CERT,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_GOVERNANCE_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_IM1_SCAL_APPROVED; LIVE_GATE_SUPPLIER_CAPABILITY_REVIEW,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_capture_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,nonprod_hsm_keyring,nonprod_workload_identity_fetch,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,data/analysis/external_dependencies.json#dep_im1_pairing_programme; data/analysis/external_dependencies.json#dep_gp_system_supplier_paths; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Certificate material for IM1 pairing path remains gated by SCAL readiness.
CAPTURE_USER_NHS_LOGIN_SHARED_DEV_TEST_SET,identity_auth,shared_dev,USER_NHS_LOGIN_SHARED_DEV_TEST_SET,secret_capture,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_INTEROPERABILITY_LEAD,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_NHS_LOGIN_PARTNER_APPROVED; LIVE_GATE_REDIRECT_URI_REVIEW; LIVE_GATE_IDENTITY_SESSION_PARITY,named approver; environment target; current route or endpoint inventory; current runbook binding,partner_test_pack_quarantine,disable trace/video; redact screenshots; capture placeholder only in notes; ingest actual value into vault or metadata registry immediately,shared_nonprod_fixture_registry,seed_fixture_sync_and_environment_reset,owner-chain confirmation; access audit; runtime handle proof; publication or metadata parity,revoke_partner_test_pack_reset_fixture_registry_append_audit,blueprint/phase-0-the-foundation-protocol.md#1.4D AuthTransaction; blueprint/phase-0-the-foundation-protocol.md#1.4G SessionEstablishmentDecision; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Synthetic identity pack for shared-dev rehearsal and later field-map parity.
