failure_domain_ref,runtime_workload_family_id,runtime_workload_family_ref,environment_ring,uk_region_role,trust_zone_ref,blast_radius_scope,spillover_forbidden_to,user_visible_posture,egress_allowlist_ref,dependency_scope_refs,restore_prerequisite,source_refs
fd_local_nonprod_local_public_edge_ingress,rwf_local_nonprod_local_public_edge_ingress,wf_public_edge_ingress,local,nonprod_local,tz_public_edge,public_edge_single_nonprod_local_slice,wf_shell_delivery_static_publication; wf_shell_delivery_published_gateway; wf_command_orchestration; wf_projection_read_models; wf_integration_dispatch; wf_integration_simulation_lab; wf_data_stateful_plane; wf_assurance_security_control,placeholder_only or blocked,eal_public_edge_internal_only,,"Runtime publication parity, restore proof, and exact assurance slices before live authority resumes.",docs/architecture/11_trust_zone_and_workload_family_strategy.md#Trust Zones; blueprint/platform-runtime-and-release-blueprint.md#RuntimeWorkloadFamily; docs/architecture/11_trust_zone_and_workload_family_strategy.md#Workload Families; blueprint/blueprint-init.md#12. Practical engineering shape
fd_local_nonprod_local_shell_delivery_static_publication,rwf_local_nonprod_local_shell_delivery_static_publication,wf_shell_delivery_static_publication,local,nonprod_local,tz_shell_delivery,shell_delivery_single_nonprod_local_slice,wf_public_edge_ingress; wf_shell_delivery_published_gateway; wf_command_orchestration; wf_projection_read_models; wf_integration_dispatch; wf_integration_simulation_lab; wf_data_stateful_plane; wf_assurance_security_control,same-shell recovery or read-only,eal_shell_publication_none,,"Runtime publication parity, restore proof, and exact assurance slices before live authority resumes.",docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Required Object Bindings; blueprint/platform-runtime-and-release-blueprint.md#RuntimeTopologyManifest; docs/architecture/11_trust_zone_and_workload_family_strategy.md#Workload Families; blueprint/blueprint-init.md#12. Practical engineering shape
fd_local_nonprod_local_shell_delivery_published_gateway,rwf_local_nonprod_local_shell_delivery_published_gateway,wf_shell_delivery_published_gateway,local,nonprod_local,tz_published_gateway,shell_delivery_single_nonprod_local_slice,wf_public_edge_ingress; wf_shell_delivery_static_publication; wf_command_orchestration; wf_projection_read_models; wf_integration_dispatch; wf_integration_simulation_lab; wf_data_stateful_plane; wf_assurance_security_control,same-shell recovery or read-only,eal_gateway_internal_only,dep_nhs_login_rail,"Runtime publication parity, restore proof, and exact assurance slices before live authority resumes.",docs/architecture/11_gateway_surface_and_runtime_topology_baseline.md#Gateway Surface Matrix; blueprint/platform-runtime-and-release-blueprint.md#GatewayBffSurface; docs/architecture/11_trust_zone_and_workload_family_strategy.md#Workload Families; blueprint/blueprint-init.md#12. Practical engineering shape
fd_local_nonprod_local_command_orchestration,rwf_local_nonprod_local_command_orchestration,wf_command_orchestration,local,nonprod_local,tz_application_core,command_single_nonprod_local_slice,wf_public_edge_ingress; wf_shell_delivery_static_publication; wf_shell_delivery_published_gateway; wf_projection_read_models; wf_integration_dispatch; wf_integration_simulation_lab; wf_data_stateful_plane; wf_assurance_security_control,command_halt_or_named_review,eal_command_to_internal_planes_only,dep_nhs_login_rail; dep_pds_fhir_enrichment,"Runtime publication parity, restore proof, and exact assurance slices before live authority resumes.",docs/architecture/13_backend_runtime_service_baseline.md#Runtime Executables; docs/architecture/43_service_scaffold_map.md; docs/architecture/11_trust_zone_and_workload_family_strategy.md#Workload Families; blueprint/blueprint-init.md#12. Practical engineering shape
fd_local_nonprod_local_projection_read_models,rwf_local_nonprod_local_projection_read_models,wf_projection_read_models,local,nonprod_local,tz_application_core,projection_single_nonprod_local_slice,wf_public_edge_ingress; wf_shell_delivery_static_publication; wf_shell_delivery_published_gateway; wf_command_orchestration; wf_integration_dispatch; wf_integration_simulation_lab; wf_data_stateful_plane; wf_assurance_security_control,summary_only or projection_stale,eal_projection_to_internal_planes_only,dep_pds_fhir_enrichment,"Runtime publication parity, restore proof, and exact assurance slices before live authority resumes.",docs/architecture/13_backend_runtime_service_baseline.md#Runtime Executables; docs/architecture/43_service_scaffold_map.md; docs/architecture/11_trust_zone_and_workload_family_strategy.md#Workload Families; blueprint/blueprint-init.md#12. Practical engineering shape
fd_local_nonprod_local_integration_dispatch,rwf_local_nonprod_local_integration_dispatch,wf_integration_dispatch,local,nonprod_local,tz_integration_perimeter,integration_single_nonprod_local_slice,wf_public_edge_ingress; wf_shell_delivery_static_publication; wf_shell_delivery_published_gateway; wf_command_orchestration; wf_projection_read_models; wf_integration_simulation_lab; wf_data_stateful_plane; wf_assurance_security_control,queue_only or receipt_review,eal_declared_external_dependencies_only,dep_email_notification_provider; dep_sms_notification_provider,"Runtime publication parity, restore proof, and exact assurance slices before live authority resumes.",docs/architecture/13_backend_runtime_service_baseline.md#Runtime Executables; docs/external/39_browser_automation_retry_policy.md; docs/architecture/11_trust_zone_and_workload_family_strategy.md#Workload Families; blueprint/blueprint-init.md#12. Practical engineering shape
fd_local_nonprod_local_integration_simulation_lab,rwf_local_nonprod_local_integration_simulation_lab,wf_integration_simulation_lab,local,nonprod_local,tz_integration_perimeter,integration_single_nonprod_local_slice,wf_public_edge_ingress; wf_shell_delivery_static_publication; wf_shell_delivery_published_gateway; wf_command_orchestration; wf_projection_read_models; wf_integration_dispatch; wf_data_stateful_plane; wf_assurance_security_control,queue_only or receipt_review,eal_integration_simulator_internal_only,,"Runtime publication parity, restore proof, and exact assurance slices before live authority resumes.",docs/external/38_local_adapter_simulator_backlog.md; services/adapter-simulators/manifests/README.md; docs/architecture/11_trust_zone_and_workload_family_strategy.md#Workload Families; blueprint/blueprint-init.md#12. Practical engineering shape
fd_local_nonprod_local_data_stateful_plane,rwf_local_nonprod_local_data_stateful_plane,wf_data_stateful_plane,local,nonprod_local,tz_stateful_data,data_single_nonprod_local_slice,wf_public_edge_ingress; wf_shell_delivery_static_publication; wf_shell_delivery_published_gateway; wf_command_orchestration; wf_projection_read_models; wf_integration_dispatch; wf_integration_simulation_lab; wf_assurance_security_control,restore_only,eal_data_internal_only,,"Runtime publication parity, restore proof, and exact assurance slices before live authority resumes.",docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Required Object Bindings; blueprint/platform-runtime-and-release-blueprint.md#Runtime topology contract; docs/architecture/11_trust_zone_and_workload_family_strategy.md#Workload Families; blueprint/blueprint-init.md#12. Practical engineering shape
fd_local_nonprod_local_assurance_security_control,rwf_local_nonprod_local_assurance_security_control,wf_assurance_security_control,local,nonprod_local,tz_assurance_security,assurance_security_single_nonprod_local_slice,wf_public_edge_ingress; wf_shell_delivery_static_publication; wf_shell_delivery_published_gateway; wf_command_orchestration; wf_projection_read_models; wf_integration_dispatch; wf_integration_simulation_lab; wf_data_stateful_plane,diagnostic_visible_controls_frozen,eal_assurance_to_internal_planes_only,,"Runtime publication parity, restore proof, and exact assurance slices before live authority resumes.","docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Supply Chain Law; blueprint/phase-9-the-assurance-ledger.md#9F. Resilience architecture, restore orchestration, and chaos programme; docs/architecture/11_trust_zone_and_workload_family_strategy.md#Workload Families; blueprint/blueprint-init.md#12. Practical engineering shape"
fd_ci_preview_primary_public_edge_ingress,rwf_ci_preview_primary_public_edge_ingress,wf_public_edge_ingress,ci-preview,primary,tz_public_edge,public_edge_single_primary_slice,wf_shell_delivery_static_publication; wf_shell_delivery_published_gateway; wf_command_orchestration; wf_projection_read_models; wf_integration_dispatch; wf_integration_simulation_lab; wf_data_stateful_plane; wf_assurance_security_control,placeholder_only or blocked,eal_public_edge_internal_only,,"Runtime publication parity, restore proof, and exact assurance slices before live authority resumes.",docs/architecture/11_trust_zone_and_workload_family_strategy.md#Trust Zones; blueprint/platform-runtime-and-release-blueprint.md#RuntimeWorkloadFamily; docs/architecture/11_trust_zone_and_workload_family_strategy.md#Workload Families; docs/architecture/15_release_and_supply_chain_tooling_baseline.md#Pipeline Stage Chain
